Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,2075,0.8997590361445783
2019/1/2,Wednesday,2641,0.8841347974252177
2019/1/3,Thursday,3014,0.8958195089581951
2019/1/4,Friday,3136,0.8896683673469388
2019/1/5,Saturday,2732,0.9026354319180088
2019/1/6,Sunday,2184,0.903846153846154
2019/1/7,Monday,2449,0.8897509187423438
2019/1/8,Tuesday,2847,0.9002458728486126
2019/1/9,Wednesday,2941,0.8850731043862632
2019/1/10,Thursday,3165,0.9026856240126382
2019/1/11,Friday,3392,0.8926886792452831
2019/1/12,Saturday,2825,0.9072566371681416
2019/1/13,Sunday,2336,0.9006849315068494
2019/1/14,Monday,2917,0.8882413438464175
2019/1/15,Tuesday,2894,0.9046302695231514
2019/1/16,Wednesday,3077,0.9031524211894704
2019/1/17,Thursday,2851,0.9045948789898282
2019/1/18,Friday,3257,0.9066625729198649
2019/1/19,Saturday,2329,0.9029626449119794
2019/1/20,Sunday,1686,0.9145907473309608
2019/1/21,Monday,2216,0.8916967509025271
2019/1/22,Tuesday,2828,0.8988684582743989
2019/1/23,Wednesday,2831,0.8954433062522077
2019/1/24,Thursday,2889,0.8913118726202839
2019/1/25,Friday,3102,0.8929722759509994
2019/1/26,Saturday,2695,0.9228200371057514
2019/1/27,Sunday,2227,0.9083969465648856
2019/1/28,Monday,2714,0.894620486366986
2019/1/29,Tuesday,2761,0.8942412169503803
2019/1/30,Wednesday,1994,0.9197592778335004
2019/1/31,Thursday,2472,0.9037216828478964
2019/2/1,Friday,2626,0.913937547600914
2019/2/2,Saturday,2928,0.9077868852459016
2019/2/3,Sunday,2391,0.8753659556670849
2019/2/4,Monday,3004,0.877496671105193
2019/2/5,Tuesday,2941,0.8762325739544373
2019/2/6,Wednesday,2929,0.8825537726186412
2019/2/7,Thursday,2925,0.8796581196581197
2019/2/8,Friday,3128,0.881074168797954
2019/2/9,Saturday,2826,0.8860580325548478
2019/2/10,Sunday,2314,0.8712186689714779
2019/2/11,Monday,2776,0.8595100864553314
2019/2/12,Tuesday,2985,0.8787269681742044
2019/2/13,Wednesday,2977,0.8871346993617736
2019/2/14,Thursday,3245,0.866255778120185
2019/2/15,Friday,3220,0.8763975155279503
2019/2/16,Saturday,2769,0.8851570964247021
2019/2/17,Sunday,2135,0.8903981264637002
2019/2/18,Monday,2570,0.8809338521400778
2019/2/19,Tuesday,3038,0.8749177090190915
2019/2/20,Wednesday,2540,0.8929133858267716
2019/2/21,Thursday,3157,0.8796325625593918
2019/2/22,Friday,3341,0.8802753666566896
2019/2/23,Saturday,2918,0.8937628512679918
2019/2/24,Sunday,2418,0.8717948717948718
2019/2/25,Monday,2955,0.8876480541455161
2019/2/26,Tuesday,3010,0.8750830564784053
2019/2/27,Wednesday,3098,0.8747579083279535
2019/2/28,Thursday,3108,0.8886743886743886
2019/3/1,Friday,3234,0.8843537414965986
