Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,3007,0.9308280678417028
2019/1/2,Wednesday,4013,0.917767256416646
2019/1/3,Thursday,4264,0.9221388367729833
2019/1/4,Friday,4634,0.9149762624082866
2019/1/5,Saturday,3799,0.9236641221374046
2019/1/6,Sunday,3373,0.9128372368811148
2019/1/7,Monday,4156,0.91385948026949
2019/1/8,Tuesday,4620,0.90995670995671
2019/1/9,Wednesday,5006,0.902117459049141
2019/1/10,Thursday,5034,0.911005164878824
2019/1/11,Friday,5271,0.9062796433314362
2019/1/12,Saturday,4216,0.9027514231499052
2019/1/13,Sunday,3663,0.9093639093639092
2019/1/14,Monday,4416,0.9039855072463768
2019/1/15,Tuesday,4591,0.918536266608582
2019/1/16,Wednesday,4892,0.9063777596075224
2019/1/17,Thursday,4583,0.9109753436613572
2019/1/18,Friday,5008,0.904552715654952
2019/1/19,Saturday,4568,0.9115586690017512
2019/1/20,Sunday,3854,0.9174883238194084
2019/1/21,Monday,4172,0.9089165867689356
2019/1/22,Tuesday,4927,0.896894662066166
2019/1/23,Wednesday,4851,0.9175427746856318
2019/1/24,Thursday,5002,0.9140343862455018
2019/1/25,Friday,5306,0.9072747832642292
2019/1/26,Saturday,4524,0.9115826702033598
2019/1/27,Sunday,3808,0.91281512605042
2019/1/28,Monday,4589,0.901503595554587
2019/1/29,Tuesday,4729,0.9061112285895538
2019/1/30,Wednesday,4839,0.8912998553420128
2019/1/31,Thursday,5002,0.9040383846461416
2019/2/1,Friday,5206,0.9012677679600462
2019/2/2,Saturday,4026,0.9095876800794832
2019/2/3,Sunday,3384,0.890661938534279
2019/2/4,Monday,4330,0.9071593533487298
2019/2/5,Tuesday,4697,0.9156908665105388
2019/2/6,Wednesday,4865,0.8959917780061665
2019/2/7,Thursday,4955,0.9107971745711404
2019/2/8,Friday,5188,0.9136468774094064
2019/2/9,Saturday,4539,0.9057061026657854
2019/2/10,Sunday,3711,0.9116141201832392
2019/2/11,Monday,4656,0.8990549828178694
2019/2/12,Tuesday,5011,0.9074037118339652
2019/2/13,Wednesday,4745,0.9030558482613276
2019/2/14,Thursday,4593,0.916829958632702
2019/2/15,Friday,4781,0.9004392386530015
