Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,122,0.9508196721311476
2019/1/2,Wednesday,168,0.9404761904761904
2019/1/3,Thursday,174,0.942528735632184
2019/1/4,Friday,224,0.9196428571428572
2019/1/5,Saturday,148,0.8783783783783784
2019/1/6,Sunday,127,0.937007874015748
2019/1/7,Monday,174,0.8735632183908046
2019/1/8,Tuesday,209,0.8851674641148325
2019/1/9,Wednesday,224,0.9196428571428572
2019/1/10,Thursday,240,0.925
2019/1/11,Friday,244,0.9426229508196722
2019/1/12,Saturday,168,0.9166666666666666
2019/1/13,Sunday,143,0.8881118881118881
2019/1/14,Monday,211,0.933649289099526
2019/1/15,Tuesday,188,0.8936170212765957
2019/1/16,Wednesday,211,0.90521327014218
2019/1/17,Thursday,221,0.9276018099547512
2019/1/18,Friday,245,0.9020408163265308
2019/1/19,Saturday,168,0.9404761904761904
2019/1/20,Sunday,138,0.9130434782608696
2019/1/21,Monday,156,0.8717948717948718
2019/1/22,Tuesday,220,0.9181818181818182
2019/1/23,Wednesday,217,0.9447004608294932
2019/1/24,Thursday,218,0.908256880733945
2019/1/25,Friday,234,0.9572649572649572
2019/1/26,Saturday,154,0.9090909090909092
2019/1/27,Sunday,119,0.9327731092436976
2019/1/28,Monday,208,0.9615384615384616
2019/1/29,Tuesday,206,0.9514563106796116
2019/1/30,Wednesday,213,0.971830985915493
2019/1/31,Thursday,235,0.9574468085106383
2019/2/1,Friday,235,0.9234042553191488
2019/2/2,Saturday,142,0.9295774647887324
2019/2/3,Sunday,133,0.9097744360902256
2019/2/4,Monday,197,0.949238578680203
2019/2/5,Tuesday,197,0.9289340101522844
2019/2/6,Wednesday,201,0.8905472636815921
2019/2/7,Thursday,239,0.9581589958158996
2019/2/8,Friday,219,0.954337899543379
2019/2/9,Saturday,139,0.9424460431654677
2019/2/10,Sunday,115,0.8608695652173913
2019/2/11,Monday,191,0.9162303664921466
2019/2/12,Tuesday,236,0.9152542372881356
2019/2/13,Wednesday,191,0.8952879581151832
2019/2/14,Thursday,193,0.9481865284974094
2019/2/15,Friday,200,0.92
2019/2/16,Saturday,147,0.9319727891156464
2019/2/17,Sunday,124,0.9838709677419356
2019/2/18,Monday,139,0.9568345323741008
2019/2/19,Tuesday,222,0.9009009009009008
2019/2/20,Wednesday,212,0.9150943396226416
2019/2/21,Thursday,207,0.932367149758454
2019/2/22,Friday,215,0.9348837209302324
2019/2/23,Saturday,158,0.9367088607594936
2019/2/24,Sunday,137,0.9124087591240876
2019/2/25,Monday,196,0.8775510204081632
2019/2/26,Tuesday,210,0.8952380952380953
2019/2/27,Wednesday,211,0.924170616113744
2019/2/28,Thursday,237,0.8734177215189873
2019/3/1,Friday,232,0.9224137931034484
2019/3/2,Saturday,148,0.945945945945946
2019/3/3,Sunday,161,0.9503105590062112
2019/3/4,Monday,197,0.9187817258883249
2019/3/5,Tuesday,209,0.9234449760765552
2019/3/6,Wednesday,210,0.9428571428571428
2019/3/7,Thursday,220,0.9363636363636364
2019/3/8,Friday,202,0.9405940594059404
2019/3/9,Saturday,131,0.9541984732824428
2019/3/10,Sunday,118,0.9491525423728814
2019/3/11,Monday,198,0.9090909090909092
2019/3/12,Tuesday,182,0.8791208791208791
2019/3/13,Wednesday,199,0.949748743718593
2019/3/14,Thursday,176,0.9431818181818182
2019/3/15,Friday,207,0.9420289855072465
2019/3/16,Saturday,151,0.933774834437086
2019/3/17,Sunday,138,0.9565217391304348
2019/3/18,Monday,177,0.9661016949152542
2019/3/19,Tuesday,212,0.9622641509433962
2019/3/20,Wednesday,174,0.9310344827586208
2019/3/21,Thursday,196,0.9693877551020408
2019/3/22,Friday,186,0.956989247311828
