Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,824,0.8616504854368932
2019/1/2,Wednesday,964,0.8734439834024896
2019/1/3,Thursday,1137,0.882145998240985
2019/1/4,Friday,1172,0.8959044368600683
2019/1/5,Saturday,1032,0.8662790697674418
2019/1/6,Sunday,908,0.8832599118942731
2019/1/7,Monday,1054,0.8937381404174574
2019/1/8,Tuesday,1120,0.9071428571428573
2019/1/9,Wednesday,1178,0.8590831918505942
2019/1/10,Thursday,1300,0.8615384615384616
2019/1/11,Friday,1170,0.8547008547008547
2019/1/12,Saturday,730,0.8164383561643835
2019/1/13,Sunday,831,0.8459687123947052
2019/1/14,Monday,1249,0.8751000800640513
2019/1/15,Tuesday,1200,0.8716666666666667
2019/1/16,Wednesday,1271,0.8599527930763179
2019/1/17,Thursday,1208,0.8708609271523179
2019/1/18,Friday,1281,0.8641686182669789
2019/1/19,Saturday,940,0.8085106382978723
2019/1/20,Sunday,820,0.8414634146341463
2019/1/21,Monday,879,0.8680318543799772
2019/1/22,Tuesday,1148,0.8763066202090593
2019/1/23,Wednesday,1186,0.8870151770657673
2019/1/24,Thursday,1307,0.8699311400153023
2019/1/25,Friday,1304,0.8634969325153374
2019/1/26,Saturday,1039,0.8229066410009624
2019/1/27,Sunday,913,0.8619934282584885
2019/1/28,Monday,1185,0.8751054852320675
2019/1/29,Tuesday,1231,0.8586515028432169
2019/1/30,Wednesday,962,0.83991683991684
2019/1/31,Thursday,1143,0.8337707786526685
2019/2/1,Friday,1346,0.8692421991084696
2019/2/2,Saturday,1199,0.8715596330275229
2019/2/3,Sunday,1030,0.8330097087378641
2019/2/4,Monday,1252,0.84185303514377
2019/2/5,Tuesday,1222,0.8903436988543372
2019/2/6,Wednesday,1220,0.8590163934426229
2019/2/7,Thursday,1176,0.8554421768707483
2019/2/8,Friday,1224,0.8758169934640523
2019/2/9,Saturday,1151,0.8488271068635969
2019/2/10,Sunday,822,0.8564476885644768
2019/2/11,Monday,1242,0.8727858293075684
2019/2/12,Tuesday,1288,0.8742236024844721
2019/2/13,Wednesday,1264,0.8686708860759493
2019/2/14,Thursday,1371,0.8555798687089715
2019/2/15,Friday,1225,0.8661224489795918
2019/2/16,Saturday,1050,0.8704761904761905
2019/2/17,Sunday,890,0.8382022471910112
2019/2/18,Monday,1090,0.8550458715596331
2019/2/19,Tuesday,1274,0.8649921507064364
2019/2/20,Wednesday,1291,0.8962044926413633
2019/2/21,Thursday,1270,0.9196850393700788
2019/2/22,Friday,1483,0.9055967633175994
2019/2/23,Saturday,1186,0.897133220910624
2019/2/24,Sunday,995,0.9115577889447236
2019/2/25,Monday,1302,0.9109062980030722
2019/2/26,Tuesday,1378,0.8896952104499274
2019/2/27,Wednesday,1314,0.9056316590563166
