Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,2540,0.8165354330708662
2019/1/2,Wednesday,3910,0.8506393861892583
2019/1/3,Thursday,4383,0.8631074606433949
2019/1/4,Friday,4605,0.8601520086862107
2019/1/5,Saturday,3280,0.8213414634146341
2019/1/6,Sunday,2941,0.8082284937096226
2019/1/7,Monday,4141,0.8633180391209853
2019/1/8,Tuesday,4566,0.8664038545773105
2019/1/9,Wednesday,4849,0.8498659517426274
2019/1/10,Thursday,4911,0.8509468540012217
2019/1/11,Friday,5275,0.8464454976303317
2019/1/12,Saturday,3484,0.8088404133180253
2019/1/13,Sunday,2343,0.8045241143832693
2019/1/14,Monday,2847,0.8250790305584826
2019/1/15,Tuesday,4837,0.854868720281166
2019/1/16,Wednesday,4820,0.8605809128630706
2019/1/17,Thursday,4744,0.8705733558178752
2019/1/18,Friday,3980,0.8562814070351759
2019/1/19,Saturday,2428,0.8467874794069192
2019/1/20,Sunday,2033,0.8593212001967536
2019/1/21,Monday,1723,0.8514219384793964
2019/1/22,Tuesday,2768,0.8728323699421965
2019/1/23,Wednesday,2744,0.8556851311953353
2019/1/24,Thursday,2855,0.8598949211908932
2019/1/25,Friday,3088,0.8594559585492227
2019/1/26,Saturday,2266,0.8261253309796999
2019/1/27,Sunday,1951,0.8370066632496156
2019/1/28,Monday,2763,0.8769453492580528
2019/1/29,Tuesday,2662,0.8617580766341096
2019/1/30,Wednesday,2496,0.8846153846153846
2019/1/31,Thursday,2636,0.8831562974203339
2019/2/1,Friday,2693,0.8640920906052729
2019/2/2,Saturday,2028,0.849112426035503
2019/2/3,Sunday,1793,0.8304517568321249
2019/2/4,Monday,2613,0.8423268274014543
2019/2/5,Tuesday,2812,0.8748221906116643
2019/2/6,Wednesday,2738,0.8546384222059897
2019/2/7,Thursday,2738,0.8575602629656683
2019/2/8,Friday,2771,0.8484301696138579
2019/2/9,Saturday,2059,0.8309859154929577
2019/2/10,Sunday,1702,0.8484136310223267
2019/2/11,Monday,2311,0.8502812635222847
2019/2/12,Tuesday,2586,0.8360402165506574
2019/2/13,Wednesday,2646,0.8427815570672713
2019/2/14,Thursday,2827,0.8528475415634948
2019/2/15,Friday,2733,0.8536406878887669
2019/2/16,Saturday,1927,0.8432797093928386
2019/2/17,Sunday,1558,0.8331193838254172
2019/2/18,Monday,1792,0.8270089285714286
2019/2/19,Tuesday,2434,0.8299096138044372
2019/2/20,Wednesday,1337,0.8578908002991773
2019/2/21,Thursday,2362,0.8577476714648603
2019/2/22,Friday,2530,0.8355731225296442
2019/2/23,Saturday,1874,0.8249733191035219
2019/2/24,Sunday,1529,0.8495748855461086
2019/2/25,Monday,2354,0.8547153780798641
2019/2/26,Tuesday,2584,0.8397832817337462
2019/2/27,Wednesday,2502,0.8505195843325339
2019/2/28,Thursday,2472,0.8624595469255664
2019/3/1,Friday,2516,0.8648648648648649
2019/3/2,Saturday,2097,0.8311874105865522
2019/3/3,Sunday,1626,0.8413284132841329
2019/3/4,Monday,2329,0.8488621726062688
2019/3/5,Tuesday,2481,0.8540910923014914
2019/3/6,Wednesday,2297,0.8293426208097519
2019/3/7,Thursday,2514,0.8512330946698489
