city,flow_type,total_flow,od_flow,do_flow,total_od_pairs,weighted_avg_asymmetry
"Washington, D.C",LPW_to_HPM,750931,163216,587715,10062,0.6875878076680814
"Washington, D.C",HPM_to_LPW,750931,587715,163216,10062,0.6875878076680814
Miami,LPW_to_HPM,714041,320102,393939,23276,0.6652321085203791
Miami,HPM_to_LPW,714041,393939,320102,23276,0.6652321085203791
Atlanta,LPW_to_HPM,1093844,423552,670292,17968,0.6244674743382055
Atlanta,HPM_to_LPW,1093844,670292,423552,17968,0.6244674743382055
Chicago,LPW_to_HPM,5019359,1673232,3346127,384741,0.7636132422486617
Chicago,HPM_to_LPW,5019359,3346127,1673232,384741,0.7636132422486617
Boston,LPW_to_HPM,549258,142029,407229,15742,0.7257536531101959
Boston,HPM_to_LPW,549258,407229,142029,15742,0.7257536531101959
Detroit,LPW_to_HPM,2424302,1199506,1224796,181555,0.7112603957757738
Detroit,HPM_to_LPW,2424302,1224796,1199506,181555,0.7112603957757738
St. Louis,LPW_to_HPM,412412,182565,229847,10943,0.6198461732442315
St. Louis,HPM_to_LPW,412412,229847,182565,10943,0.6198461732442315
New York,LPW_to_HPM,8789831,2612374,6177457,713859,0.7871474434491402
New York,HPM_to_LPW,8789831,6177457,2612374,713859,0.7871474434491402
Phoenix,LPW_to_HPM,6569282,3246022,3323260,303551,0.670046437342772
Phoenix,HPM_to_LPW,6569282,3323260,3246022,303551,0.670046437342772
Pittsburgh,LPW_to_HPM,1071074,525830,545244,40374,0.6846286997910509
Pittsburgh,HPM_to_LPW,1071074,545244,525830,40374,0.6846286997910509
Philadelphia,LPW_to_HPM,2608915,892457,1716458,111546,0.7170517245674927
Philadelphia,HPM_to_LPW,2608915,1716458,892457,111546,0.7170517245674927
Dallas,LPW_to_HPM,2337116,836625,1500491,74092,0.6356877450669971
Dallas,HPM_to_LPW,2337116,1500491,836625,74092,0.6356877450669971
Houston,LPW_to_HPM,6442354,3172550,3269804,193884,0.702029723917686
Houston,HPM_to_LPW,6442354,3269804,3172550,193884,0.702029723917686
Los Angeles,LPW_to_HPM,4123194,1598212,2524982,369181,0.7588282287954435
Los Angeles,HPM_to_LPW,4123194,2524982,1598212,369181,0.7588282287954435
San Diego,LPW_to_HPM,1810360,953177,857183,55950,0.7220784816279635
San Diego,HPM_to_LPW,1810360,857183,953177,55950,0.7220784816279635
San Francisco,LPW_to_HPM,64762,10837,53925,1520,0.7614650566690343
San Francisco,HPM_to_LPW,64762,53925,10837,1520,0.7614650566690343
