Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,3789.277873999944,3469.022664000204,7258.300538000147,0.1008967372245161,HPM_to_LPW,3469.0226639999296,3789.2778740000535,7258.300537999983,0.1872717953080785
2019/1/2,Wednesday,LPW_to_HPM,5294.203399000102,4144.706131999955,9438.909531000056,0.1083057843387335,HPM_to_LPW,4144.706131999966,5294.203398999882,9438.909530999848,0.2035310407425934
2019/1/3,Thursday,LPW_to_HPM,5582.244762999845,4480.966299000059,10063.211061999904,0.1057463633111849,HPM_to_LPW,4480.966298999979,5582.244763000082,10063.21106200006,0.2020728895729358
2019/1/4,Friday,LPW_to_HPM,6051.877481000034,4672.666109000105,10724.54359000014,0.1049215932694339,HPM_to_LPW,4672.666109000051,6051.877481000097,10724.543590000148,0.1991164668732798
2019/1/5,Saturday,LPW_to_HPM,5381.387157000069,4235.963337000133,9617.350494000202,0.1002568586214539,HPM_to_LPW,4235.963337000078,5381.387156999935,9617.350494000011,0.1948196367089573
2019/1/6,Sunday,LPW_to_HPM,4482.481113000036,3756.1004610001823,8238.581574000218,0.0978152383666752,HPM_to_LPW,3756.100460999997,4482.481112999933,8238.58157399993,0.1910918007035665
2019/1/7,Monday,LPW_to_HPM,4705.266052000107,4052.248715000114,8757.51476700022,0.1041264509017871,HPM_to_LPW,4052.248714999995,4705.266051999849,8757.514766999844,0.1943990759851833
2019/1/8,Tuesday,LPW_to_HPM,5732.808409999906,4349.648064000311,10082.456474000215,0.1021453996125509,HPM_to_LPW,4349.648063999933,5732.808409999975,10082.456473999908,0.1973524528781476
2019/1/9,Wednesday,LPW_to_HPM,6160.296954999677,4679.534014000251,10839.830968999928,0.1053474416869898,HPM_to_LPW,4679.534014000091,6160.296955000081,10839.830969000172,0.1986304165208676
2019/1/10,Thursday,LPW_to_HPM,6423.096938999907,4926.51910000026,11349.616039000168,0.1062459181228523,HPM_to_LPW,4926.519099999978,6423.096939000061,11349.61603900004,0.1996724769232005
2019/1/11,Friday,LPW_to_HPM,6927.500704999888,5099.335538000033,12026.836242999922,0.1044037307042727,HPM_to_LPW,5099.335537999944,6927.500705000193,12026.836243000136,0.1958420619589264
2019/1/12,Saturday,LPW_to_HPM,6100.43532500006,4557.593026000066,10658.028351000126,0.1053251953355594,HPM_to_LPW,4557.593025999945,6100.435325000045,10658.02835099999,0.2017884124104524
2019/1/13,Sunday,LPW_to_HPM,5154.306328999998,4204.538380000056,9358.844709000055,0.1039405178110267,HPM_to_LPW,4204.538379999917,5154.306328999973,9358.84470899989,0.1974239724610153
2019/1/14,Monday,LPW_to_HPM,6067.662007999991,4661.673865000041,10729.335873000033,0.1048263224896327,HPM_to_LPW,4661.673864999946,6067.66200800001,10729.335872999956,0.1979983791650611
2019/1/15,Tuesday,LPW_to_HPM,6343.550086999813,4625.409061000153,10968.959147999964,0.1073922043633664,HPM_to_LPW,4625.40906099993,6343.550087000013,10968.959147999944,0.1997757977030531
2019/1/16,Wednesday,LPW_to_HPM,6190.447726999909,4475.489658000145,10665.937385000054,0.1032860214757706,HPM_to_LPW,4475.489657999979,6190.447726999941,10665.93738499992,0.1959753798364273
2019/1/17,Thursday,LPW_to_HPM,6214.030983999777,4385.1655750004,10599.196559000178,0.1035740893886707,HPM_to_LPW,4385.16557500001,6214.0309839999845,10599.196558999996,0.1952433536246098
2019/1/18,Friday,LPW_to_HPM,6755.81592699982,4655.506680000219,11411.322607000038,0.1007608858474795,HPM_to_LPW,4655.5066800000095,6755.81592700005,11411.32260700006,0.1924717509806633
2019/1/19,Saturday,LPW_to_HPM,4201.322187999982,3301.3366020002773,7502.65879000026,0.0973497276000563,HPM_to_LPW,3301.336601999993,4201.322187999923,7502.658789999916,0.1828185038229896
2019/1/20,Sunday,LPW_to_HPM,4313.104743000007,3339.731818000213,7652.83656100022,0.0984457394121314,HPM_to_LPW,3339.7318180000707,4313.104743000002,7652.836561000073,0.1893486655674266
2019/1/21,Monday,LPW_to_HPM,4959.407889999843,3618.227778000125,8577.635667999968,0.1019908676319324,HPM_to_LPW,3618.227778000074,4959.407890000011,8577.635668000086,0.1963866622979627
2019/1/22,Tuesday,LPW_to_HPM,5646.388955000138,4024.230201000329,9670.619156000466,0.0981639244640287,HPM_to_LPW,4024.230200999938,5646.3889549999285,9670.619155999866,0.1854825864073364
2019/1/23,Wednesday,LPW_to_HPM,4967.731409000056,3623.056954000205,8590.788363000262,0.101262410994566,HPM_to_LPW,3623.0569540000047,4967.731408999974,8590.788362999978,0.1880642083439775
2019/1/24,Thursday,LPW_to_HPM,6007.263036999897,4198.962920000368,10206.225957000264,0.0979051311818494,HPM_to_LPW,4198.962920000029,6007.263036999911,10206.22595699994,0.1867450736021892
2019/1/25,Friday,LPW_to_HPM,6263.383544999972,4240.254627000293,10503.638172000265,0.0954725864696945,HPM_to_LPW,4240.254627000009,6263.383544999972,10503.63817199998,0.1842227327742099
2019/1/26,Saturday,LPW_to_HPM,5470.951104999954,3743.922820000422,9214.873925000376,0.0952563129827658,HPM_to_LPW,3743.922820000023,5470.951104999969,9214.873924999993,0.184830314307641
2019/1/27,Sunday,LPW_to_HPM,4056.5117290004832,2954.1709720010635,7010.682701001547,0.0870458724625244,HPM_to_LPW,2954.170972000082,4056.511728999914,7010.682700999996,0.1671383864700679
2019/1/28,Monday,LPW_to_HPM,3784.250171000345,3003.6360460007268,6787.8862170010725,0.0939322905272559,HPM_to_LPW,3003.636045999971,3784.250170999945,6787.886216999916,0.1711083536814697
2019/1/29,Tuesday,LPW_to_HPM,5422.30705999997,3486.648785000564,8908.955845000533,0.0939529587849989,HPM_to_LPW,3486.6487850000194,5422.307059999811,8908.95584499983,0.183469206562422
2019/1/30,Wednesday,LPW_to_HPM,3866.052811000046,3035.6934940002875,6901.746305000333,0.0979193762116273,HPM_to_LPW,3035.6934939999574,3866.052810999908,6901.746304999866,0.18390340414133
2019/1/31,Thursday,LPW_to_HPM,5052.981259999962,3902.798400000077,8955.77966000004,0.1056821622519197,HPM_to_LPW,3902.798399999937,5052.981260000098,8955.779660000035,0.1977301841167915
2019/2/1,Friday,LPW_to_HPM,6402.44845099978,4845.080540000288,11247.528991000068,0.1017844959359522,HPM_to_LPW,4845.080540000049,6402.4484509999575,11247.528991000006,0.1862919274989877
2019/2/2,Saturday,LPW_to_HPM,5704.235267000066,4375.997476000543,10080.23274300061,0.0958260162642525,HPM_to_LPW,4375.997475999972,5704.235267000006,10080.23274299998,0.1787434630948426
2019/2/3,Sunday,LPW_to_HPM,4513.892596000557,3878.791392000859,8392.683988001416,0.0900760805106275,HPM_to_LPW,3878.791391999915,4513.892595999948,8392.683987999862,0.1668297364507905
2019/2/4,Monday,LPW_to_HPM,5702.662373000205,4578.936563000658,10281.598936000864,0.0971823855020566,HPM_to_LPW,4578.936562999976,5702.662372999881,10281.598935999857,0.1763435464735123
2019/2/5,Tuesday,LPW_to_HPM,6178.360233999958,4788.191268000536,10966.551502000491,0.0983502107013987,HPM_to_LPW,4788.191268000025,6178.360234000019,10966.551502000044,0.1801697500786253
2019/2/6,Wednesday,LPW_to_HPM,4878.649633000046,3995.3740350002895,8874.023668000336,0.1003032463846508,HPM_to_LPW,3995.3740350000144,4878.649633000043,8874.023668000056,0.181130382797174
2019/2/7,Thursday,LPW_to_HPM,5921.739629999922,4519.569200000774,10441.308830000697,0.0958939580498185,HPM_to_LPW,4519.569199999983,5921.739629999857,10441.30882999984,0.1781111029939699
2019/2/8,Friday,LPW_to_HPM,6285.599129000074,4638.305405000714,10923.904534000789,0.0952897706471359,HPM_to_LPW,4638.305405000127,6285.599129000023,10923.90453400015,0.1800095241432953
2019/2/9,Saturday,LPW_to_HPM,5658.604047000065,4451.87961600071,10110.483663000774,0.0948284623614764,HPM_to_LPW,4451.879615999878,5658.604046999967,10110.483662999846,0.1809927875205433
2019/2/10,Sunday,LPW_to_HPM,4155.685210000414,3474.931418001045,7630.6166280014595,0.0882367291103971,HPM_to_LPW,3474.9314179999565,4155.685209999948,7630.616627999904,0.1656148814702037
2019/2/11,Monday,LPW_to_HPM,5355.484530000256,4006.501813000753,9361.986343001008,0.0920486852892067,HPM_to_LPW,4006.501812999987,5355.484529999875,9361.986342999862,0.1728952636057433
2019/2/12,Tuesday,LPW_to_HPM,4302.562368000463,3602.294983000689,7904.857351001152,0.0925779974544144,HPM_to_LPW,3602.2949829999934,4302.562368000011,7904.857351000004,0.1692410125056459
