Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,8028.171210000063,6215.234213000054,14243.405423000117,0.1144902556676378,HPM_to_LPW,6215.234213000161,8028.171209999987,14243.405423000147,0.1656468169725222
2019/1/2,Wednesday,LPW_to_HPM,11426.856047999832,7166.83382399997,18593.689871999803,0.1233668670628192,HPM_to_LPW,7166.833823999925,11426.85604799998,18593.689871999904,0.1786883873873701
2019/1/3,Thursday,LPW_to_HPM,12591.2119500001,8019.5068740000925,20610.718824000192,0.1241271705760984,HPM_to_LPW,8019.506873999958,12591.211950000114,20610.718824000072,0.1791188017399693
2019/1/4,Friday,LPW_to_HPM,13996.610471999824,9191.144012999832,23187.754484999656,0.122186715522009,HPM_to_LPW,9191.144013,13996.610471999838,23187.75448499984,0.1774626193952488
2019/1/5,Saturday,LPW_to_HPM,11963.33947800026,8230.161510999875,20193.50098900013,0.1183071715911342,HPM_to_LPW,8230.161510999782,11963.33947799994,20193.500988999724,0.1715725052493997
2019/1/6,Sunday,LPW_to_HPM,10462.764901000091,7309.842521,17772.607422000092,0.1147786751492335,HPM_to_LPW,7309.842521000035,10462.76490099992,17772.607421999954,0.1673498743274775
2019/1/7,Monday,LPW_to_HPM,11218.726640000152,8230.261735999886,19448.98837600004,0.124327884342058,HPM_to_LPW,8230.261735999933,11218.726639999952,19448.988375999885,0.1765885346939036
2019/1/8,Tuesday,LPW_to_HPM,13634.873272000006,8560.389280999952,22195.26255299996,0.1212193462987644,HPM_to_LPW,8560.389280999976,13634.873271999902,22195.26255299988,0.1755293187968385
2019/1/9,Wednesday,LPW_to_HPM,14141.461847999812,9354.783223000088,23496.2450709999,0.1192929363501124,HPM_to_LPW,9354.783222999798,14141.461848000032,23496.24507099983,0.1745230270665863
2019/1/10,Thursday,LPW_to_HPM,14516.232549000411,9859.82708199987,24376.059631000284,0.1200601496338675,HPM_to_LPW,9859.827081999943,14516.232548999884,24376.05963099983,0.1750866044461498
2019/1/11,Friday,LPW_to_HPM,15497.672620000145,10126.975927999913,25624.648548000056,0.118157628322546,HPM_to_LPW,10126.975928000214,15497.672619999934,25624.64854800015,0.1730544931456503
2019/1/12,Saturday,LPW_to_HPM,13486.16315300013,9317.608908999857,22803.772061999985,0.1187057753724249,HPM_to_LPW,9317.60890900013,13486.163152999872,22803.772062000004,0.17144660908124
2019/1/13,Sunday,LPW_to_HPM,10976.048691999817,7885.750293999959,18861.79898599977,0.115482652412878,HPM_to_LPW,7885.750293999971,10976.048691999797,18861.798985999765,0.1670780600440767
2019/1/14,Monday,LPW_to_HPM,13619.75688600022,9275.580340999988,22895.337227000207,0.1199481873816411,HPM_to_LPW,9275.580340999892,13619.756885999785,22895.33722699968,0.1742842172813121
2019/1/15,Tuesday,LPW_to_HPM,14133.557480999812,8978.30322900023,23111.860710000044,0.1205924650951882,HPM_to_LPW,8978.303229000163,14133.55748099958,23111.860709999743,0.1747125515133071
2019/1/16,Wednesday,LPW_to_HPM,14035.077537999668,9292.320607999894,23327.398145999563,0.1199948488266587,HPM_to_LPW,9292.320607999873,14035.077538000203,23327.39814600008,0.1746643991138027
2019/1/17,Thursday,LPW_to_HPM,14396.801801999953,9187.172542999915,23583.974344999868,0.1193299609938772,HPM_to_LPW,9187.172543000015,14396.80180200028,23583.974345000293,0.1739632373401273
2019/1/18,Friday,LPW_to_HPM,15106.3886869995,10039.856301000009,25146.244987999507,0.1167869242445226,HPM_to_LPW,10039.85630099985,15106.388687000052,25146.244987999904,0.1720154960755338
2019/1/19,Saturday,LPW_to_HPM,12834.651082000157,8404.506059999901,21239.15714200006,0.1174990028240574,HPM_to_LPW,8404.506059999896,12834.651082000104,21239.157142,0.170494089270398
2019/1/20,Sunday,LPW_to_HPM,10451.16123600005,7376.703025999769,17827.86426199982,0.1156780108452129,HPM_to_LPW,7376.703026000011,10451.161235999947,17827.86426199996,0.1672835577341968
2019/1/21,Monday,LPW_to_HPM,12409.023365999632,8467.851307999947,20876.874673999577,0.1221540913535737,HPM_to_LPW,8467.851307999925,12409.02336600007,20876.874673999995,0.176663841706042
2019/1/22,Tuesday,LPW_to_HPM,13788.222734999952,9188.28130899996,22976.50404399992,0.1189398650047852,HPM_to_LPW,9188.281309000033,13788.222734999965,22976.504044,0.1743440719528435
2019/1/23,Wednesday,LPW_to_HPM,13727.06320500008,8745.22681499992,22472.29002,0.1193605771637019,HPM_to_LPW,8745.226814999894,13727.063204999997,22472.29001999989,0.1745205907107328
