Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,6321.464980002298,5350.454747004047,11671.919727006343,0.0696219697495729,HPM_to_LPW,5350.45474700352,6321.4649800042125,11671.919727007731,0.1171418858172073
2019/1/2,Wednesday,LPW_to_HPM,8480.732377001817,6846.746095004384,15327.478472006202,0.0700904403656289,HPM_to_LPW,6846.746095004289,8480.732377003154,15327.478472007442,0.1195353669976462
2019/1/3,Thursday,LPW_to_HPM,8635.977853002552,7083.101177004215,15719.079030006767,0.0678267942504903,HPM_to_LPW,7083.101177004777,8635.977853003813,15719.07903000859,0.1160840762470487
2019/1/4,Friday,LPW_to_HPM,9074.91905200291,7670.098538004681,16745.017590007592,0.0668157863023131,HPM_to_LPW,7670.098538004759,9074.919052004543,16745.0175900093,0.1144159112652093
2019/1/5,Saturday,LPW_to_HPM,7767.155450002951,6386.347750004827,14153.503200007775,0.0649286671884907,HPM_to_LPW,6386.347750005626,7767.155450005016,14153.503200010642,0.109572936626856
2019/1/6,Sunday,LPW_to_HPM,7041.120680003675,5877.6176200051705,12918.738300008845,0.0619860793385328,HPM_to_LPW,5877.617620007187,7041.120680005738,12918.738300012925,0.1031776674331298
2019/1/7,Monday,LPW_to_HPM,7801.598872003255,6851.14856300461,14652.747435007865,0.0651093724715664,HPM_to_LPW,6851.148563005817,7801.59887200531,14652.747435011126,0.1083716892005534
2019/1/8,Tuesday,LPW_to_HPM,8994.12137600393,7170.078347004428,16164.199723008358,0.063808015682365,HPM_to_LPW,7170.078347005616,8994.121376006071,16164.199723011689,0.1084404056898123
2019/1/9,Wednesday,LPW_to_HPM,9661.369105003709,7883.455586004934,17544.824691008642,0.0649814054551823,HPM_to_LPW,7883.455586005252,9661.369105005417,17544.824691010668,0.109811213299963
2019/1/10,Thursday,LPW_to_HPM,9602.025270003513,8036.382543004513,17638.407813008023,0.0642770462998268,HPM_to_LPW,8036.382543005412,9602.02527000577,17638.40781301118,0.1089560950708343
2019/1/11,Friday,LPW_to_HPM,10133.73569400377,8220.11885000493,18353.8545440087,0.0640888995291838,HPM_to_LPW,8220.118850005609,10133.73569400504,18353.85454401065,0.1098036378866574
2019/1/12,Saturday,LPW_to_HPM,8433.147770003592,6849.202631004836,15282.350401008429,0.0632426121321364,HPM_to_LPW,6849.20263100629,8433.14777000595,15282.35040101224,0.1064102767276293
2019/1/13,Sunday,LPW_to_HPM,7521.548425004013,6384.33671000499,13905.885135009004,0.0621199885340754,HPM_to_LPW,6384.336710007018,7521.54842500574,13905.88513501276,0.1036216678363601
2019/1/14,Monday,LPW_to_HPM,8236.442370003482,6512.077650004957,14748.52002000844,0.0626426546826138,HPM_to_LPW,6512.077650006383,8236.442370005809,14748.52002001219,0.1042716766980404
2019/1/15,Tuesday,LPW_to_HPM,8607.565709003395,6599.0916490047375,15206.657358008131,0.0616667430438672,HPM_to_LPW,6599.091649006415,8607.565709005963,15206.657358012377,0.1043005063228987
2019/1/16,Wednesday,LPW_to_HPM,8753.421532003502,6914.428221004572,15667.849753008077,0.0627737516957222,HPM_to_LPW,6914.428221005783,8753.42153200551,15667.849753011293,0.1064036685976344
2019/1/17,Thursday,LPW_to_HPM,8589.196651003424,6466.386515005062,15055.583166008486,0.061562929048024,HPM_to_LPW,6466.3865150067695,8589.1966510057,15055.583166012468,0.1043319166951327
2019/1/18,Friday,LPW_to_HPM,9365.771891004437,7073.130395005464,16438.9022860099,0.0607729081473741,HPM_to_LPW,7073.130395007434,9365.771891006236,16438.90228601367,0.1032769969180384
2019/1/19,Saturday,LPW_to_HPM,8643.653821003805,6487.602058004742,15131.255879008546,0.0629783704434655,HPM_to_LPW,6487.602058006218,8643.653821005764,15131.255879011982,0.1062983904579239
2019/1/20,Sunday,LPW_to_HPM,7147.285269003895,5660.8471190048895,12808.132388008784,0.0618507509576729,HPM_to_LPW,5660.847119006591,7147.285269005814,12808.132388012404,0.1036102300750539
2019/1/21,Monday,LPW_to_HPM,7854.840126003179,6062.252490004422,13917.0926160076,0.0639041425188577,HPM_to_LPW,6062.252490005676,7854.840126004845,13917.09261601052,0.1080962478960965
2019/1/22,Tuesday,LPW_to_HPM,8894.9575210036,6547.203142004598,15442.1606630082,0.0626577644300718,HPM_to_LPW,6547.203142006214,8894.9575210057,15442.160663011911,0.105606885071283
2019/1/23,Wednesday,LPW_to_HPM,9417.97997600319,6833.953244004707,16251.933220007895,0.0644233224740071,HPM_to_LPW,6833.953244005176,9417.9799760053,16251.933220010476,0.109282072811425
2019/1/24,Thursday,LPW_to_HPM,9448.530695003528,6883.51433400475,16332.045029008275,0.0640773926652639,HPM_to_LPW,6883.514334005385,9448.530695005293,16332.045029010678,0.1090872645383431
2019/1/25,Friday,LPW_to_HPM,9863.596770003784,7158.492519004571,17022.089289008356,0.062648692515323,HPM_to_LPW,7158.492519005627,9863.596770005715,17022.089289011343,0.1062264450104805
