Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,1284.7225379999838,634.79896799999,1919.521505999974,0.147601395887878,HPM_to_LPW,634.7989679999764,1284.722538000059,1919.521506000036,0.0289110061029971
2019/1/2,Wednesday,LPW_to_HPM,1627.7292309999957,765.9660830000028,2393.6953139999982,0.145501851403257,HPM_to_LPW,765.9660829999868,1627.729231000051,2393.695314000038,0.0286739071783467
2019/1/3,Thursday,LPW_to_HPM,1718.794116999989,834.791203999991,2553.58532099998,0.1480953048266491,HPM_to_LPW,834.7912039999825,1718.7941170000358,2553.585321000018,0.0292181303280977
2019/1/4,Friday,LPW_to_HPM,1778.7964779999988,908.291651999997,2687.088129999996,0.1477160303910438,HPM_to_LPW,908.29165199998,1778.7964780000354,2687.088130000016,0.0293290596719002
2019/1/5,Saturday,LPW_to_HPM,1559.8242970000083,798.6852919999899,2358.5095889999984,0.1407656634134905,HPM_to_LPW,798.6852919999743,1559.8242970000692,2358.5095890000434,0.0275228400728254
2019/1/6,Sunday,LPW_to_HPM,1386.1551530000074,670.5396819999876,2056.694834999995,0.1329517734982135,HPM_to_LPW,670.5396819999793,1386.155153000092,2056.694835000071,0.0264356273001197
2019/1/7,Monday,LPW_to_HPM,1487.9243040000017,811.0165609999963,2298.9408649999978,0.1443045617756289,HPM_to_LPW,811.0165609999848,1487.9243040000536,2298.9408650000382,0.0289752254599251
2019/1/8,Tuesday,LPW_to_HPM,1867.7471280000136,876.5909919999988,2744.338120000012,0.1446632441495566,HPM_to_LPW,876.590991999982,1867.747128000061,2744.338120000043,0.0288266960349085
2019/1/9,Wednesday,LPW_to_HPM,1987.206554999982,940.9916369999968,2928.198191999979,0.1447557238281854,HPM_to_LPW,940.9916369999796,1987.2065550000425,2928.198192000022,0.0287791433044848
2019/1/10,Thursday,LPW_to_HPM,1964.7875750000028,994.3727719999948,2959.1603469999973,0.1466368802798664,HPM_to_LPW,994.3727719999848,1964.78757500004,2959.160347000025,0.0290293913347567
2019/1/11,Friday,LPW_to_HPM,2061.5293939999983,994.3243319999968,3055.853725999995,0.1442536847970875,HPM_to_LPW,994.3243319999846,2061.5293940000383,3055.853726000023,0.0285151800084814
2019/1/12,Saturday,LPW_to_HPM,1711.7534920000005,850.2997779999955,2562.053269999996,0.1390087317234778,HPM_to_LPW,850.299777999976,1711.75349200006,2562.053270000036,0.0274069228739992
2019/1/13,Sunday,LPW_to_HPM,1451.1776149999985,710.3708099999914,2161.54842499999,0.1335030041199515,HPM_to_LPW,710.3708099999815,1451.177615000067,2161.548425000048,0.0261994102986756
2019/1/14,Monday,LPW_to_HPM,1894.955686999977,918.2783759999952,2813.234062999972,0.1428645723548167,HPM_to_LPW,918.2783759999847,1894.9556870000583,2813.234063000043,0.0281507780294836
2019/1/15,Tuesday,LPW_to_HPM,1909.3518689999933,915.3087779999976,2824.660646999991,0.1436683121788056,HPM_to_LPW,915.3087779999836,1909.3518690000485,2824.660647000032,0.0284956502134929
2019/1/16,Wednesday,LPW_to_HPM,1885.172577,908.163975999992,2793.336552999992,0.1438075039793889,HPM_to_LPW,908.163975999979,1885.172577000046,2793.336553000025,0.0283978729303423
2019/1/17,Thursday,LPW_to_HPM,1963.417887999987,910.176757999988,2873.594645999975,0.1441040657031338,HPM_to_LPW,910.176757999984,1963.417888000036,2873.59464600002,0.0286968111677605
2019/1/18,Friday,LPW_to_HPM,1971.3450619999987,921.4484379999992,2892.793499999998,0.1451439458224173,HPM_to_LPW,921.448437999988,1971.345062000033,2892.793500000021,0.0290137735060144
2019/1/19,Saturday,LPW_to_HPM,1696.7530240000049,808.6482579999945,2505.401282,0.1418689825566208,HPM_to_LPW,808.6482579999818,1696.753024000062,2505.4012820000435,0.0276432587830909
2019/1/20,Sunday,LPW_to_HPM,1363.7593040000058,662.648719999994,2026.408024,0.1346789798065855,HPM_to_LPW,662.6487199999813,1363.759304000081,2026.4080240000624,0.0267412723129677
2019/1/21,Monday,LPW_to_HPM,1651.839360999998,791.4327429999979,2443.272103999996,0.141050236802879,HPM_to_LPW,791.432742999981,1651.8393610000758,2443.272104000057,0.0282553637907483
2019/1/22,Tuesday,LPW_to_HPM,1892.657319000004,902.627600999996,2795.28492,0.1441365713849562,HPM_to_LPW,902.6276009999792,1892.657319000032,2795.284920000011,0.0286166888420093
2019/1/23,Wednesday,LPW_to_HPM,1935.268284999988,922.6451919999912,2857.913476999979,0.1445632541037551,HPM_to_LPW,922.6451919999776,1935.2682850000413,2857.9134770000187,0.0286420137306415
2019/1/24,Thursday,LPW_to_HPM,1964.962867999984,946.7262769999966,2911.6891449999803,0.1463332505466405,HPM_to_LPW,946.7262769999876,1964.962868000037,2911.689145000025,0.0289377151027573
2019/1/25,Friday,LPW_to_HPM,2063.2133940000085,978.7962379999998,3042.0096320000084,0.1432986112877175,HPM_to_LPW,978.7962379999824,2063.21339400005,3042.009632000032,0.0285039237277824
2019/1/26,Saturday,LPW_to_HPM,1622.019423999982,769.529769999999,2391.549193999981,0.1419337950726697,HPM_to_LPW,769.5297699999795,1622.01942400007,2391.5491940000497,0.0277498020830122
2019/1/27,Sunday,LPW_to_HPM,1421.9036720000142,648.4608369999914,2070.364509000005,0.1337129667902788,HPM_to_LPW,648.4608369999868,1421.9036720000836,2070.3645090000705,0.0261634394728461
2019/1/28,Monday,LPW_to_HPM,1836.024135000012,882.7904049999937,2718.8145400000053,0.1447854392953491,HPM_to_LPW,882.7904049999858,1836.0241350000583,2718.814540000044,0.0284202693120032
2019/1/29,Tuesday,LPW_to_HPM,1841.235666000009,829.6550049999921,2670.890671000001,0.1428865177823449,HPM_to_LPW,829.6550049999857,1841.2356660000607,2670.890671000047,0.0280725116610929
2019/1/30,Wednesday,LPW_to_HPM,1865.245303000005,854.3749919999932,2719.620294999998,0.1430951537103212,HPM_to_LPW,854.3749919999799,1865.2453030000493,2719.6202950000293,0.0283836081013451
2019/1/31,Thursday,LPW_to_HPM,1937.604461999995,959.7142419999952,2897.3187039999902,0.1449543238950062,HPM_to_LPW,959.7142419999848,1937.604462000059,2897.3187040000435,0.0285637742296078
