Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,7724.517345015254,10217.762765011645,17942.2801100269,0.0774831022042426,HPM_to_LPW,10217.762765012552,7724.517345011298,17942.28011002385,0.1601756865508974
2019/1/2,Wednesday,LPW_to_HPM,11564.482334013115,14556.20482901697,26120.687163030085,0.0832612181414398,HPM_to_LPW,14556.20482900734,11564.482334006716,26120.687163014056,0.1759143153012641
2019/1/3,Thursday,LPW_to_HPM,12200.915417013188,15647.151776016412,27848.0671930296,0.0837187311613432,HPM_to_LPW,15647.151776007137,12200.91541700578,27848.06719301292,0.1754538843923055
2019/1/4,Friday,LPW_to_HPM,13386.512440009978,17326.477449031758,30712.98988904173,0.0848525832905118,HPM_to_LPW,17326.477449008467,13386.512440005656,30712.989889014123,0.1786032328940413
2019/1/5,Saturday,LPW_to_HPM,9772.7245480179,12041.90452501381,21814.62907303171,0.0789543169126713,HPM_to_LPW,12041.90452500938,9772.724548011847,21814.629073021228,0.1641257619189874
2019/1/6,Sunday,LPW_to_HPM,8583.264634013496,10260.822119009372,18844.086753022868,0.0715230940213201,HPM_to_LPW,10260.822119011698,8583.264634011666,18844.086753023366,0.1477653954064269
2019/1/7,Monday,LPW_to_HPM,9910.029618017328,13406.31351701826,23316.34313503559,0.0826449050751739,HPM_to_LPW,13406.313517008108,9910.029618009585,23316.34313501769,0.1643172465937961
2019/1/8,Tuesday,LPW_to_HPM,12770.063048010668,15367.17723001536,28137.24027802603,0.085794950504351,HPM_to_LPW,15367.17723000677,12770.063048005475,28137.240278012247,0.1767256424443865
2019/1/9,Wednesday,LPW_to_HPM,13686.7840210119,17217.473342030997,30904.257363042896,0.0855573791781593,HPM_to_LPW,17217.47334200785,13686.78402100704,30904.257363014887,0.1750419271605771
2019/1/10,Thursday,LPW_to_HPM,13878.549821010538,17750.658332034604,31629.20815304514,0.0860221192659658,HPM_to_LPW,17750.658332008683,13878.549821006012,31629.208153014697,0.1769386191517048
