Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,2898.7676840000045,3877.196358999985,6775.964042999989,0.184072113565183,HPM_to_LPW,3877.196358999936,2898.7676839999885,6775.964042999924,0.1868438326325456
2019/1/2,Wednesday,LPW_to_HPM,3261.841715999953,4440.912286999985,7702.754002999938,0.1793600408504732,HPM_to_LPW,4440.912287000011,3261.841715999993,7702.754003000005,0.1841250584667182
2019/1/3,Thursday,LPW_to_HPM,3531.7308199999698,4858.441911999909,8390.172731999879,0.1784333268338182,HPM_to_LPW,4858.441912000001,3531.730820000018,8390.17273200002,0.184136513408822
2019/1/4,Friday,LPW_to_HPM,3826.737859999945,5166.1067000000485,8992.844559999994,0.1784942335477427,HPM_to_LPW,5166.106699999987,3826.7378600000175,8992.844560000005,0.1804942585126837
2019/1/5,Saturday,LPW_to_HPM,2937.353977,4029.394450000064,6966.748427000062,0.1719963657941725,HPM_to_LPW,4029.394449999973,2937.353977000007,6966.74842699998,0.1767123230692324
2019/1/6,Sunday,LPW_to_HPM,2712.7998980000834,3678.508820000104,6391.308718000188,0.1704341231848845,HPM_to_LPW,3678.508819999959,2712.799897999997,6391.308717999957,0.1744195741396209
2019/1/7,Monday,LPW_to_HPM,2967.097228000023,4261.314636999943,7228.411864999965,0.1795194335033379,HPM_to_LPW,4261.314636999932,2967.0972280000865,7228.411865000018,0.1797492137814175
2019/1/8,Tuesday,LPW_to_HPM,3527.224366999944,4645.644915000044,8172.869281999989,0.1809389719519892,HPM_to_LPW,4645.644914999941,3527.224366999964,8172.869281999905,0.183782138281346
2019/1/9,Wednesday,LPW_to_HPM,4043.989690999982,5417.503586999876,9461.493277999858,0.1904129235896529,HPM_to_LPW,5417.503587000031,4043.989690999997,9461.493278000027,0.1904152263706141
2019/1/10,Thursday,LPW_to_HPM,4171.033834999976,5656.532942999927,9827.566777999902,0.1922667020657991,HPM_to_LPW,5656.532942999974,4171.033834999979,9827.566777999951,0.1918314155228488
2019/1/11,Friday,LPW_to_HPM,4417.107848999999,5857.425652000055,10274.533501000053,0.1907296452004014,HPM_to_LPW,5857.4256519999735,4417.107849000019,10274.533500999993,0.1919712126093978
2019/1/12,Saturday,LPW_to_HPM,3639.095994999976,4673.964606999994,8313.06060199997,0.1817548668609728,HPM_to_LPW,4673.964606999968,3639.095995000025,8313.060601999994,0.1833071051182755
2019/1/13,Sunday,LPW_to_HPM,2924.562380999951,4011.714111999945,6936.276492999896,0.1881352471128592,HPM_to_LPW,4011.7141119999264,2924.5623810000216,6936.2764929999485,0.1920491253119359
2019/1/14,Monday,LPW_to_HPM,3842.418322999972,5095.997196000037,8938.41551900001,0.1852839372355097,HPM_to_LPW,5095.9971959999375,3842.4183230000017,8938.41551899994,0.186148350030588
2019/1/15,Tuesday,LPW_to_HPM,4128.084359999901,5274.716490000023,9402.800849999923,0.192757022872068,HPM_to_LPW,5274.716489999946,4128.0843599999625,9402.800849999909,0.1922553056826744
2019/1/16,Wednesday,LPW_to_HPM,3971.7411090000087,5062.654277000022,9034.395386000033,0.1839279955390174,HPM_to_LPW,5062.654276999995,3971.7411089999982,9034.395385999993,0.1831905575025333
2019/1/17,Thursday,LPW_to_HPM,3971.3925159999912,5076.819782000047,9048.21229800004,0.1775797031556053,HPM_to_LPW,5076.819781999959,3971.392516000029,9048.212297999988,0.1812502614604166
2019/1/18,Friday,LPW_to_HPM,3932.258839999981,4900.732160000059,8832.99100000004,0.181218437008421,HPM_to_LPW,4900.732159999921,3932.2588399999913,8832.990999999913,0.1817981264508087
2019/1/19,Saturday,LPW_to_HPM,3441.748832999982,4163.080918000117,7604.829751000099,0.1764546904206989,HPM_to_LPW,4163.080917999982,3441.748832999979,7604.829750999961,0.1795514925760291
