Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,2094.088695000275,1462.9012610003574,3556.9899560006324,0.034089579310654,HPM_to_LPW,1462.9012610000404,2094.088695000225,3556.989956000266,0.306752233228242
2019/1/2,Wednesday,LPW_to_HPM,2899.9008240000835,1941.9178620001865,4841.81868600027,0.034240147788704,HPM_to_LPW,1941.917862000083,2899.900824000113,4841.818686000197,0.3208720885606198
2019/1/3,Thursday,LPW_to_HPM,3051.6612959999848,2090.1753130001694,5141.836609000155,0.0343315329432196,HPM_to_LPW,2090.1753130000848,3051.6612960000634,5141.836609000148,0.3224086515274023
2019/1/4,Friday,LPW_to_HPM,3255.38594900008,2251.0779470001085,5506.4638960001885,0.034310922020059,HPM_to_LPW,2251.077947000065,3255.3859490000737,5506.463896000138,0.3194377657415668
2019/1/5,Saturday,LPW_to_HPM,2775.3738320001125,1850.0518100003144,4625.425642000427,0.0335262962204917,HPM_to_LPW,1850.0518100001416,2775.373832000194,4625.425642000336,0.3153318285434807
2019/1/6,Sunday,LPW_to_HPM,2439.6674930002205,1748.3644860003803,4188.031979000601,0.0334237662759648,HPM_to_LPW,1748.364486000185,2439.667493000233,4188.031979000418,0.3108756464868676
2019/1/7,Monday,LPW_to_HPM,2790.137788000098,2023.5869830003128,4813.724771000412,0.0335381321393812,HPM_to_LPW,2023.5869830001384,2790.1377880001933,4813.724771000332,0.3127646122371383
2019/1/8,Tuesday,LPW_to_HPM,3131.245989000098,2160.683539000323,5291.929528000421,0.0327947844429536,HPM_to_LPW,2160.68353900018,3131.2459890001865,5291.929528000366,0.3116520342777634
2019/1/9,Wednesday,LPW_to_HPM,3375.593437000099,2337.8153780002444,5713.408815000344,0.0333391949268311,HPM_to_LPW,2337.815378000172,3375.59343700016,5713.408815000332,0.3154095276157468
2019/1/10,Thursday,LPW_to_HPM,3392.723023000094,2384.96335700026,5777.686380000354,0.0329957599391236,HPM_to_LPW,2384.963357000173,3392.7230230001205,5777.686380000294,0.3151378720422477
2019/1/11,Friday,LPW_to_HPM,3619.05880400004,2434.193922000214,6053.2527260002535,0.0330516710556669,HPM_to_LPW,2434.193922000173,3619.0588040001167,6053.25272600029,0.3136039559804036
