Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,47.00548500000007,100.32360599999996,147.32909100000003,0.0070304344027032,HPM_to_LPW,100.3236059999999,47.00548500000019,147.3290910000001,0.2640095040636829
2019/1/2,Wednesday,LPW_to_HPM,60.28317199999992,133.1963130000002,193.47948500000007,0.0070498389523131,HPM_to_LPW,133.19631299999995,60.28317199999996,193.4794849999999,0.2751990000561753
2019/1/3,Thursday,LPW_to_HPM,63.52816599999993,144.04014200000017,207.5683080000001,0.0070399121395728,HPM_to_LPW,144.04014200000012,63.52816600000004,207.56830800000017,0.2759389820355089
2019/1/4,Friday,LPW_to_HPM,68.1358600000001,168.57370699999993,236.709567,0.0071078510512931,HPM_to_LPW,168.57370700000024,68.1358600000001,236.7095670000004,0.2710188110860914
2019/1/5,Saturday,LPW_to_HPM,56.647465000000025,116.44533100000008,173.09279600000008,0.0069208875443057,HPM_to_LPW,116.44533100000014,56.64746499999997,173.0927960000001,0.2587674108478028
2019/1/6,Sunday,LPW_to_HPM,48.871387000000006,86.91956000000009,135.7909470000001,0.0068543320967654,HPM_to_LPW,86.91955999999998,48.871387000000034,135.79094700000002,0.2548960741187104
2019/1/7,Monday,LPW_to_HPM,69.4351789999999,144.37862599999983,213.8138049999997,0.0071091614230057,HPM_to_LPW,144.37862600000008,69.43517899999993,213.813805,0.2673678422650717
2019/1/8,Tuesday,LPW_to_HPM,74.10197699999998,176.642687,250.744664,0.0071839048488418,HPM_to_LPW,176.64268699999985,74.10197699999983,250.7446639999997,0.2919713747843223
2019/1/9,Wednesday,LPW_to_HPM,83.29720099999982,176.53505299999964,259.83225399999947,0.0072571180165186,HPM_to_LPW,176.5350529999996,83.29720099999987,259.83225399999947,0.2775708358681533
2019/1/10,Thursday,LPW_to_HPM,81.37696399999992,196.249382,277.6263459999999,0.0072322221846512,HPM_to_LPW,196.2493820000005,81.37696399999989,277.6263460000004,0.2744746605237409
2019/1/11,Friday,LPW_to_HPM,83.21407599999998,191.4450179999998,274.6590939999997,0.0072625307001716,HPM_to_LPW,191.44501799999995,83.21407600000008,274.65909400000004,0.2782631051314268
2019/1/12,Saturday,LPW_to_HPM,71.7834159999999,133.63753600000024,205.4209520000001,0.0069517157614163,HPM_to_LPW,133.6375359999998,71.78341600000017,205.420952,0.2589874728682169
2019/1/13,Sunday,LPW_to_HPM,61.67385400000001,107.52967799999998,169.203532,0.0068087716724833,HPM_to_LPW,107.5296779999999,61.67385400000008,169.203532,0.2471946421797411
2019/1/14,Monday,LPW_to_HPM,81.00720099999997,195.0442369999999,276.05143799999985,0.0071897755966166,HPM_to_LPW,195.044237,81.00720099999995,276.051438,0.2876758776621307
2019/1/15,Tuesday,LPW_to_HPM,78.20445899999994,164.020965,242.22542399999992,0.007270099389315,HPM_to_LPW,164.02096499999988,78.20445899999994,242.2254239999998,0.2908173158923216
2019/1/16,Wednesday,LPW_to_HPM,79.5493370000001,177.10556099999994,256.654898,0.0072714200449009,HPM_to_LPW,177.105561,79.54933700000012,256.6548980000001,0.2829162384085358
2019/1/17,Thursday,LPW_to_HPM,82.10866099999998,192.1997800000001,274.30844100000013,0.0071386420591468,HPM_to_LPW,192.19978000000003,82.10866099999983,274.30844099999985,0.2733994041160705
