Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,805.0,1468.0,2273.0,0.0473947600824256,HPM_to_LPW,1468.0,805.0,2273.0,0.2295184490306441
2019/1/2,Wednesday,LPW_to_HPM,996.0,1679.0,2675.0,0.0430349118562046,HPM_to_LPW,1679.0,996.0,2675.0,0.2427002023706273
2019/1/3,Thursday,LPW_to_HPM,1026.0,1726.0,2752.0,0.0407482425831049,HPM_to_LPW,1726.0,1026.0,2752.0,0.2271351493617581
2019/1/4,Friday,LPW_to_HPM,1089.0,1861.0,2950.0,0.0402990045516782,HPM_to_LPW,1861.0,1089.0,2950.0,0.2330911823647294
2019/1/5,Saturday,LPW_to_HPM,964.0,1717.0,2681.0,0.0347512617159336,HPM_to_LPW,1717.0,964.0,2681.0,0.2244737874231925
2019/1/6,Sunday,LPW_to_HPM,847.0,1555.0,2402.0,0.0338772898168146,HPM_to_LPW,1555.0,847.0,2402.0,0.2285756283992356
2019/1/7,Monday,LPW_to_HPM,976.0,1673.0,2649.0,0.0447850227137154,HPM_to_LPW,1673.0,976.0,2649.0,0.2222369819341126
2019/1/8,Tuesday,LPW_to_HPM,1143.0,1711.0,2854.0,0.0399944014836068,HPM_to_LPW,1711.0,1143.0,2854.0,0.2288044931799946
2019/1/9,Wednesday,LPW_to_HPM,1243.0,1959.0,3202.0,0.0414471490496832,HPM_to_LPW,1959.0,1243.0,3202.0,0.2359956631731116
2019/1/10,Thursday,LPW_to_HPM,1451.0,2036.0,3487.0,0.0484102358789577,HPM_to_LPW,2036.0,1451.0,3487.0,0.2345351917981799
