Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,2836.0,5727.0,8563.0,0.0329174162846033,HPM_to_LPW,5727.0,2836.0,8563.0,0.1809936160798938
2019/1/2,Wednesday,LPW_to_HPM,3975.0,8196.0,12171.0,0.0345402883136518,HPM_to_LPW,8196.0,3975.0,12171.0,0.2346675828895378
2019/1/3,Thursday,LPW_to_HPM,4028.0,8801.0,12829.0,0.0334215613876419,HPM_to_LPW,8801.0,4028.0,12829.0,0.2335288030355295
2019/1/4,Friday,LPW_to_HPM,4400.0,9740.0,14140.0,0.0336960767045237,HPM_to_LPW,9740.0,4400.0,14140.0,0.231722694073704
2019/1/5,Saturday,LPW_to_HPM,3823.0,8192.0,12015.0,0.0295502152690283,HPM_to_LPW,8192.0,3823.0,12015.0,0.2068739109573474
2019/1/6,Sunday,LPW_to_HPM,3447.0,6342.0,9789.0,0.0319030783184939,HPM_to_LPW,6342.0,3447.0,9789.0,0.1854006489899728
2019/1/7,Monday,LPW_to_HPM,4050.0,8416.0,12466.0,0.0364270873620492,HPM_to_LPW,8416.0,4050.0,12466.0,0.2287391623406626
2019/1/8,Tuesday,LPW_to_HPM,4280.0,9151.0,13431.0,0.0323494954839197,HPM_to_LPW,9151.0,4280.0,13431.0,0.2359173992626775
2019/1/9,Wednesday,LPW_to_HPM,4777.0,10111.0,14888.0,0.0334727740289952,HPM_to_LPW,10111.0,4777.0,14888.0,0.239307945374074
2019/1/10,Thursday,LPW_to_HPM,4597.0,10298.0,14895.0,0.0322508225818898,HPM_to_LPW,10298.0,4597.0,14895.0,0.2401249825117754
2019/1/11,Friday,LPW_to_HPM,4881.0,10942.0,15823.0,0.0315383422501356,HPM_to_LPW,10942.0,4881.0,15823.0,0.2374875200763988
2019/1/12,Saturday,LPW_to_HPM,4118.0,8100.0,12218.0,0.0312232255912168,HPM_to_LPW,8100.0,4118.0,12218.0,0.2103349779278109
2019/1/13,Sunday,LPW_to_HPM,3423.0,6968.0,10391.0,0.0293706293706293,HPM_to_LPW,6968.0,3423.0,10391.0,0.2026936614596969
2019/1/14,Monday,LPW_to_HPM,4391.0,9889.0,14280.0,0.0317427040938039,HPM_to_LPW,9889.0,4391.0,14280.0,0.2422765024377098
2019/1/15,Tuesday,LPW_to_HPM,4372.0,9550.0,13922.0,0.0312368268756742,HPM_to_LPW,9550.0,4372.0,13922.0,0.2369374286706694
2019/1/16,Wednesday,LPW_to_HPM,4780.0,9629.0,14409.0,0.0336321292374372,HPM_to_LPW,9629.0,4780.0,14409.0,0.2336795612289472
2019/1/17,Thursday,LPW_to_HPM,5009.0,9650.0,14659.0,0.0343819283807065,HPM_to_LPW,9650.0,5009.0,14659.0,0.2315036944631033
2019/1/18,Friday,LPW_to_HPM,4863.0,10126.0,14989.0,0.0318672101283076,HPM_to_LPW,10126.0,4863.0,14989.0,0.2272645659394918
2019/1/19,Saturday,LPW_to_HPM,3655.0,6419.0,10074.0,0.0337444836309249,HPM_to_LPW,6419.0,3655.0,10074.0,0.2064983110825156
2019/1/20,Sunday,LPW_to_HPM,3611.0,5923.0,9534.0,0.0327228570651829,HPM_to_LPW,5923.0,3611.0,9534.0,0.189542065346091
2019/1/21,Monday,LPW_to_HPM,3911.0,7569.0,11480.0,0.0332703824690349,HPM_to_LPW,7569.0,3911.0,11480.0,0.2266235516033414
2019/1/22,Tuesday,LPW_to_HPM,4858.0,8763.0,13621.0,0.0373726805551281,HPM_to_LPW,8763.0,4858.0,13621.0,0.2294399497290079
2019/1/23,Wednesday,LPW_to_HPM,4613.0,8932.0,13545.0,0.0337345697068975,HPM_to_LPW,8932.0,4613.0,13545.0,0.2281248403739081
2019/1/24,Thursday,LPW_to_HPM,4640.0,9473.0,14113.0,0.0318880619068236,HPM_to_LPW,9473.0,4640.0,14113.0,0.23402257960918
2019/1/25,Friday,LPW_to_HPM,4599.0,8693.0,13292.0,0.0324384945265771,HPM_to_LPW,8693.0,4599.0,13292.0,0.2260858257477243
2019/1/26,Saturday,LPW_to_HPM,3878.0,7459.0,11337.0,0.0289191486823069,HPM_to_LPW,7459.0,3878.0,11337.0,0.2051260897065698
2019/1/27,Sunday,LPW_to_HPM,3491.0,5738.0,9229.0,0.0312519582829774,HPM_to_LPW,5738.0,3491.0,9229.0,0.1856597424448327
