Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,1317.0,1996.0,3313.0,0.054561272682078,HPM_to_LPW,1996.0,1317.0,3313.0,0.0998949001551473
2019/1/2,Wednesday,LPW_to_HPM,1714.0,3085.0,4799.0,0.0573666242720396,HPM_to_LPW,3085.0,1714.0,4799.0,0.1536278073801105
2019/1/3,Thursday,LPW_to_HPM,1811.0,3478.0,5289.0,0.0555095785440613,HPM_to_LPW,3478.0,1811.0,5289.0,0.1591762013729977
2019/1/4,Friday,LPW_to_HPM,2016.0,4170.0,6186.0,0.0529592560485459,HPM_to_LPW,4170.0,2016.0,6186.0,0.1593184075800412
2019/1/5,Saturday,LPW_to_HPM,1708.0,3577.0,5285.0,0.0493927125506072,HPM_to_LPW,3577.0,1708.0,5285.0,0.1479995034962141
2019/1/6,Sunday,LPW_to_HPM,1726.0,3246.0,4972.0,0.0535509292296236,HPM_to_LPW,3246.0,1726.0,4972.0,0.1436029021412139
2019/1/7,Monday,LPW_to_HPM,1871.0,3841.0,5712.0,0.0596600873696629,HPM_to_LPW,3841.0,1871.0,5712.0,0.1648073457478761
2019/1/8,Tuesday,LPW_to_HPM,2168.0,4182.0,6350.0,0.0561541649399088,HPM_to_LPW,4182.0,2168.0,6350.0,0.1702144979445642
2019/1/9,Wednesday,LPW_to_HPM,2357.0,4346.0,6703.0,0.0571283145087013,HPM_to_LPW,4346.0,2357.0,6703.0,0.1626071014330078
2019/1/10,Thursday,LPW_to_HPM,2206.0,4330.0,6536.0,0.0540858606909064,HPM_to_LPW,4330.0,2206.0,6536.0,0.158718522048312
2019/1/11,Friday,LPW_to_HPM,2325.0,4351.0,6676.0,0.0530894643101794,HPM_to_LPW,4351.0,2325.0,6676.0,0.153827116846385
2019/1/12,Saturday,LPW_to_HPM,1815.0,3532.0,5347.0,0.0459947796558627,HPM_to_LPW,3532.0,1815.0,5347.0,0.1385206682877088
2019/1/13,Sunday,LPW_to_HPM,1725.0,2942.0,4667.0,0.0527619746742521,HPM_to_LPW,2942.0,1725.0,4667.0,0.1292505052280116
2019/1/14,Monday,LPW_to_HPM,2072.0,4079.0,6151.0,0.0531350173099115,HPM_to_LPW,4079.0,2072.0,6151.0,0.1560205018359853
2019/1/15,Tuesday,LPW_to_HPM,2513.0,3970.0,6483.0,0.0622738761956683,HPM_to_LPW,3970.0,2513.0,6483.0,0.1559308719560094
2019/1/16,Wednesday,LPW_to_HPM,2592.0,4490.0,7082.0,0.0630457519519373,HPM_to_LPW,4490.0,2592.0,7082.0,0.1666976053462038
2019/1/17,Thursday,LPW_to_HPM,2729.0,4643.0,7372.0,0.0651935021500238,HPM_to_LPW,4643.0,2729.0,7372.0,0.1736025425313142
2019/1/18,Friday,LPW_to_HPM,2901.0,4781.0,7682.0,0.064613123078979,HPM_to_LPW,4781.0,2901.0,7682.0,0.164244735305232
2019/1/19,Saturday,LPW_to_HPM,2397.0,3464.0,5861.0,0.0639285238031737,HPM_to_LPW,3464.0,2397.0,5861.0,0.1433300231711353
2019/1/20,Sunday,LPW_to_HPM,2341.0,3140.0,5481.0,0.0710664521417079,HPM_to_LPW,3140.0,2341.0,5481.0,0.1364327612426678
2019/1/21,Monday,LPW_to_HPM,2558.0,3834.0,6392.0,0.0713071111978368,HPM_to_LPW,3834.0,2558.0,6392.0,0.1564897959183673
2019/1/22,Tuesday,LPW_to_HPM,2831.0,4643.0,7474.0,0.0714429919749659,HPM_to_LPW,4643.0,2831.0,7474.0,0.1728270984552391
2019/1/23,Wednesday,LPW_to_HPM,2743.0,4517.0,7260.0,0.0676282051282051,HPM_to_LPW,4517.0,2743.0,7260.0,0.1706073424988669
2019/1/24,Thursday,LPW_to_HPM,2617.0,4512.0,7129.0,0.0628708708708708,HPM_to_LPW,4512.0,2617.0,7129.0,0.1676887055413089
2019/1/25,Friday,LPW_to_HPM,2567.0,4781.0,7348.0,0.0566404095231791,HPM_to_LPW,4781.0,2567.0,7348.0,0.1659435632223803
2019/1/26,Saturday,LPW_to_HPM,2235.0,3799.0,6034.0,0.0537375874588252,HPM_to_LPW,3799.0,2235.0,6034.0,0.1477405304503383
2019/1/27,Sunday,LPW_to_HPM,2139.0,3324.0,5463.0,0.0612157289222139,HPM_to_LPW,3324.0,2139.0,5463.0,0.1454195467669962
2019/1/28,Monday,LPW_to_HPM,2447.0,4407.0,6854.0,0.0624664947795675,HPM_to_LPW,4407.0,2447.0,6854.0,0.1683796278607725
2019/1/29,Tuesday,LPW_to_HPM,2449.0,4229.0,6678.0,0.0625990491283676,HPM_to_LPW,4229.0,2449.0,6678.0,0.1706273956021787
2019/1/30,Wednesday,LPW_to_HPM,2628.0,4310.0,6938.0,0.064749796732944,HPM_to_LPW,4310.0,2628.0,6938.0,0.1680705038215567
2019/1/31,Thursday,LPW_to_HPM,2823.0,4643.0,7466.0,0.0672270908744522,HPM_to_LPW,4643.0,2823.0,7466.0,0.1624108017349937
2019/2/1,Friday,LPW_to_HPM,2691.0,4823.0,7514.0,0.0588943359887945,HPM_to_LPW,4823.0,2691.0,7514.0,0.1556107633735561
2019/2/2,Saturday,LPW_to_HPM,2376.0,3860.0,6236.0,0.0564156140184253,HPM_to_LPW,3860.0,2376.0,6236.0,0.1375231580447484
2019/2/3,Sunday,LPW_to_HPM,2032.0,3256.0,5288.0,0.0582886319956398,HPM_to_LPW,3256.0,2032.0,5288.0,0.1277363672028246
2019/2/4,Monday,LPW_to_HPM,2420.0,4483.0,6903.0,0.0598299050632911,HPM_to_LPW,4483.0,2420.0,6903.0,0.1579244020150068
2019/2/5,Tuesday,LPW_to_HPM,2626.0,4563.0,7189.0,0.0625074385280045,HPM_to_LPW,4563.0,2626.0,7189.0,0.1590394200271862
2019/2/6,Wednesday,LPW_to_HPM,2671.0,4743.0,7414.0,0.0637683235448598,HPM_to_LPW,4743.0,2671.0,7414.0,0.167478813559322
2019/2/7,Thursday,LPW_to_HPM,2645.0,4567.0,7212.0,0.0643301877614554,HPM_to_LPW,4567.0,2645.0,7212.0,0.1691230928751296
2019/2/8,Friday,LPW_to_HPM,2734.0,4758.0,7492.0,0.0609465213223656,HPM_to_LPW,4758.0,2734.0,7492.0,0.1639897980285379
2019/2/9,Saturday,LPW_to_HPM,2402.0,3963.0,6365.0,0.0593628747250574,HPM_to_LPW,3963.0,2402.0,6365.0,0.1525991528686946
2019/2/10,Sunday,LPW_to_HPM,2084.0,3307.0,5391.0,0.0630674252511802,HPM_to_LPW,3307.0,2084.0,5391.0,0.1445114490473693
2019/2/11,Monday,LPW_to_HPM,2543.0,4247.0,6790.0,0.0645546163023887,HPM_to_LPW,4247.0,2543.0,6790.0,0.1581161578555472
2019/2/12,Tuesday,LPW_to_HPM,2654.0,4877.0,7531.0,0.0614309191491331,HPM_to_LPW,4877.0,2654.0,7531.0,0.1681260341974627
2019/2/13,Wednesday,LPW_to_HPM,2627.0,4783.0,7410.0,0.0601557133043279,HPM_to_LPW,4783.0,2627.0,7410.0,0.168783964994001
2019/2/14,Thursday,LPW_to_HPM,2554.0,5112.0,7666.0,0.0572299280704506,HPM_to_LPW,5112.0,2554.0,7666.0,0.1690979458172075
2019/2/15,Friday,LPW_to_HPM,2600.0,4911.0,7511.0,0.0616976341330295,HPM_to_LPW,4911.0,2600.0,7511.0,0.16321036889332
2019/2/16,Saturday,LPW_to_HPM,2015.0,3863.0,5878.0,0.0552130428825866,HPM_to_LPW,3863.0,2015.0,5878.0,0.1451164537941397
2019/2/17,Sunday,LPW_to_HPM,1963.0,3332.0,5295.0,0.058623264148126,HPM_to_LPW,3332.0,1963.0,5295.0,0.1405847854520906
2019/2/18,Monday,LPW_to_HPM,2263.0,4033.0,6296.0,0.062355340019839,HPM_to_LPW,4033.0,2263.0,6296.0,0.1579153451583852
2019/2/19,Tuesday,LPW_to_HPM,2548.0,4525.0,7073.0,0.0635189709328414,HPM_to_LPW,4525.0,2548.0,7073.0,0.1650435860962176
2019/2/20,Wednesday,LPW_to_HPM,2553.0,4719.0,7272.0,0.0586020888327786,HPM_to_LPW,4719.0,2553.0,7272.0,0.1621816682132178
2019/2/21,Thursday,LPW_to_HPM,2454.0,4736.0,7190.0,0.0577303095887832,HPM_to_LPW,4736.0,2454.0,7190.0,0.166315493749122
2019/2/22,Friday,LPW_to_HPM,2625.0,5070.0,7695.0,0.0570974898855875,HPM_to_LPW,5070.0,2625.0,7695.0,0.1611160544044743
2019/2/23,Saturday,LPW_to_HPM,2350.0,4152.0,6502.0,0.0549990638457217,HPM_to_LPW,4152.0,2350.0,6502.0,0.1435833592696337
2019/2/24,Sunday,LPW_to_HPM,1960.0,3511.0,5471.0,0.0560144037038095,HPM_to_LPW,3511.0,1960.0,5471.0,0.1377889407794042
2019/2/25,Monday,LPW_to_HPM,2472.0,4658.0,7130.0,0.0599839848584115,HPM_to_LPW,4658.0,2472.0,7130.0,0.1623109624364067
2019/2/26,Tuesday,LPW_to_HPM,2552.0,4418.0,6970.0,0.0602312957281095,HPM_to_LPW,4418.0,2552.0,6970.0,0.1589894918669929
2019/2/27,Wednesday,LPW_to_HPM,2521.0,4415.0,6936.0,0.0585611744755975,HPM_to_LPW,4415.0,2521.0,6936.0,0.159403545510344
2019/2/28,Thursday,LPW_to_HPM,2525.0,4330.0,6855.0,0.0596081208687441,HPM_to_LPW,4330.0,2525.0,6855.0,0.1581504072464297
2019/3/1,Friday,LPW_to_HPM,2785.0,5019.0,7804.0,0.0598705849474385,HPM_to_LPW,5019.0,2785.0,7804.0,0.1584030298248382
2019/3/2,Saturday,LPW_to_HPM,2472.0,4218.0,6690.0,0.0614298849432171,HPM_to_LPW,4218.0,2472.0,6690.0,0.1432744565217391
2019/3/3,Sunday,LPW_to_HPM,2119.0,3592.0,5711.0,0.063551570044687,HPM_to_LPW,3592.0,2119.0,5711.0,0.1459450674467739
