Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,2258.0,2206.0,4464.0,0.0601235488337416,HPM_to_LPW,2206.0,2258.0,4464.0,0.1190887497300799
2019/1/2,Wednesday,LPW_to_HPM,3186.0,2977.0,6163.0,0.0651773659015588,HPM_to_LPW,2977.0,3186.0,6163.0,0.1461893537615399
2019/1/3,Thursday,LPW_to_HPM,3343.0,3303.0,6646.0,0.0633275871867245,HPM_to_LPW,3303.0,3343.0,6646.0,0.1489515219842164
2019/1/4,Friday,LPW_to_HPM,3661.0,3510.0,7171.0,0.0634708737864077,HPM_to_LPW,3510.0,3661.0,7171.0,0.1495717390377977
2019/1/5,Saturday,LPW_to_HPM,3129.0,3143.0,6272.0,0.0582942097026604,HPM_to_LPW,3143.0,3129.0,6272.0,0.1445522696959941
2019/1/6,Sunday,LPW_to_HPM,2813.0,2660.0,5473.0,0.0613843669532579,HPM_to_LPW,2660.0,2813.0,5473.0,0.1353276353276353
2019/1/7,Monday,LPW_to_HPM,2996.0,2931.0,5927.0,0.0663007878197751,HPM_to_LPW,2931.0,2996.0,5927.0,0.1406092588150635
2019/1/8,Tuesday,LPW_to_HPM,3694.0,3212.0,6906.0,0.0658185446511296,HPM_to_LPW,3212.0,3694.0,6906.0,0.1457350272232304
2019/1/9,Wednesday,LPW_to_HPM,3837.0,3695.0,7532.0,0.06561666324646,HPM_to_LPW,3695.0,3837.0,7532.0,0.1568402733562545
2019/1/10,Thursday,LPW_to_HPM,3948.0,3925.0,7873.0,0.0653047721445703,HPM_to_LPW,3925.0,3948.0,7873.0,0.1590807765573704
2019/1/11,Friday,LPW_to_HPM,4268.0,4194.0,8462.0,0.0643226380118457,HPM_to_LPW,4194.0,4268.0,8462.0,0.1610722789768799
2019/1/12,Saturday,LPW_to_HPM,3431.0,3467.0,6898.0,0.0592368784530386,HPM_to_LPW,3467.0,3431.0,6898.0,0.153502169485522
2019/1/13,Sunday,LPW_to_HPM,3121.0,3101.0,6222.0,0.0629373449757002,HPM_to_LPW,3101.0,3121.0,6222.0,0.1456073625393248
2019/1/14,Monday,LPW_to_HPM,3892.0,3769.0,7661.0,0.0672390857419276,HPM_to_LPW,3769.0,3892.0,7661.0,0.1600832483860007
2019/1/15,Tuesday,LPW_to_HPM,4003.0,3700.0,7703.0,0.0677682032876805,HPM_to_LPW,3700.0,4003.0,7703.0,0.1598065045566449
2019/1/16,Wednesday,LPW_to_HPM,3740.0,3683.0,7423.0,0.062400934345541,HPM_to_LPW,3683.0,3740.0,7423.0,0.1612733721592153
2019/1/17,Thursday,LPW_to_HPM,3694.0,3485.0,7179.0,0.0615707713847589,HPM_to_LPW,3485.0,3694.0,7179.0,0.1551647373107747
2019/1/18,Friday,LPW_to_HPM,3956.0,3963.0,7919.0,0.0590025056675814,HPM_to_LPW,3963.0,3956.0,7919.0,0.1638415743343806
2019/1/19,Saturday,LPW_to_HPM,2469.0,2594.0,5063.0,0.0572097226405913,HPM_to_LPW,2594.0,2469.0,5063.0,0.1436482445453538
2019/1/20,Sunday,LPW_to_HPM,2403.0,2548.0,4951.0,0.054847986852917,HPM_to_LPW,2548.0,2403.0,4951.0,0.1444608232225876
2019/1/21,Monday,LPW_to_HPM,2845.0,2995.0,5840.0,0.0585077941841813,HPM_to_LPW,2995.0,2845.0,5840.0,0.162559704732957
2019/1/22,Tuesday,LPW_to_HPM,3590.0,3457.0,7047.0,0.0624130737134909,HPM_to_LPW,3457.0,3590.0,7047.0,0.1593381268436578
2019/1/23,Wednesday,LPW_to_HPM,3480.0,2743.0,6223.0,0.0709364425781727,HPM_to_LPW,2743.0,3480.0,6223.0,0.1423825590449
2019/1/24,Thursday,LPW_to_HPM,4188.0,3263.0,7451.0,0.0682551582515727,HPM_to_LPW,3263.0,4188.0,7451.0,0.1451189682010229
2019/1/25,Friday,LPW_to_HPM,4052.0,3516.0,7568.0,0.0617645265532589,HPM_to_LPW,3516.0,4052.0,7568.0,0.1527566581222574
2019/1/26,Saturday,LPW_to_HPM,3402.0,2991.0,6393.0,0.0592332068112964,HPM_to_LPW,2991.0,3402.0,6393.0,0.147659952606635
2019/1/27,Sunday,LPW_to_HPM,2744.0,2477.0,5221.0,0.0588815930646753,HPM_to_LPW,2477.0,2744.0,5221.0,0.1401414427157001
2019/1/28,Monday,LPW_to_HPM,3115.0,2487.0,5602.0,0.07732022736863,HPM_to_LPW,2487.0,3115.0,5602.0,0.1416771106300558
2019/1/29,Tuesday,LPW_to_HPM,3462.0,2937.0,6399.0,0.0599864848474347,HPM_to_LPW,2937.0,3462.0,6399.0,0.1545464112818354
2019/1/30,Wednesday,LPW_to_HPM,2645.0,2398.0,5043.0,0.0669925535687148,HPM_to_LPW,2398.0,2645.0,5043.0,0.1452717029139153
2019/1/31,Thursday,LPW_to_HPM,3167.0,2942.0,6109.0,0.0662372158199652,HPM_to_LPW,2942.0,3167.0,6109.0,0.1490525889147836
2019/2/1,Friday,LPW_to_HPM,4013.0,3707.0,7720.0,0.0637976534927347,HPM_to_LPW,3707.0,4013.0,7720.0,0.1425330667486927
2019/2/2,Saturday,LPW_to_HPM,3525.0,3422.0,6947.0,0.0592168259781275,HPM_to_LPW,3422.0,3525.0,6947.0,0.1397761620782615
2019/2/3,Sunday,LPW_to_HPM,2932.0,3000.0,5932.0,0.0585089399744572,HPM_to_LPW,3000.0,2932.0,5932.0,0.1290322580645161
2019/2/4,Monday,LPW_to_HPM,4047.0,3527.0,7574.0,0.0689672801635991,HPM_to_LPW,3527.0,4047.0,7574.0,0.1358314719248247
