Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,2257.0,4336.0,6593.0,0.024857649481811,HPM_to_LPW,4336.0,2257.0,6593.0,0.0949315818281335
2019/1/2,Wednesday,LPW_to_HPM,3889.0,6948.0,10837.0,0.0321412927593246,HPM_to_LPW,6948.0,3889.0,10837.0,0.1213031181256328
2019/1/3,Thursday,LPW_to_HPM,4083.0,7714.0,11797.0,0.0320677955452232,HPM_to_LPW,7714.0,4083.0,11797.0,0.1264237835357359
2019/1/4,Friday,LPW_to_HPM,4184.0,8564.0,12748.0,0.0308054778383154,HPM_to_LPW,8564.0,4184.0,12748.0,0.127750346823396
2019/1/5,Saturday,LPW_to_HPM,3112.0,6214.0,9326.0,0.0260144115827662,HPM_to_LPW,6214.0,3112.0,9326.0,0.1066158808592409
2019/1/6,Sunday,LPW_to_HPM,2923.0,5510.0,8433.0,0.0257324459468976,HPM_to_LPW,5510.0,2923.0,8433.0,0.0967243619000807
2019/1/7,Monday,LPW_to_HPM,3989.0,7439.0,11428.0,0.0332907705532326,HPM_to_LPW,7439.0,3989.0,11428.0,0.1176703206314557
2019/1/8,Tuesday,LPW_to_HPM,4428.0,8195.0,12623.0,0.0314140582876926,HPM_to_LPW,8195.0,4428.0,12623.0,0.123941318814277
2019/1/9,Wednesday,LPW_to_HPM,4779.0,9000.0,13779.0,0.0321430733324813,HPM_to_LPW,9000.0,4779.0,13779.0,0.1253639035533702
2019/1/10,Thursday,LPW_to_HPM,4854.0,9526.0,14380.0,0.0324932222110653,HPM_to_LPW,9526.0,4854.0,14380.0,0.1291520919764635
2019/1/11,Friday,LPW_to_HPM,4757.0,9485.0,14242.0,0.0300847457627118,HPM_to_LPW,9485.0,4757.0,14242.0,0.1266997942881568
2019/1/12,Saturday,LPW_to_HPM,3641.0,6869.0,10510.0,0.0273049060339267,HPM_to_LPW,6869.0,3641.0,10510.0,0.1067178323959854
2019/1/13,Sunday,LPW_to_HPM,3371.0,5846.0,9217.0,0.0278408668577233,HPM_to_LPW,5846.0,3371.0,9217.0,0.0948841134843861
2019/1/14,Monday,LPW_to_HPM,4299.0,7599.0,11898.0,0.0326962420997391,HPM_to_LPW,7599.0,4299.0,11898.0,0.1216754999759819
2019/1/15,Tuesday,LPW_to_HPM,4421.0,7676.0,12097.0,0.0316731383702769,HPM_to_LPW,7676.0,4421.0,12097.0,0.1213213213213213
2019/1/16,Wednesday,LPW_to_HPM,4735.0,7940.0,12675.0,0.0339562835260032,HPM_to_LPW,7940.0,4735.0,12675.0,0.1221858024406383
2019/1/17,Thursday,LPW_to_HPM,4622.0,7517.0,12139.0,0.033128104415886,HPM_to_LPW,7517.0,4622.0,12139.0,0.1212830152148308
2019/1/18,Friday,LPW_to_HPM,4812.0,8368.0,13180.0,0.031224247458001,HPM_to_LPW,8368.0,4812.0,13180.0,0.1221837721027348
2019/1/19,Saturday,LPW_to_HPM,3719.0,6589.0,10308.0,0.0270969340172534,HPM_to_LPW,6589.0,3719.0,10308.0,0.1079597588150478
2019/1/20,Sunday,LPW_to_HPM,3113.0,5488.0,8601.0,0.0269390863383438,HPM_to_LPW,5488.0,3113.0,8601.0,0.1004465919906288
2019/1/21,Monday,LPW_to_HPM,3847.0,7027.0,10874.0,0.0312977968694067,HPM_to_LPW,7027.0,3847.0,10874.0,0.1252986698049285
2019/1/22,Tuesday,LPW_to_HPM,4945.0,7755.0,12700.0,0.0348335106120695,HPM_to_LPW,7755.0,4945.0,12700.0,0.1250887154009936
2019/1/23,Wednesday,LPW_to_HPM,4887.0,7744.0,12631.0,0.0334293277880004,HPM_to_LPW,7744.0,4887.0,12631.0,0.123834652594547
2019/1/24,Thursday,LPW_to_HPM,5055.0,7961.0,13016.0,0.0342816452477026,HPM_to_LPW,7961.0,5055.0,13016.0,0.1261628183388536
2019/1/25,Friday,LPW_to_HPM,4734.0,8283.0,13017.0,0.0300680246184333,HPM_to_LPW,8283.0,4734.0,13017.0,0.1229132350977162
2019/1/26,Saturday,LPW_to_HPM,3748.0,6300.0,10048.0,0.0266562355535009,HPM_to_LPW,6300.0,3748.0,10048.0,0.106561120414066
2019/1/27,Sunday,LPW_to_HPM,3171.0,5252.0,8423.0,0.0261474017514059,HPM_to_LPW,5252.0,3171.0,8423.0,0.0994113304688535
2019/1/28,Monday,LPW_to_HPM,4696.0,7278.0,11974.0,0.0341626655026916,HPM_to_LPW,7278.0,4696.0,11974.0,0.1213242648529706
2019/1/29,Tuesday,LPW_to_HPM,4808.0,7154.0,11962.0,0.0338146244030748,HPM_to_LPW,7154.0,4808.0,11962.0,0.1243719684984614
2019/1/30,Wednesday,LPW_to_HPM,4794.0,7549.0,12343.0,0.0330540903919743,HPM_to_LPW,7549.0,4794.0,12343.0,0.1247644861666611
2019/1/31,Thursday,LPW_to_HPM,4830.0,7467.0,12297.0,0.0345083806067187,HPM_to_LPW,7467.0,4830.0,12297.0,0.1202609115799645
2019/2/1,Friday,LPW_to_HPM,4818.0,7866.0,12684.0,0.0311445526121863,HPM_to_LPW,7866.0,4818.0,12684.0,0.1146229508196721
2019/2/2,Saturday,LPW_to_HPM,3411.0,5025.0,8436.0,0.0283791204219844,HPM_to_LPW,5025.0,3411.0,8436.0,0.0938585677462736
2019/2/3,Sunday,LPW_to_HPM,2933.0,4343.0,7276.0,0.027893750772713,HPM_to_LPW,4343.0,2933.0,7276.0,0.0837689266081589
2019/2/4,Monday,LPW_to_HPM,4431.0,6535.0,10966.0,0.0337656597677325,HPM_to_LPW,6535.0,4431.0,10966.0,0.1088024241213392
2019/2/5,Tuesday,LPW_to_HPM,4725.0,7096.0,11821.0,0.0332800383160652,HPM_to_LPW,7096.0,4725.0,11821.0,0.1155248762698619
2019/2/6,Wednesday,LPW_to_HPM,4767.0,7777.0,12544.0,0.0325503584841242,HPM_to_LPW,7777.0,4767.0,12544.0,0.1234091846773937
2019/2/7,Thursday,LPW_to_HPM,4777.0,7765.0,12542.0,0.0323989609544027,HPM_to_LPW,7765.0,4777.0,12542.0,0.1258325365829943
2019/2/8,Friday,LPW_to_HPM,4816.0,8200.0,13016.0,0.0307818172521347,HPM_to_LPW,8200.0,4816.0,13016.0,0.1235982153623538
