Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,619.0,869.0,1488.0,0.0711167279411764,HPM_to_LPW,869.0,619.0,1488.0,0.039577355740766
2019/1/2,Wednesday,LPW_to_HPM,888.0,1078.0,1966.0,0.0793778492893537,HPM_to_LPW,1078.0,888.0,1966.0,0.0403548833901096
2019/1/3,Thursday,LPW_to_HPM,867.0,1134.0,2001.0,0.0747027399620885,HPM_to_LPW,1134.0,867.0,2001.0,0.0396905953589303
2019/1/4,Friday,LPW_to_HPM,966.0,1207.0,2173.0,0.0802192326856004,HPM_to_LPW,1207.0,966.0,2173.0,0.038974458329297
2019/1/5,Saturday,LPW_to_HPM,765.0,1024.0,1789.0,0.0690370905152964,HPM_to_LPW,1024.0,765.0,1789.0,0.0352872256108067
2019/1/6,Sunday,LPW_to_HPM,721.0,837.0,1558.0,0.0691540379819681,HPM_to_LPW,837.0,721.0,1558.0,0.0329982259018332
2019/1/7,Monday,LPW_to_HPM,767.0,1144.0,1911.0,0.0743865774415672,HPM_to_LPW,1144.0,767.0,1911.0,0.0408717399071096
2019/1/8,Tuesday,LPW_to_HPM,928.0,1131.0,2059.0,0.0718766942916892,HPM_to_LPW,1131.0,928.0,2059.0,0.0371929363017527
2019/1/9,Wednesday,LPW_to_HPM,988.0,1249.0,2237.0,0.0719696969696969,HPM_to_LPW,1249.0,988.0,2237.0,0.0381992231703214
2019/1/10,Thursday,LPW_to_HPM,1028.0,1316.0,2344.0,0.0767221434435405,HPM_to_LPW,1316.0,1028.0,2344.0,0.0384188707888129
2019/1/11,Friday,LPW_to_HPM,1075.0,1294.0,2369.0,0.0752221677979147,HPM_to_LPW,1294.0,1075.0,2369.0,0.0371092629767708
2019/1/12,Saturday,LPW_to_HPM,882.0,1032.0,1914.0,0.0716257917817118,HPM_to_LPW,1032.0,882.0,1914.0,0.0332634971796938
2019/1/13,Sunday,LPW_to_HPM,727.0,864.0,1591.0,0.0668813247470101,HPM_to_LPW,864.0,727.0,1591.0,0.0318654569595043
2019/1/14,Monday,LPW_to_HPM,1013.0,1265.0,2278.0,0.0763721351025331,HPM_to_LPW,1265.0,1013.0,2278.0,0.0387798896382587
2019/1/15,Tuesday,LPW_to_HPM,1009.0,1204.0,2213.0,0.0759217456734386,HPM_to_LPW,1204.0,1009.0,2213.0,0.037483266398929
2019/1/16,Wednesday,LPW_to_HPM,1007.0,1237.0,2244.0,0.0768174536577923,HPM_to_LPW,1237.0,1007.0,2244.0,0.0386804252657911
2019/1/17,Thursday,LPW_to_HPM,1089.0,1233.0,2322.0,0.0799266055045871,HPM_to_LPW,1233.0,1089.0,2322.0,0.0388750512343538
2019/1/18,Friday,LPW_to_HPM,1020.0,1199.0,2219.0,0.0750993962597555,HPM_to_LPW,1199.0,1020.0,2219.0,0.037753077867691
2019/1/19,Saturday,LPW_to_HPM,909.0,996.0,1905.0,0.0760033444816053,HPM_to_LPW,996.0,909.0,1905.0,0.0340477899702594
2019/1/20,Sunday,LPW_to_HPM,800.0,835.0,1635.0,0.0790045427612087,HPM_to_LPW,835.0,800.0,1635.0,0.0336965294592413
2019/1/21,Monday,LPW_to_HPM,863.0,1062.0,1925.0,0.0736914012466911,HPM_to_LPW,1062.0,863.0,1925.0,0.0379150303463048
