Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,4877.0,9296.0,14173.0,0.0489201849678513,HPM_to_LPW,9296.0,4877.0,14173.0,0.1457258860967848
2019/1/2,Wednesday,LPW_to_HPM,6942.0,17210.0,24152.0,0.0499805607153656,HPM_to_LPW,17210.0,6942.0,24152.0,0.207985884514055
2019/1/3,Thursday,LPW_to_HPM,7158.0,18637.0,25795.0,0.0491158731138969,HPM_to_LPW,18637.0,7158.0,25795.0,0.2089794911472174
2019/1/4,Friday,LPW_to_HPM,7459.0,20222.0,27681.0,0.0472800801206881,HPM_to_LPW,20222.0,7459.0,27681.0,0.2084505880776407
2019/1/5,Saturday,LPW_to_HPM,5520.0,12386.0,17906.0,0.0445963304975884,HPM_to_LPW,12386.0,5520.0,17906.0,0.168815592203898
2019/1/6,Sunday,LPW_to_HPM,5419.0,11171.0,16590.0,0.045155699250877,HPM_to_LPW,11171.0,5419.0,16590.0,0.1608726958525345
2019/1/7,Monday,LPW_to_HPM,6266.0,16740.0,23006.0,0.0522554227718891,HPM_to_LPW,16740.0,6266.0,23006.0,0.2051772319458744
2019/1/8,Tuesday,LPW_to_HPM,7212.0,18649.0,25861.0,0.0484534143129719,HPM_to_LPW,18649.0,7212.0,25861.0,0.2144672531769306
2019/1/9,Wednesday,LPW_to_HPM,7750.0,21012.0,28762.0,0.048445978046158,HPM_to_LPW,21012.0,7750.0,28762.0,0.2136190805392326
2019/1/10,Thursday,LPW_to_HPM,7783.0,21325.0,29108.0,0.0482406391590273,HPM_to_LPW,21325.0,7783.0,29108.0,0.2125676578184029
2019/1/11,Friday,LPW_to_HPM,7768.0,21057.0,28825.0,0.0465433977639037,HPM_to_LPW,21057.0,7768.0,28825.0,0.2076770585740633
2019/1/12,Saturday,LPW_to_HPM,6305.0,13835.0,20140.0,0.0449266068120279,HPM_to_LPW,13835.0,6305.0,20140.0,0.1643092124796617
2019/1/13,Sunday,LPW_to_HPM,5739.0,11275.0,17014.0,0.0474670195608122,HPM_to_LPW,11275.0,5739.0,17014.0,0.1560294483961141
2019/1/14,Monday,LPW_to_HPM,7340.0,19788.0,27128.0,0.0477314552891524,HPM_to_LPW,19788.0,7340.0,27128.0,0.2105039200876567
2019/1/15,Tuesday,LPW_to_HPM,7440.0,20197.0,27637.0,0.0475554334000217,HPM_to_LPW,20197.0,7440.0,27637.0,0.214619684185918
2019/1/16,Wednesday,LPW_to_HPM,7364.0,20679.0,28043.0,0.046835547697337,HPM_to_LPW,20679.0,7364.0,28043.0,0.21502323985401
2019/1/17,Thursday,LPW_to_HPM,7396.0,20049.0,27445.0,0.0464479501607717,HPM_to_LPW,20049.0,7396.0,27445.0,0.2107958070044474
2019/1/18,Friday,LPW_to_HPM,7482.0,20514.0,27996.0,0.0460416602566074,HPM_to_LPW,20514.0,7482.0,27996.0,0.2083210626263036
2019/1/19,Saturday,LPW_to_HPM,5723.0,12673.0,18396.0,0.0431966909960977,HPM_to_LPW,12673.0,5723.0,18396.0,0.1630429188966653
2019/1/20,Sunday,LPW_to_HPM,4778.0,9816.0,14594.0,0.0454126391225418,HPM_to_LPW,9816.0,4778.0,14594.0,0.157767848532579
2019/1/21,Monday,LPW_to_HPM,4790.0,11389.0,16179.0,0.0475434243176178,HPM_to_LPW,11389.0,4790.0,16179.0,0.1825306514945107
2019/1/22,Tuesday,LPW_to_HPM,6986.0,18798.0,25784.0,0.0471606405098155,HPM_to_LPW,18798.0,6986.0,25784.0,0.2116558200283739
2019/1/23,Wednesday,LPW_to_HPM,7389.0,19964.0,27353.0,0.0473939425038164,HPM_to_LPW,19964.0,7389.0,27353.0,0.2161027039899547
2019/1/24,Thursday,LPW_to_HPM,7309.0,19772.0,27081.0,0.0480678171200084,HPM_to_LPW,19772.0,7309.0,27081.0,0.2205588711026828
