Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,1654.0,3612.0,5266.0,0.1050292100584201,HPM_to_LPW,3612.0,1654.0,5266.0,0.1740639005349139
2019/1/2,Wednesday,LPW_to_HPM,2303.0,4633.0,6936.0,0.1266358737490377,HPM_to_LPW,4633.0,2303.0,6936.0,0.1920892242630291
2019/1/3,Thursday,LPW_to_HPM,2503.0,5058.0,7561.0,0.1264588490880614,HPM_to_LPW,5058.0,2503.0,7561.0,0.1916998294485503
2019/1/4,Friday,LPW_to_HPM,2624.0,5573.0,8197.0,0.1223937683660618,HPM_to_LPW,5573.0,2624.0,8197.0,0.1947103626580951
2019/1/5,Saturday,LPW_to_HPM,1813.0,3866.0,5679.0,0.1061599718936643,HPM_to_LPW,3866.0,1813.0,5679.0,0.1695465310060521
2019/1/6,Sunday,LPW_to_HPM,1691.0,3442.0,5133.0,0.1062386128039203,HPM_to_LPW,3442.0,1691.0,5133.0,0.1632053105737316
2019/1/7,Monday,LPW_to_HPM,2085.0,4399.0,6484.0,0.126149564375605,HPM_to_LPW,4399.0,2085.0,6484.0,0.1855570084785084
2019/1/8,Tuesday,LPW_to_HPM,2458.0,4954.0,7412.0,0.1260900789986662,HPM_to_LPW,4954.0,2458.0,7412.0,0.1959806946752116
2019/1/9,Wednesday,LPW_to_HPM,2646.0,5668.0,8314.0,0.1245880026367831,HPM_to_LPW,5668.0,2646.0,8314.0,0.1992197110822115
2019/1/10,Thursday,LPW_to_HPM,2778.0,5890.0,8668.0,0.1280538397713653,HPM_to_LPW,5890.0,2778.0,8668.0,0.1997490419506901
2019/1/11,Friday,LPW_to_HPM,2803.0,5982.0,8785.0,0.1210328597953279,HPM_to_LPW,5982.0,2803.0,8785.0,0.1960540115364446
2019/1/12,Saturday,LPW_to_HPM,2168.0,4580.0,6748.0,0.1082808910198781,HPM_to_LPW,4580.0,2168.0,6748.0,0.1796219311318534
2019/1/13,Sunday,LPW_to_HPM,1745.0,3547.0,5292.0,0.1122547442907687,HPM_to_LPW,3547.0,1745.0,5292.0,0.1698022882857006
2019/1/14,Monday,LPW_to_HPM,2756.0,5459.0,8215.0,0.13289613270325,HPM_to_LPW,5459.0,2756.0,8215.0,0.1994082407948568
2019/1/15,Tuesday,LPW_to_HPM,2745.0,5474.0,8219.0,0.1281751961150541,HPM_to_LPW,5474.0,2745.0,8219.0,0.1995188803032512
2019/1/16,Wednesday,LPW_to_HPM,2671.0,5562.0,8233.0,0.1236917662313605,HPM_to_LPW,5562.0,2671.0,8233.0,0.2012592270950933
2019/1/17,Thursday,LPW_to_HPM,2643.0,5369.0,8012.0,0.1181810051869075,HPM_to_LPW,5369.0,2643.0,8012.0,0.1916815423063191
2019/1/18,Friday,LPW_to_HPM,2584.0,5159.0,7743.0,0.1190838287478685,HPM_to_LPW,5159.0,2584.0,7743.0,0.1913788626330823
2019/1/19,Saturday,LPW_to_HPM,2087.0,4032.0,6119.0,0.1069982055883106,HPM_to_LPW,4032.0,2087.0,6119.0,0.1738980419218494
2019/1/20,Sunday,LPW_to_HPM,1610.0,3133.0,4743.0,0.1063829787234042,HPM_to_LPW,3133.0,1610.0,4743.0,0.1605513989955929
2019/1/21,Monday,LPW_to_HPM,1913.0,3397.0,5310.0,0.1265127967727002,HPM_to_LPW,3397.0,1913.0,5310.0,0.1713838857777105
2019/1/22,Tuesday,LPW_to_HPM,2650.0,4924.0,7574.0,0.1260284396252437,HPM_to_LPW,4924.0,2650.0,7574.0,0.1927956147220047
2019/1/23,Wednesday,LPW_to_HPM,2728.0,5149.0,7877.0,0.1247541958201856,HPM_to_LPW,5149.0,2728.0,7877.0,0.1952449567723343
2019/1/24,Thursday,LPW_to_HPM,2684.0,5305.0,7989.0,0.1236182756079587,HPM_to_LPW,5305.0,2684.0,7989.0,0.2049687041186925
2019/1/25,Friday,LPW_to_HPM,2804.0,5702.0,8506.0,0.1185272857927886,HPM_to_LPW,5702.0,2804.0,8506.0,0.1992521927525596
2019/1/26,Saturday,LPW_to_HPM,2176.0,4331.0,6507.0,0.1105073383779391,HPM_to_LPW,4331.0,2176.0,6507.0,0.1800157945051747
2019/1/27,Sunday,LPW_to_HPM,1812.0,3541.0,5353.0,0.1081468218442256,HPM_to_LPW,3541.0,1812.0,5353.0,0.1671544561933534
2019/1/28,Monday,LPW_to_HPM,2628.0,5182.0,7810.0,0.1261096981620999,HPM_to_LPW,5182.0,2628.0,7810.0,0.1980356938128176
