Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,5076.0,5688.0,10764.0,0.0376655659852335,HPM_to_LPW,5688.0,5076.0,10764.0,0.3218286748896684
2019/1/2,Wednesday,LPW_to_HPM,8181.0,8080.0,16261.0,0.0451587262159074,HPM_to_LPW,8080.0,8181.0,16261.0,0.3724703821509242
2019/1/3,Thursday,LPW_to_HPM,8579.0,8895.0,17474.0,0.0451113191077644,HPM_to_LPW,8895.0,8579.0,17474.0,0.3785106382978723
2019/1/4,Friday,LPW_to_HPM,8882.0,9696.0,18578.0,0.0431584062196307,HPM_to_LPW,9696.0,8882.0,18578.0,0.3695403613080265
2019/1/5,Saturday,LPW_to_HPM,7238.0,7645.0,14883.0,0.0394091352095958,HPM_to_LPW,7645.0,7238.0,14883.0,0.332478037748978
2019/1/6,Sunday,LPW_to_HPM,6113.0,6305.0,12418.0,0.0404941706412294,HPM_to_LPW,6305.0,6113.0,12418.0,0.3074260080940075
2019/1/7,Monday,LPW_to_HPM,7901.0,8520.0,16421.0,0.0467415225159137,HPM_to_LPW,8520.0,7901.0,16421.0,0.3593117408906882
2019/1/8,Tuesday,LPW_to_HPM,9331.0,9255.0,18586.0,0.0456297006269132,HPM_to_LPW,9255.0,9331.0,18586.0,0.3772008477339419
2019/1/9,Wednesday,LPW_to_HPM,9682.0,10173.0,19855.0,0.0448294702140072,HPM_to_LPW,10173.0,9682.0,19855.0,0.3702908309977068
2019/1/10,Thursday,LPW_to_HPM,10029.0,10656.0,20685.0,0.045685417928873,HPM_to_LPW,10656.0,10029.0,20685.0,0.3737898133857162
2019/1/11,Friday,LPW_to_HPM,10276.0,10715.0,20991.0,0.04339838586385,HPM_to_LPW,10715.0,10276.0,20991.0,0.3691899527960583
2019/1/12,Saturday,LPW_to_HPM,8266.0,8983.0,17249.0,0.0394705427319001,HPM_to_LPW,8983.0,8266.0,17249.0,0.3421834526893189
2019/1/13,Sunday,LPW_to_HPM,6822.0,7266.0,14088.0,0.0403265373679574,HPM_to_LPW,7266.0,6822.0,14088.0,0.3145046097909362
