Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,1092.0,983.0,2075.0,0.0321886514369933,HPM_to_LPW,983.0,1092.0,2075.0,0.5012748597654259
2019/1/2,Wednesday,LPW_to_HPM,1370.0,1271.0,2641.0,0.0279335304312366,HPM_to_LPW,1271.0,1370.0,2641.0,0.5278239202657807
2019/1/3,Thursday,LPW_to_HPM,1498.0,1516.0,3014.0,0.0285202954839692,HPM_to_LPW,1516.0,1498.0,3014.0,0.5492753623188406
2019/1/4,Friday,LPW_to_HPM,1536.0,1600.0,3136.0,0.0270842149809564,HPM_to_LPW,1600.0,1536.0,3136.0,0.5405405405405406
2019/1/5,Saturday,LPW_to_HPM,1338.0,1394.0,2732.0,0.0266539174087133,HPM_to_LPW,1394.0,1338.0,2732.0,0.5481714510420763
2019/1/6,Sunday,LPW_to_HPM,1074.0,1110.0,2184.0,0.0254484278368836,HPM_to_LPW,1110.0,1074.0,2184.0,0.5117565698478561
2019/1/7,Monday,LPW_to_HPM,1166.0,1283.0,2449.0,0.0269713862737387,HPM_to_LPW,1283.0,1166.0,2449.0,0.5397559949516197
2019/1/8,Tuesday,LPW_to_HPM,1361.0,1486.0,2847.0,0.0254268953405821,HPM_to_LPW,1486.0,1361.0,2847.0,0.5633055344958302
2019/1/9,Wednesday,LPW_to_HPM,1418.0,1523.0,2941.0,0.0255679769203029,HPM_to_LPW,1523.0,1418.0,2941.0,0.5530137981118374
2019/1/10,Thursday,LPW_to_HPM,1549.0,1616.0,3165.0,0.0271692421026783,HPM_to_LPW,1616.0,1549.0,3165.0,0.5464998309097058
2019/1/11,Friday,LPW_to_HPM,1690.0,1702.0,3392.0,0.0275909358061777,HPM_to_LPW,1702.0,1690.0,3392.0,0.5384372034166403
2019/1/12,Saturday,LPW_to_HPM,1392.0,1433.0,2825.0,0.0270854007355087,HPM_to_LPW,1433.0,1392.0,2825.0,0.5507302075326672
2019/1/13,Sunday,LPW_to_HPM,1154.0,1182.0,2336.0,0.027150385846038,HPM_to_LPW,1182.0,1154.0,2336.0,0.5353260869565217
2019/1/14,Monday,LPW_to_HPM,1410.0,1507.0,2917.0,0.0261144963235975,HPM_to_LPW,1507.0,1410.0,2917.0,0.5319449346981998
2019/1/15,Tuesday,LPW_to_HPM,1401.0,1493.0,2894.0,0.0253285846003651,HPM_to_LPW,1493.0,1401.0,2894.0,0.5452885317750182
2019/1/16,Wednesday,LPW_to_HPM,1478.0,1599.0,3077.0,0.026123689838627,HPM_to_LPW,1599.0,1478.0,3077.0,0.5538621406304122
2019/1/17,Thursday,LPW_to_HPM,1416.0,1435.0,2851.0,0.0250654959994335,HPM_to_LPW,1435.0,1416.0,2851.0,0.5252562225475842
2019/1/18,Friday,LPW_to_HPM,1596.0,1661.0,3257.0,0.0259977194982896,HPM_to_LPW,1661.0,1596.0,3257.0,0.5512777962163956
2019/1/19,Saturday,LPW_to_HPM,1129.0,1200.0,2329.0,0.0255337434412882,HPM_to_LPW,1200.0,1129.0,2329.0,0.5491990846681922
2019/1/20,Sunday,LPW_to_HPM,828.0,858.0,1686.0,0.0262365727684654,HPM_to_LPW,858.0,828.0,1686.0,0.5104104699583581
2019/1/21,Monday,LPW_to_HPM,1068.0,1148.0,2216.0,0.0239666083209909,HPM_to_LPW,1148.0,1068.0,2216.0,0.553519768563163
2019/1/22,Tuesday,LPW_to_HPM,1352.0,1476.0,2828.0,0.0251844124878921,HPM_to_LPW,1476.0,1352.0,2828.0,0.5588792124195381
2019/1/23,Wednesday,LPW_to_HPM,1432.0,1399.0,2831.0,0.0260056297103423,HPM_to_LPW,1399.0,1432.0,2831.0,0.5297235895494131
2019/1/24,Thursday,LPW_to_HPM,1394.0,1495.0,2889.0,0.0251144020466255,HPM_to_LPW,1495.0,1394.0,2889.0,0.5549368968077208
2019/1/25,Friday,LPW_to_HPM,1507.0,1595.0,3102.0,0.0253022162525184,HPM_to_LPW,1595.0,1507.0,3102.0,0.5458590006844627
2019/1/26,Saturday,LPW_to_HPM,1297.0,1398.0,2695.0,0.0249073416165767,HPM_to_LPW,1398.0,1297.0,2695.0,0.5488810365135454
2019/1/27,Sunday,LPW_to_HPM,1119.0,1108.0,2227.0,0.0263467696364663,HPM_to_LPW,1108.0,1119.0,2227.0,0.5396980029225523
2019/1/28,Monday,LPW_to_HPM,1322.0,1392.0,2714.0,0.0246973546555074,HPM_to_LPW,1392.0,1322.0,2714.0,0.5231116121758738
2019/1/29,Tuesday,LPW_to_HPM,1358.0,1403.0,2761.0,0.0252261623910983,HPM_to_LPW,1403.0,1358.0,2761.0,0.549119373776908
2019/1/30,Wednesday,LPW_to_HPM,979.0,1015.0,1994.0,0.0235625406146959,HPM_to_LPW,1015.0,979.0,1994.0,0.5314136125654451
2019/1/31,Thursday,LPW_to_HPM,1177.0,1295.0,2472.0,0.0247149486592612,HPM_to_LPW,1295.0,1177.0,2472.0,0.5498938428874734
2019/2/1,Friday,LPW_to_HPM,1260.0,1366.0,2626.0,0.0253363093442721,HPM_to_LPW,1366.0,1260.0,2626.0,0.542063492063492
2019/2/2,Saturday,LPW_to_HPM,1439.0,1489.0,2928.0,0.0266946165547434,HPM_to_LPW,1489.0,1439.0,2928.0,0.5440263061746438
2019/2/3,Sunday,LPW_to_HPM,1115.0,1276.0,2391.0,0.0249234414466772,HPM_to_LPW,1276.0,1115.0,2391.0,0.5203915171288744
2019/2/4,Monday,LPW_to_HPM,1479.0,1525.0,3004.0,0.0269856040286824,HPM_to_LPW,1525.0,1479.0,3004.0,0.5384887005649718
2019/2/5,Tuesday,LPW_to_HPM,1363.0,1578.0,2941.0,0.024360601240371,HPM_to_LPW,1578.0,1363.0,2941.0,0.5492516533240515
2019/2/6,Wednesday,LPW_to_HPM,1399.0,1530.0,2929.0,0.0255156942493935,HPM_to_LPW,1530.0,1399.0,2929.0,0.5464285714285714
2019/2/7,Thursday,LPW_to_HPM,1406.0,1519.0,2925.0,0.0247919311609535,HPM_to_LPW,1519.0,1406.0,2925.0,0.5426938192211505
2019/2/8,Friday,LPW_to_HPM,1456.0,1672.0,3128.0,0.024309613650783,HPM_to_LPW,1672.0,1456.0,3128.0,0.5552972434407174
2019/2/9,Saturday,LPW_to_HPM,1369.0,1457.0,2826.0,0.0251788637325044,HPM_to_LPW,1457.0,1369.0,2826.0,0.5575966322234979
2019/2/10,Sunday,LPW_to_HPM,1099.0,1215.0,2314.0,0.0249557200599482,HPM_to_LPW,1215.0,1099.0,2314.0,0.5436241610738255
2019/2/11,Monday,LPW_to_HPM,1334.0,1442.0,2776.0,0.0252689801485073,HPM_to_LPW,1442.0,1334.0,2776.0,0.5472485768500949
2019/2/12,Tuesday,LPW_to_HPM,1362.0,1623.0,2985.0,0.0244107894972667,HPM_to_LPW,1623.0,1362.0,2985.0,0.5529812606473594
2019/2/13,Wednesday,LPW_to_HPM,1439.0,1538.0,2977.0,0.0253773984198645,HPM_to_LPW,1538.0,1439.0,2977.0,0.5544340302811824
2019/2/14,Thursday,LPW_to_HPM,1514.0,1731.0,3245.0,0.0258207555214462,HPM_to_LPW,1731.0,1514.0,3245.0,0.5636600455877564
2019/2/15,Friday,LPW_to_HPM,1483.0,1737.0,3220.0,0.0254719087614434,HPM_to_LPW,1737.0,1483.0,3220.0,0.5572666025024061
2019/2/16,Saturday,LPW_to_HPM,1416.0,1353.0,2769.0,0.0275068961498115,HPM_to_LPW,1353.0,1416.0,2769.0,0.5375446960667462
2019/2/17,Sunday,LPW_to_HPM,1031.0,1104.0,2135.0,0.024449239963006,HPM_to_LPW,1104.0,1031.0,2135.0,0.5041095890410959
2019/2/18,Monday,LPW_to_HPM,1141.0,1429.0,2570.0,0.0226160036471031,HPM_to_LPW,1429.0,1141.0,2570.0,0.5668385561285204
2019/2/19,Tuesday,LPW_to_HPM,1452.0,1586.0,3038.0,0.0249005350528193,HPM_to_LPW,1586.0,1452.0,3038.0,0.5491689750692521
2019/2/20,Wednesday,LPW_to_HPM,1257.0,1283.0,2540.0,0.0274898307308752,HPM_to_LPW,1283.0,1257.0,2540.0,0.5275493421052632
2019/2/21,Thursday,LPW_to_HPM,1495.0,1662.0,3157.0,0.0250071090443771,HPM_to_LPW,1662.0,1495.0,3157.0,0.5521594684385382
2019/2/22,Friday,LPW_to_HPM,1585.0,1756.0,3341.0,0.0249743953360119,HPM_to_LPW,1756.0,1585.0,3341.0,0.5571065989847716
2019/2/23,Saturday,LPW_to_HPM,1477.0,1441.0,2918.0,0.0268481995164779,HPM_to_LPW,1441.0,1477.0,2918.0,0.5411190386781825
2019/2/24,Sunday,LPW_to_HPM,1196.0,1222.0,2418.0,0.0271707028942705,HPM_to_LPW,1222.0,1196.0,2418.0,0.5378521126760564
2019/2/25,Monday,LPW_to_HPM,1411.0,1544.0,2955.0,0.0253044242391635,HPM_to_LPW,1544.0,1411.0,2955.0,0.5477119545938276
2019/2/26,Tuesday,LPW_to_HPM,1462.0,1548.0,3010.0,0.0255979269531113,HPM_to_LPW,1548.0,1462.0,3010.0,0.555037647902474
2019/2/27,Wednesday,LPW_to_HPM,1491.0,1607.0,3098.0,0.0257184255010866,HPM_to_LPW,1607.0,1491.0,3098.0,0.5560553633217993
2019/2/28,Thursday,LPW_to_HPM,1513.0,1595.0,3108.0,0.0257260423042916,HPM_to_LPW,1595.0,1513.0,3108.0,0.5427015991833957
2019/3/1,Friday,LPW_to_HPM,1522.0,1712.0,3234.0,0.0244497991967871,HPM_to_LPW,1712.0,1522.0,3234.0,0.5485421339314323
2019/3/2,Saturday,LPW_to_HPM,1482.0,1540.0,3022.0,0.0264486998732889,HPM_to_LPW,1540.0,1482.0,3022.0,0.5486284289276808
2019/3/3,Sunday,LPW_to_HPM,1111.0,1138.0,2249.0,0.0267678592940609,HPM_to_LPW,1138.0,1111.0,2249.0,0.5398481973434535
2019/3/4,Monday,LPW_to_HPM,1398.0,1565.0,2963.0,0.0256086168049678,HPM_to_LPW,1565.0,1398.0,2963.0,0.5593280914939243
2019/3/5,Tuesday,LPW_to_HPM,1409.0,1520.0,2929.0,0.0252985007630846,HPM_to_LPW,1520.0,1409.0,2929.0,0.5575935436537051
