Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,1502.0,1505.0,3007.0,0.0244509922023799,HPM_to_LPW,1505.0,1502.0,3007.0,0.3155797861186831
2019/1/2,Wednesday,LPW_to_HPM,2110.0,1903.0,4013.0,0.0249135111520432,HPM_to_LPW,1903.0,2110.0,4013.0,0.3144415069398546
2019/1/3,Thursday,LPW_to_HPM,2181.0,2083.0,4264.0,0.0245364953649536,HPM_to_LPW,2083.0,2181.0,4264.0,0.3213018664198673
2019/1/4,Friday,LPW_to_HPM,2343.0,2291.0,4634.0,0.0246946110308919,HPM_to_LPW,2291.0,2343.0,4634.0,0.3251028806584362
2019/1/5,Saturday,LPW_to_HPM,2049.0,1750.0,3799.0,0.0247517576284699,HPM_to_LPW,1750.0,2049.0,3799.0,0.2982785069030169
2019/1/6,Sunday,LPW_to_HPM,1672.0,1701.0,3373.0,0.022906619903551,HPM_to_LPW,1701.0,1672.0,3373.0,0.3024537695590327
2019/1/7,Monday,LPW_to_HPM,2050.0,2106.0,4156.0,0.024641496279735,HPM_to_LPW,2106.0,2050.0,4156.0,0.3255023183925811
2019/1/8,Tuesday,LPW_to_HPM,2359.0,2261.0,4620.0,0.0247067448680351,HPM_to_LPW,2261.0,2359.0,4620.0,0.3261214481465455
2019/1/9,Wednesday,LPW_to_HPM,2588.0,2418.0,5006.0,0.0255604938271604,HPM_to_LPW,2418.0,2588.0,5006.0,0.3262277388019428
2019/1/10,Thursday,LPW_to_HPM,2480.0,2554.0,5034.0,0.0241191173181097,HPM_to_LPW,2554.0,2480.0,5034.0,0.3374735729386892
2019/1/11,Friday,LPW_to_HPM,2731.0,2540.0,5271.0,0.024941322593313,HPM_to_LPW,2540.0,2731.0,5271.0,0.3272352486472558
2019/1/12,Saturday,LPW_to_HPM,2227.0,1989.0,4216.0,0.0242931320359542,HPM_to_LPW,1989.0,2227.0,4216.0,0.2995030868845053
