Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,21.0,101.0,122.0,0.0031408914148967,HPM_to_LPW,101.0,21.0,122.0,0.2657894736842105
2019/1/2,Wednesday,LPW_to_HPM,18.0,150.0,168.0,0.002105016957081,HPM_to_LPW,150.0,18.0,168.0,0.3099173553719008
2019/1/3,Thursday,LPW_to_HPM,24.0,150.0,174.0,0.0026595744680851,HPM_to_LPW,150.0,24.0,174.0,0.2873563218390804
2019/1/4,Friday,LPW_to_HPM,27.0,197.0,224.0,0.0028166075526809,HPM_to_LPW,197.0,27.0,224.0,0.3167202572347267
2019/1/5,Saturday,LPW_to_HPM,26.0,122.0,148.0,0.0031765424557116,HPM_to_LPW,122.0,26.0,148.0,0.2711111111111111
2019/1/6,Sunday,LPW_to_HPM,25.0,102.0,127.0,0.0035063113604488,HPM_to_LPW,102.0,25.0,127.0,0.2991202346041056
2019/1/7,Monday,LPW_to_HPM,26.0,148.0,174.0,0.0026620251868536,HPM_to_LPW,148.0,26.0,174.0,0.2740740740740741
2019/1/8,Tuesday,LPW_to_HPM,31.0,178.0,209.0,0.0030053320407174,HPM_to_LPW,178.0,31.0,209.0,0.2942148760330578
2019/1/9,Wednesday,LPW_to_HPM,26.0,198.0,224.0,0.0022652029970378,HPM_to_LPW,198.0,26.0,224.0,0.3113207547169811
2019/1/10,Thursday,LPW_to_HPM,39.0,201.0,240.0,0.0034660504799146,HPM_to_LPW,201.0,39.0,240.0,0.2811188811188811
2019/1/11,Friday,LPW_to_HPM,34.0,210.0,244.0,0.0029673590504451,HPM_to_LPW,210.0,34.0,244.0,0.3052325581395348
2019/1/12,Saturday,LPW_to_HPM,35.0,133.0,168.0,0.0033895022273871,HPM_to_LPW,133.0,35.0,168.0,0.2577519379844961
2019/1/13,Sunday,LPW_to_HPM,29.0,114.0,143.0,0.0032015897549127,HPM_to_LPW,114.0,29.0,143.0,0.2620689655172414
2019/1/14,Monday,LPW_to_HPM,30.0,181.0,211.0,0.0026626431170675,HPM_to_LPW,181.0,30.0,211.0,0.2669616519174041
2019/1/15,Tuesday,LPW_to_HPM,23.0,165.0,188.0,0.0021381426048154,HPM_to_LPW,165.0,23.0,188.0,0.2925531914893617
2019/1/16,Wednesday,LPW_to_HPM,26.0,185.0,211.0,0.0023765996343692,HPM_to_LPW,185.0,26.0,211.0,0.2955271565495208
2019/1/17,Thursday,LPW_to_HPM,33.0,188.0,221.0,0.0028690662493479,HPM_to_LPW,188.0,33.0,221.0,0.267425320056899
2019/1/18,Friday,LPW_to_HPM,37.0,208.0,245.0,0.0032213129026641,HPM_to_LPW,208.0,37.0,245.0,0.2958748221906117
2019/1/19,Saturday,LPW_to_HPM,26.0,142.0,168.0,0.0025842361594274,HPM_to_LPW,142.0,26.0,168.0,0.2674199623352166
2019/1/20,Sunday,LPW_to_HPM,23.0,115.0,138.0,0.0029441884280593,HPM_to_LPW,115.0,23.0,138.0,0.2705882352941176
2019/1/21,Monday,LPW_to_HPM,31.0,125.0,156.0,0.0035251307709802,HPM_to_LPW,125.0,31.0,156.0,0.249003984063745
2019/1/22,Tuesday,LPW_to_HPM,37.0,183.0,220.0,0.0034148592524227,HPM_to_LPW,183.0,37.0,220.0,0.2789634146341463
2019/1/23,Wednesday,LPW_to_HPM,36.0,181.0,217.0,0.0032397408207343,HPM_to_LPW,181.0,36.0,217.0,0.2767584097859327
2019/1/24,Thursday,LPW_to_HPM,30.0,188.0,218.0,0.0026100574212632,HPM_to_LPW,188.0,30.0,218.0,0.2946708463949843
2019/1/25,Friday,LPW_to_HPM,33.0,201.0,234.0,0.0025583378556477,HPM_to_LPW,201.0,33.0,234.0,0.2823033707865168
2019/1/26,Saturday,LPW_to_HPM,26.0,128.0,154.0,0.0025762980578676,HPM_to_LPW,128.0,26.0,154.0,0.2428842504743833
2019/1/27,Sunday,LPW_to_HPM,19.0,100.0,119.0,0.0020892896415218,HPM_to_LPW,100.0,19.0,119.0,0.2331002331002331
2019/1/28,Monday,LPW_to_HPM,27.0,181.0,208.0,0.0025585141665877,HPM_to_LPW,181.0,27.0,208.0,0.2882165605095541
2019/1/29,Tuesday,LPW_to_HPM,21.0,185.0,206.0,0.0019118718135469,HPM_to_LPW,185.0,21.0,206.0,0.2863777089783281
2019/1/30,Wednesday,LPW_to_HPM,20.0,193.0,213.0,0.0018477457501847,HPM_to_LPW,193.0,20.0,213.0,0.2863501483679525
2019/1/31,Thursday,LPW_to_HPM,29.0,206.0,235.0,0.0025382932166301,HPM_to_LPW,206.0,29.0,235.0,0.2818057455540356
2019/2/1,Friday,LPW_to_HPM,37.0,198.0,235.0,0.0031877315413112,HPM_to_LPW,198.0,37.0,235.0,0.2857142857142857
2019/2/2,Saturday,LPW_to_HPM,19.0,123.0,142.0,0.0019297176518383,HPM_to_LPW,123.0,19.0,142.0,0.2650862068965517
2019/2/3,Sunday,LPW_to_HPM,21.0,112.0,133.0,0.0024526979677645,HPM_to_LPW,112.0,21.0,133.0,0.2916666666666667
2019/2/4,Monday,LPW_to_HPM,29.0,168.0,197.0,0.0026440554339897,HPM_to_LPW,168.0,29.0,197.0,0.2891566265060241
2019/2/5,Tuesday,LPW_to_HPM,28.0,169.0,197.0,0.0025947548883328,HPM_to_LPW,169.0,28.0,197.0,0.3123844731977819
2019/2/6,Wednesday,LPW_to_HPM,30.0,171.0,201.0,0.0025254651064904,HPM_to_LPW,171.0,30.0,201.0,0.2630769230769231
2019/2/7,Thursday,LPW_to_HPM,40.0,199.0,239.0,0.0033096144299189,HPM_to_LPW,199.0,40.0,239.0,0.3070987654320987
2019/2/8,Friday,LPW_to_HPM,34.0,185.0,219.0,0.0029787979674084,HPM_to_LPW,185.0,34.0,219.0,0.2908805031446541
2019/2/9,Saturday,LPW_to_HPM,20.0,119.0,139.0,0.002021222839818,HPM_to_LPW,119.0,20.0,139.0,0.2780373831775701
2019/2/10,Sunday,LPW_to_HPM,20.0,95.0,115.0,0.00230920217065,HPM_to_LPW,95.0,20.0,115.0,0.2351485148514851
2019/2/11,Monday,LPW_to_HPM,24.0,167.0,191.0,0.0021261516654854,HPM_to_LPW,167.0,24.0,191.0,0.2733224222585925
2019/2/12,Tuesday,LPW_to_HPM,37.0,199.0,236.0,0.0031347962382445,HPM_to_LPW,199.0,37.0,236.0,0.2842857142857143
2019/2/13,Wednesday,LPW_to_HPM,34.0,157.0,191.0,0.0031434911242603,HPM_to_LPW,157.0,34.0,191.0,0.292364990689013
2019/2/14,Thursday,LPW_to_HPM,25.0,168.0,193.0,0.0021143437077131,HPM_to_LPW,168.0,25.0,193.0,0.2662440570522979
2019/2/15,Friday,LPW_to_HPM,25.0,175.0,200.0,0.002234736748011,HPM_to_LPW,175.0,25.0,200.0,0.2850162866449511
2019/2/16,Saturday,LPW_to_HPM,21.0,126.0,147.0,0.0023774482055926,HPM_to_LPW,126.0,21.0,147.0,0.2992874109263658
2019/2/17,Sunday,LPW_to_HPM,24.0,100.0,124.0,0.0031421838177533,HPM_to_LPW,100.0,24.0,124.0,0.2631578947368421
2019/2/18,Monday,LPW_to_HPM,26.0,113.0,139.0,0.0031100478468899,HPM_to_LPW,113.0,26.0,139.0,0.2790123456790123
2019/2/19,Tuesday,LPW_to_HPM,31.0,191.0,222.0,0.0029628213705438,HPM_to_LPW,191.0,31.0,222.0,0.3046251993620414
2019/2/20,Wednesday,LPW_to_HPM,33.0,179.0,212.0,0.0030757759343834,HPM_to_LPW,179.0,33.0,212.0,0.2924836601307189
2019/2/21,Thursday,LPW_to_HPM,29.0,178.0,207.0,0.0026784889627782,HPM_to_LPW,178.0,29.0,207.0,0.2668665667166416
2019/2/22,Friday,LPW_to_HPM,32.0,183.0,215.0,0.0027303754266211,HPM_to_LPW,183.0,32.0,215.0,0.2837209302325581
2019/2/23,Saturday,LPW_to_HPM,30.0,128.0,158.0,0.0031959092361776,HPM_to_LPW,128.0,30.0,158.0,0.2746781115879828
2019/2/24,Sunday,LPW_to_HPM,28.0,109.0,137.0,0.0033629594042757,HPM_to_LPW,109.0,28.0,137.0,0.2552693208430913
2019/2/25,Monday,LPW_to_HPM,30.0,166.0,196.0,0.0029092319627618,HPM_to_LPW,166.0,30.0,196.0,0.2959001782531194
2019/2/26,Tuesday,LPW_to_HPM,35.0,175.0,210.0,0.0032124827902707,HPM_to_LPW,175.0,35.0,210.0,0.3038194444444444
2019/2/27,Wednesday,LPW_to_HPM,30.0,181.0,211.0,0.0027472527472527,HPM_to_LPW,181.0,30.0,211.0,0.3088737201365187
2019/2/28,Thursday,LPW_to_HPM,36.0,201.0,237.0,0.0031435557107928,HPM_to_LPW,201.0,36.0,237.0,0.2995529061102832
2019/3/1,Friday,LPW_to_HPM,37.0,195.0,232.0,0.003089770354906,HPM_to_LPW,195.0,37.0,232.0,0.2826086956521739
2019/3/2,Saturday,LPW_to_HPM,25.0,123.0,148.0,0.0027021184608733,HPM_to_LPW,123.0,25.0,148.0,0.2520491803278688
2019/3/3,Sunday,LPW_to_HPM,28.0,133.0,161.0,0.0033739004699361,HPM_to_LPW,133.0,28.0,161.0,0.3251833740831296
2019/3/4,Monday,LPW_to_HPM,37.0,160.0,197.0,0.0035416866085957,HPM_to_LPW,160.0,37.0,197.0,0.274914089347079
2019/3/5,Tuesday,LPW_to_HPM,36.0,173.0,209.0,0.0033076074972436,HPM_to_LPW,173.0,36.0,209.0,0.2822185970636215
2019/3/6,Wednesday,LPW_to_HPM,35.0,175.0,210.0,0.0031861629494765,HPM_to_LPW,175.0,35.0,210.0,0.2926421404682274
2019/3/7,Thursday,LPW_to_HPM,39.0,181.0,220.0,0.0033821871476888,HPM_to_LPW,181.0,39.0,220.0,0.2823712948517941
2019/3/8,Friday,LPW_to_HPM,36.0,166.0,202.0,0.0029960053262316,HPM_to_LPW,166.0,36.0,202.0,0.2466567607726597
2019/3/9,Saturday,LPW_to_HPM,24.0,107.0,131.0,0.002552376900989,HPM_to_LPW,107.0,24.0,131.0,0.2635467980295566
2019/3/10,Sunday,LPW_to_HPM,31.0,87.0,118.0,0.0036682049461602,HPM_to_LPW,87.0,31.0,118.0,0.2307692307692307
2019/3/11,Monday,LPW_to_HPM,39.0,159.0,198.0,0.0035815961061621,HPM_to_LPW,159.0,39.0,198.0,0.2602291325695581
2019/3/12,Tuesday,LPW_to_HPM,27.0,155.0,182.0,0.0026208503203261,HPM_to_LPW,155.0,27.0,182.0,0.2695652173913043
2019/3/13,Wednesday,LPW_to_HPM,35.0,164.0,199.0,0.0032039545953863,HPM_to_LPW,164.0,35.0,199.0,0.2607313195548489
2019/3/14,Thursday,LPW_to_HPM,24.0,152.0,176.0,0.0021806287479556,HPM_to_LPW,152.0,24.0,176.0,0.2685512367491166
2019/3/15,Friday,LPW_to_HPM,33.0,174.0,207.0,0.0028635890315862,HPM_to_LPW,174.0,33.0,207.0,0.2697674418604651
2019/3/16,Saturday,LPW_to_HPM,28.0,123.0,151.0,0.0025832641387581,HPM_to_LPW,123.0,28.0,151.0,0.2541322314049586
2019/3/17,Sunday,LPW_to_HPM,26.0,112.0,138.0,0.0029646522234891,HPM_to_LPW,112.0,26.0,138.0,0.2616822429906542
2019/3/18,Monday,LPW_to_HPM,20.0,157.0,177.0,0.0018973531922967,HPM_to_LPW,157.0,20.0,177.0,0.2661016949152542
2019/3/19,Tuesday,LPW_to_HPM,32.0,180.0,212.0,0.002878215506386,HPM_to_LPW,180.0,32.0,212.0,0.2690582959641255
2019/3/20,Wednesday,LPW_to_HPM,23.0,151.0,174.0,0.0021337786436589,HPM_to_LPW,151.0,23.0,174.0,0.2550675675675675
2019/3/21,Thursday,LPW_to_HPM,26.0,170.0,196.0,0.0023072144822078,HPM_to_LPW,170.0,26.0,196.0,0.2750809061488673
2019/3/22,Friday,LPW_to_HPM,30.0,156.0,186.0,0.0026792890952933,HPM_to_LPW,156.0,30.0,186.0,0.2626262626262626
2019/3/23,Saturday,LPW_to_HPM,30.0,110.0,140.0,0.0031168831168831,HPM_to_LPW,110.0,30.0,140.0,0.2277432712215321
2019/3/24,Sunday,LPW_to_HPM,37.0,93.0,130.0,0.0043797348484848,HPM_to_LPW,93.0,37.0,130.0,0.2440944881889764
2019/3/25,Monday,LPW_to_HPM,29.0,141.0,170.0,0.0029281098546042,HPM_to_LPW,141.0,29.0,170.0,0.2695984703632887
2019/3/26,Tuesday,LPW_to_HPM,20.0,153.0,173.0,0.001924557351809,HPM_to_LPW,153.0,20.0,173.0,0.2807339449541284
2019/3/27,Wednesday,LPW_to_HPM,22.0,153.0,175.0,0.0020707831325301,HPM_to_LPW,153.0,22.0,175.0,0.2936660268714011
2019/3/28,Thursday,LPW_to_HPM,22.0,167.0,189.0,0.0020982355746304,HPM_to_LPW,167.0,22.0,189.0,0.3081180811808118
2019/3/29,Friday,LPW_to_HPM,35.0,144.0,179.0,0.0034347399411187,HPM_to_LPW,144.0,35.0,179.0,0.2807017543859649
2019/3/30,Saturday,LPW_to_HPM,27.0,120.0,147.0,0.002982766239505,HPM_to_LPW,120.0,27.0,147.0,0.2733485193621868
2019/3/31,Sunday,LPW_to_HPM,23.0,89.0,112.0,0.00290991902834,HPM_to_LPW,89.0,23.0,112.0,0.2445054945054945
2019/4/1,Monday,LPW_to_HPM,25.0,182.0,207.0,0.0025810448069378,HPM_to_LPW,182.0,25.0,207.0,0.2812982998454404
2019/4/2,Tuesday,LPW_to_HPM,35.0,169.0,204.0,0.0032928779753504,HPM_to_LPW,169.0,35.0,204.0,0.2798013245033112
2019/4/3,Wednesday,LPW_to_HPM,27.0,173.0,200.0,0.0024903154399557,HPM_to_LPW,173.0,27.0,200.0,0.2694704049844236
2019/4/4,Thursday,LPW_to_HPM,33.0,199.0,232.0,0.002978070571248,HPM_to_LPW,199.0,33.0,232.0,0.293943870014771
2019/4/5,Friday,LPW_to_HPM,29.0,162.0,191.0,0.0025627430187345,HPM_to_LPW,162.0,29.0,191.0,0.2898032200357782
2019/4/6,Saturday,LPW_to_HPM,27.0,144.0,171.0,0.0028031561461794,HPM_to_LPW,144.0,27.0,171.0,0.3235955056179775
2019/4/7,Sunday,LPW_to_HPM,25.0,120.0,145.0,0.0029422148993762,HPM_to_LPW,120.0,25.0,145.0,0.316622691292876
2019/4/8,Monday,LPW_to_HPM,24.0,165.0,189.0,0.0022979701263883,HPM_to_LPW,165.0,24.0,189.0,0.2879581151832461
2019/4/9,Tuesday,LPW_to_HPM,29.0,152.0,181.0,0.002593685716841,HPM_to_LPW,152.0,29.0,181.0,0.2524916943521594
2019/4/10,Wednesday,LPW_to_HPM,26.0,181.0,207.0,0.0022495241391244,HPM_to_LPW,181.0,26.0,207.0,0.2828125
2019/4/11,Thursday,LPW_to_HPM,26.0,166.0,192.0,0.0022675736961451,HPM_to_LPW,166.0,26.0,192.0,0.2630744849445325
2019/4/12,Friday,LPW_to_HPM,36.0,159.0,195.0,0.0030614848201377,HPM_to_LPW,159.0,36.0,195.0,0.2465116279069767
2019/4/13,Saturday,LPW_to_HPM,25.0,119.0,144.0,0.0025249974750025,HPM_to_LPW,119.0,25.0,144.0,0.2505263157894737
2019/4/14,Sunday,LPW_to_HPM,25.0,97.0,122.0,0.0029947292764734,HPM_to_LPW,97.0,25.0,122.0,0.2431077694235588
2019/4/15,Monday,LPW_to_HPM,36.0,175.0,211.0,0.0034625372703664,HPM_to_LPW,175.0,36.0,211.0,0.2831715210355987
2019/4/16,Tuesday,LPW_to_HPM,38.0,192.0,230.0,0.0034407823252444,HPM_to_LPW,192.0,38.0,230.0,0.2958397534668721
2019/4/17,Wednesday,LPW_to_HPM,33.0,169.0,202.0,0.0030016372566854,HPM_to_LPW,169.0,33.0,202.0,0.2640625
2019/4/18,Thursday,LPW_to_HPM,33.0,178.0,211.0,0.002883103267517,HPM_to_LPW,178.0,33.0,211.0,0.2803149606299213
2019/4/19,Friday,LPW_to_HPM,38.0,185.0,223.0,0.0033673017279574,HPM_to_LPW,185.0,38.0,223.0,0.2654232424677188
2019/4/20,Saturday,LPW_to_HPM,35.0,141.0,176.0,0.0039521228545618,HPM_to_LPW,141.0,35.0,176.0,0.2883435582822086
2019/4/21,Sunday,LPW_to_HPM,18.0,115.0,133.0,0.0023578726748755,HPM_to_LPW,115.0,18.0,133.0,0.2784503631961259
2019/4/22,Monday,LPW_to_HPM,27.0,183.0,210.0,0.0024368231046931,HPM_to_LPW,183.0,27.0,210.0,0.2928
2019/4/23,Tuesday,LPW_to_HPM,26.0,179.0,205.0,0.0022573363431151,HPM_to_LPW,179.0,26.0,205.0,0.2783825816485225
2019/4/24,Wednesday,LPW_to_HPM,33.0,222.0,255.0,0.0027647453083109,HPM_to_LPW,222.0,33.0,255.0,0.2901960784313726
2019/4/25,Thursday,LPW_to_HPM,33.0,186.0,219.0,0.0028101847909392,HPM_to_LPW,186.0,33.0,219.0,0.2771982116244411
2019/4/26,Friday,LPW_to_HPM,34.0,204.0,238.0,0.0026051643552218,HPM_to_LPW,204.0,34.0,238.0,0.2869198312236287
2019/4/27,Saturday,LPW_to_HPM,30.0,143.0,173.0,0.0028406400909004,HPM_to_LPW,143.0,30.0,173.0,0.2894736842105263
2019/4/28,Sunday,LPW_to_HPM,34.0,136.0,170.0,0.0038279666741724,HPM_to_LPW,136.0,34.0,170.0,0.3028953229398664
2019/4/29,Monday,LPW_to_HPM,34.0,204.0,238.0,0.0030273350547591,HPM_to_LPW,204.0,34.0,238.0,0.3072289156626506
2019/4/30,Tuesday,LPW_to_HPM,36.0,179.0,215.0,0.0031139174811867,HPM_to_LPW,179.0,36.0,215.0,0.2663690476190476
2019/5/1,Wednesday,LPW_to_HPM,33.0,184.0,217.0,0.0027290770757525,HPM_to_LPW,184.0,33.0,217.0,0.2595204513399153
2019/5/2,Thursday,LPW_to_HPM,28.0,192.0,220.0,0.002360279861755,HPM_to_LPW,192.0,28.0,220.0,0.2692847124824684
2019/5/3,Friday,LPW_to_HPM,38.0,204.0,242.0,0.0031088930704409,HPM_to_LPW,204.0,38.0,242.0,0.2730923694779116
2019/5/4,Saturday,LPW_to_HPM,28.0,151.0,179.0,0.0026941210430097,HPM_to_LPW,151.0,28.0,179.0,0.3126293995859213
2019/5/5,Sunday,LPW_to_HPM,21.0,122.0,143.0,0.0024367602692039,HPM_to_LPW,122.0,21.0,143.0,0.2911694510739857
2019/5/6,Monday,LPW_to_HPM,29.0,166.0,195.0,0.0027250516820146,HPM_to_LPW,166.0,29.0,195.0,0.2927689594356261
2019/5/7,Tuesday,LPW_to_HPM,26.0,145.0,171.0,0.0023748629886737,HPM_to_LPW,145.0,26.0,171.0,0.2607913669064748
2019/5/8,Wednesday,LPW_to_HPM,30.0,190.0,220.0,0.0025693730729701,HPM_to_LPW,190.0,30.0,220.0,0.2835820895522388
2019/5/9,Thursday,LPW_to_HPM,35.0,206.0,241.0,0.0029866029524703,HPM_to_LPW,206.0,35.0,241.0,0.2959770114942529
2019/5/10,Friday,LPW_to_HPM,38.0,212.0,250.0,0.0029878911778581,HPM_to_LPW,212.0,38.0,250.0,0.2960893854748603
2019/5/11,Saturday,LPW_to_HPM,25.0,133.0,158.0,0.0024594195769798,HPM_to_LPW,133.0,25.0,158.0,0.2618110236220472
2019/5/12,Sunday,LPW_to_HPM,26.0,130.0,156.0,0.003034193021356,HPM_to_LPW,130.0,26.0,156.0,0.2669404517453799
2019/5/13,Monday,LPW_to_HPM,36.0,198.0,234.0,0.0034061879080329,HPM_to_LPW,198.0,36.0,234.0,0.3118110236220472
2019/5/14,Tuesday,LPW_to_HPM,29.0,163.0,192.0,0.0025734315378471,HPM_to_LPW,163.0,29.0,192.0,0.2620578778135048
2019/5/15,Wednesday,LPW_to_HPM,32.0,191.0,223.0,0.0029820147236976,HPM_to_LPW,191.0,32.0,223.0,0.3167495854063018
2019/5/16,Thursday,LPW_to_HPM,31.0,190.0,221.0,0.002681428942133,HPM_to_LPW,190.0,31.0,221.0,0.2887537993920973
2019/5/17,Friday,LPW_to_HPM,34.0,190.0,224.0,0.0027322404371584,HPM_to_LPW,190.0,34.0,224.0,0.2896341463414634
2019/5/18,Saturday,LPW_to_HPM,22.0,121.0,143.0,0.002415458937198,HPM_to_LPW,121.0,22.0,143.0,0.2762557077625571
2019/5/19,Sunday,LPW_to_HPM,20.0,96.0,116.0,0.0024213075060532,HPM_to_LPW,96.0,20.0,116.0,0.2455242966751918
2019/5/20,Monday,LPW_to_HPM,27.0,147.0,174.0,0.0026496565260058,HPM_to_LPW,147.0,27.0,174.0,0.275797373358349
2019/5/21,Tuesday,LPW_to_HPM,33.0,157.0,190.0,0.0032204547672489,HPM_to_LPW,157.0,33.0,190.0,0.295668549905838
2019/5/22,Wednesday,LPW_to_HPM,33.0,170.0,203.0,0.0029180298877,HPM_to_LPW,170.0,33.0,203.0,0.2961672473867596
2019/5/23,Thursday,LPW_to_HPM,28.0,193.0,221.0,0.0025168539325842,HPM_to_LPW,193.0,28.0,221.0,0.3243697478991597
2019/5/24,Friday,LPW_to_HPM,36.0,170.0,206.0,0.0032200357781753,HPM_to_LPW,170.0,36.0,206.0,0.2857142857142857
2019/5/25,Saturday,LPW_to_HPM,23.0,143.0,166.0,0.002646111366774,HPM_to_LPW,143.0,23.0,166.0,0.3184855233853007
2019/5/26,Sunday,LPW_to_HPM,13.0,107.0,120.0,0.0017333333333333,HPM_to_LPW,107.0,13.0,120.0,0.2845744680851064
2019/5/27,Monday,LPW_to_HPM,20.0,98.0,118.0,0.0028176951253874,HPM_to_LPW,98.0,20.0,118.0,0.2776203966005666
2019/5/28,Tuesday,LPW_to_HPM,29.0,159.0,188.0,0.002902612351116,HPM_to_LPW,159.0,29.0,188.0,0.3011363636363636
