Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,346.0,478.0,824.0,0.1170104835982414,HPM_to_LPW,478.0,346.0,824.0,0.2117855560478511
2019/1/2,Wednesday,LPW_to_HPM,402.0,562.0,964.0,0.1176126389701579,HPM_to_LPW,562.0,402.0,964.0,0.2203057624460995
2019/1/3,Thursday,LPW_to_HPM,425.0,712.0,1137.0,0.1125529661016949,HPM_to_LPW,712.0,425.0,1137.0,0.2348284960422163
2019/1/4,Friday,LPW_to_HPM,428.0,744.0,1172.0,0.105679012345679,HPM_to_LPW,744.0,428.0,1172.0,0.2336683417085427
2019/1/5,Saturday,LPW_to_HPM,418.0,614.0,1032.0,0.1047619047619047,HPM_to_LPW,614.0,418.0,1032.0,0.2156656129258869
2019/1/6,Sunday,LPW_to_HPM,382.0,526.0,908.0,0.1126843657817109,HPM_to_LPW,526.0,382.0,908.0,0.2166392092257001
2019/1/7,Monday,LPW_to_HPM,422.0,632.0,1054.0,0.1179429849077697,HPM_to_LPW,632.0,422.0,1054.0,0.2284062161185399
2019/1/8,Tuesday,LPW_to_HPM,427.0,693.0,1120.0,0.1066966516741629,HPM_to_LPW,693.0,427.0,1120.0,0.2471469329529244
2019/1/9,Wednesday,LPW_to_HPM,481.0,697.0,1178.0,0.111034164358264,HPM_to_LPW,697.0,481.0,1178.0,0.234364492266308
2019/1/10,Thursday,LPW_to_HPM,501.0,799.0,1300.0,0.1088184187662901,HPM_to_LPW,799.0,501.0,1300.0,0.2327410428196912
2019/1/11,Friday,LPW_to_HPM,478.0,692.0,1170.0,0.1109306103504293,HPM_to_LPW,692.0,478.0,1170.0,0.2235864297253635
2019/1/12,Saturday,LPW_to_HPM,336.0,394.0,730.0,0.1216069489685124,HPM_to_LPW,394.0,336.0,730.0,0.2011230219499744
2019/1/13,Sunday,LPW_to_HPM,389.0,442.0,831.0,0.1266276041666666,HPM_to_LPW,442.0,389.0,831.0,0.2134234669241912
2019/1/14,Monday,LPW_to_HPM,536.0,713.0,1249.0,0.1273159144893111,HPM_to_LPW,713.0,536.0,1249.0,0.2287455887070901
2019/1/15,Tuesday,LPW_to_HPM,521.0,679.0,1200.0,0.1226459510357815,HPM_to_LPW,679.0,521.0,1200.0,0.2342995169082125
2019/1/16,Wednesday,LPW_to_HPM,551.0,720.0,1271.0,0.1271049596309112,HPM_to_LPW,720.0,551.0,1271.0,0.2321831667204127
2019/1/17,Thursday,LPW_to_HPM,517.0,691.0,1208.0,0.119953596287703,HPM_to_LPW,691.0,517.0,1208.0,0.2306408544726301
2019/1/18,Friday,LPW_to_HPM,572.0,709.0,1281.0,0.1230636833046471,HPM_to_LPW,709.0,572.0,1281.0,0.2284149484536082
2019/1/19,Saturday,LPW_to_HPM,397.0,543.0,940.0,0.1094870380584666,HPM_to_LPW,543.0,397.0,940.0,0.2349632193855473
2019/1/20,Sunday,LPW_to_HPM,367.0,453.0,820.0,0.1204068241469816,HPM_to_LPW,453.0,367.0,820.0,0.2144886363636363
2019/1/21,Monday,LPW_to_HPM,352.0,527.0,879.0,0.1066666666666666,HPM_to_LPW,527.0,352.0,879.0,0.2330827067669172
2019/1/22,Tuesday,LPW_to_HPM,491.0,657.0,1148.0,0.120876415558838,HPM_to_LPW,657.0,491.0,1148.0,0.2337246531483457
2019/1/23,Wednesday,LPW_to_HPM,527.0,659.0,1186.0,0.1231020789535155,HPM_to_LPW,659.0,527.0,1186.0,0.2395492548164303
2019/1/24,Thursday,LPW_to_HPM,560.0,747.0,1307.0,0.1273885350318471,HPM_to_LPW,747.0,560.0,1307.0,0.2621972621972622
2019/1/25,Friday,LPW_to_HPM,513.0,791.0,1304.0,0.1100150117949817,HPM_to_LPW,791.0,513.0,1304.0,0.2541773778920309
2019/1/26,Saturday,LPW_to_HPM,432.0,607.0,1039.0,0.1018867924528302,HPM_to_LPW,607.0,432.0,1039.0,0.2259865971705137
2019/1/27,Sunday,LPW_to_HPM,398.0,515.0,913.0,0.1164764413227977,HPM_to_LPW,515.0,398.0,913.0,0.2231369150779896
2019/1/28,Monday,LPW_to_HPM,504.0,681.0,1185.0,0.1253107906514172,HPM_to_LPW,681.0,504.0,1185.0,0.2418323863636363
2019/1/29,Tuesday,LPW_to_HPM,538.0,693.0,1231.0,0.1318950723216474,HPM_to_LPW,693.0,538.0,1231.0,0.2612137203166227
2019/1/30,Wednesday,LPW_to_HPM,426.0,536.0,962.0,0.1215406562054208,HPM_to_LPW,536.0,426.0,962.0,0.2457588262265016
2019/1/31,Thursday,LPW_to_HPM,476.0,667.0,1143.0,0.1138755980861244,HPM_to_LPW,667.0,476.0,1143.0,0.2478632478632478
2019/2/1,Friday,LPW_to_HPM,575.0,771.0,1346.0,0.1112400851228477,HPM_to_LPW,771.0,575.0,1346.0,0.2344890510948905
2019/2/2,Saturday,LPW_to_HPM,494.0,705.0,1199.0,0.1055555555555555,HPM_to_LPW,705.0,494.0,1199.0,0.240532241555783
2019/2/3,Sunday,LPW_to_HPM,439.0,591.0,1030.0,0.107177734375,HPM_to_LPW,591.0,439.0,1030.0,0.224373576309795
2019/2/4,Monday,LPW_to_HPM,497.0,755.0,1252.0,0.1101263017948149,HPM_to_LPW,755.0,497.0,1252.0,0.2486824769433465
2019/2/5,Tuesday,LPW_to_HPM,531.0,691.0,1222.0,0.1158629718524983,HPM_to_LPW,691.0,531.0,1222.0,0.2369684499314129
2019/2/6,Wednesday,LPW_to_HPM,510.0,710.0,1220.0,0.1160145586897179,HPM_to_LPW,710.0,510.0,1220.0,0.2453351762266759
2019/2/7,Thursday,LPW_to_HPM,524.0,652.0,1176.0,0.1202662382373192,HPM_to_LPW,652.0,524.0,1176.0,0.2310418143160879
2019/2/8,Friday,LPW_to_HPM,517.0,707.0,1224.0,0.1111349957007738,HPM_to_LPW,707.0,517.0,1224.0,0.2318032786885246
2019/2/9,Saturday,LPW_to_HPM,487.0,664.0,1151.0,0.1098083427282976,HPM_to_LPW,664.0,487.0,1151.0,0.2398843930635838
2019/2/10,Sunday,LPW_to_HPM,373.0,449.0,822.0,0.1249162759544541,HPM_to_LPW,449.0,373.0,822.0,0.2143198090692124
2019/2/11,Monday,LPW_to_HPM,507.0,735.0,1242.0,0.1194065002355157,HPM_to_LPW,735.0,507.0,1242.0,0.2418558736426456
2019/2/12,Tuesday,LPW_to_HPM,605.0,683.0,1288.0,0.1305285868392664,HPM_to_LPW,683.0,605.0,1288.0,0.2234947643979057
2019/2/13,Wednesday,LPW_to_HPM,551.0,713.0,1264.0,0.1215530553717185,HPM_to_LPW,713.0,551.0,1264.0,0.2313432835820895
2019/2/14,Thursday,LPW_to_HPM,587.0,784.0,1371.0,0.1198937908496732,HPM_to_LPW,784.0,587.0,1371.0,0.2303849544519541
2019/2/15,Friday,LPW_to_HPM,539.0,686.0,1225.0,0.1226951969041657,HPM_to_LPW,686.0,539.0,1225.0,0.2379465834200485
2019/2/16,Saturday,LPW_to_HPM,454.0,596.0,1050.0,0.1108939912066438,HPM_to_LPW,596.0,454.0,1050.0,0.2245666917859834
2019/2/17,Sunday,LPW_to_HPM,394.0,496.0,890.0,0.1112051933389782,HPM_to_LPW,496.0,394.0,890.0,0.2157459765115267
2019/2/18,Monday,LPW_to_HPM,458.0,632.0,1090.0,0.1145286321580395,HPM_to_LPW,632.0,458.0,1090.0,0.2509928514694202
2019/2/19,Tuesday,LPW_to_HPM,559.0,715.0,1274.0,0.1196745878826803,HPM_to_LPW,715.0,559.0,1274.0,0.226552598225602
2019/2/20,Wednesday,LPW_to_HPM,548.0,743.0,1291.0,0.1153684210526315,HPM_to_LPW,743.0,548.0,1291.0,0.2379122638488632
2019/2/21,Thursday,LPW_to_HPM,494.0,776.0,1270.0,0.1026813552276034,HPM_to_LPW,776.0,494.0,1270.0,0.2504841833440929
2019/2/22,Friday,LPW_to_HPM,600.0,883.0,1483.0,0.1149425287356321,HPM_to_LPW,883.0,600.0,1483.0,0.2527912968794732
2019/2/23,Saturday,LPW_to_HPM,475.0,711.0,1186.0,0.0968202201386057,HPM_to_LPW,711.0,475.0,1186.0,0.2439108061749571
2019/2/24,Sunday,LPW_to_HPM,406.0,589.0,995.0,0.0972222222222222,HPM_to_LPW,589.0,406.0,995.0,0.2339158061953931
2019/2/25,Monday,LPW_to_HPM,520.0,782.0,1302.0,0.1118279569892473,HPM_to_LPW,782.0,520.0,1302.0,0.2442223610243597
2019/2/26,Tuesday,LPW_to_HPM,573.0,805.0,1378.0,0.1157575757575757,HPM_to_LPW,805.0,573.0,1378.0,0.2530650738761396
2019/2/27,Wednesday,LPW_to_HPM,555.0,759.0,1314.0,0.1183368869936034,HPM_to_LPW,759.0,555.0,1314.0,0.2393566698202459
2019/2/28,Thursday,LPW_to_HPM,472.0,615.0,1087.0,0.1150377772361686,HPM_to_LPW,615.0,472.0,1087.0,0.2411764705882353
2019/3/1,Friday,LPW_to_HPM,589.0,837.0,1426.0,0.1103409516672911,HPM_to_LPW,837.0,589.0,1426.0,0.2390062821245002
2019/3/2,Saturday,LPW_to_HPM,464.0,813.0,1277.0,0.090254814238475,HPM_to_LPW,813.0,464.0,1277.0,0.2573599240265907
2019/3/3,Sunday,LPW_to_HPM,284.0,458.0,742.0,0.0900158478605388,HPM_to_LPW,458.0,284.0,742.0,0.2337927514037774
2019/3/4,Monday,LPW_to_HPM,508.0,700.0,1208.0,0.1148282097649186,HPM_to_LPW,700.0,508.0,1208.0,0.2344273275284661
2019/3/5,Tuesday,LPW_to_HPM,528.0,731.0,1259.0,0.1130620985010706,HPM_to_LPW,731.0,528.0,1259.0,0.2472936400541272
2019/3/6,Wednesday,LPW_to_HPM,530.0,738.0,1268.0,0.1137827393731215,HPM_to_LPW,738.0,530.0,1268.0,0.2507645259938837
2019/3/7,Thursday,LPW_to_HPM,562.0,758.0,1320.0,0.1155427631578947,HPM_to_LPW,758.0,562.0,1320.0,0.2466644972339733
2019/3/8,Friday,LPW_to_HPM,599.0,813.0,1412.0,0.1122563718140929,HPM_to_LPW,813.0,599.0,1412.0,0.2394698085419735
2019/3/9,Saturday,LPW_to_HPM,456.0,734.0,1190.0,0.1012883163038649,HPM_to_LPW,734.0,456.0,1190.0,0.2663280116110305
2019/3/10,Sunday,LPW_to_HPM,406.0,573.0,979.0,0.1069828722002635,HPM_to_LPW,573.0,406.0,979.0,0.2286512370311253
2019/3/11,Monday,LPW_to_HPM,496.0,731.0,1227.0,0.1111609143881667,HPM_to_LPW,731.0,496.0,1227.0,0.237878294825903
2019/3/12,Tuesday,LPW_to_HPM,486.0,646.0,1132.0,0.1080960854092526,HPM_to_LPW,646.0,486.0,1132.0,0.224539450816823
2019/3/13,Wednesday,LPW_to_HPM,464.0,713.0,1177.0,0.1003894418000865,HPM_to_LPW,713.0,464.0,1177.0,0.248259052924791
2019/3/14,Thursday,LPW_to_HPM,528.0,739.0,1267.0,0.1094754302301472,HPM_to_LPW,739.0,528.0,1267.0,0.2505084745762712
2019/3/15,Friday,LPW_to_HPM,538.0,798.0,1336.0,0.1045066045066045,HPM_to_LPW,798.0,538.0,1336.0,0.2404338656221753
2019/3/16,Saturday,LPW_to_HPM,484.0,683.0,1167.0,0.1035515618314077,HPM_to_LPW,683.0,484.0,1167.0,0.23567977915804
2019/3/17,Sunday,LPW_to_HPM,417.0,530.0,947.0,0.0958400367731556,HPM_to_LPW,530.0,417.0,947.0,0.2122547056467761
2019/3/18,Monday,LPW_to_HPM,527.0,696.0,1223.0,0.1136510675005391,HPM_to_LPW,696.0,527.0,1223.0,0.2300066093853271
2019/3/19,Tuesday,LPW_to_HPM,582.0,729.0,1311.0,0.1188240097999183,HPM_to_LPW,729.0,582.0,1311.0,0.2350854563044179
2019/3/20,Wednesday,LPW_to_HPM,562.0,712.0,1274.0,0.1140422077922077,HPM_to_LPW,712.0,562.0,1274.0,0.2412741443578448
2019/3/21,Thursday,LPW_to_HPM,580.0,700.0,1280.0,0.1181984919502751,HPM_to_LPW,700.0,580.0,1280.0,0.2368064952638701
2019/3/22,Friday,LPW_to_HPM,594.0,776.0,1370.0,0.1131428571428571,HPM_to_LPW,776.0,594.0,1370.0,0.240545567265964
