Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,580.0,1960.0,2540.0,0.0523654749006861,HPM_to_LPW,1960.0,580.0,2540.0,0.2402844182910383
2019/1/2,Wednesday,LPW_to_HPM,719.0,3191.0,3910.0,0.0498474764281752,HPM_to_LPW,3191.0,719.0,3910.0,0.2931018646091669
2019/1/3,Thursday,LPW_to_HPM,792.0,3591.0,4383.0,0.0519208076570079,HPM_to_LPW,3591.0,792.0,4383.0,0.2987023789718849
2019/1/4,Friday,LPW_to_HPM,802.0,3803.0,4605.0,0.0486031149627295,HPM_to_LPW,3803.0,802.0,4605.0,0.3047764064753967
2019/1/5,Saturday,LPW_to_HPM,784.0,2496.0,3280.0,0.0532030401737242,HPM_to_LPW,2496.0,784.0,3280.0,0.2817791826597426
2019/1/6,Sunday,LPW_to_HPM,756.0,2185.0,2941.0,0.0548900021781746,HPM_to_LPW,2185.0,756.0,2941.0,0.2745664739884393
2019/1/7,Monday,LPW_to_HPM,745.0,3396.0,4141.0,0.0482856957677101,HPM_to_LPW,3396.0,745.0,4141.0,0.2990489609017259
2019/1/8,Tuesday,LPW_to_HPM,779.0,3787.0,4566.0,0.0452722729121869,HPM_to_LPW,3787.0,779.0,4566.0,0.3113541067170928
2019/1/9,Wednesday,LPW_to_HPM,917.0,3932.0,4849.0,0.0504761380525127,HPM_to_LPW,3932.0,917.0,4849.0,0.3136816912644595
2019/1/10,Thursday,LPW_to_HPM,986.0,3925.0,4911.0,0.0534214661104188,HPM_to_LPW,3925.0,986.0,4911.0,0.3151344841429145
2019/1/11,Friday,LPW_to_HPM,1050.0,4225.0,5275.0,0.0541014014839241,HPM_to_LPW,4225.0,1050.0,5275.0,0.3238788807972403
2019/1/12,Saturday,LPW_to_HPM,1031.0,2453.0,3484.0,0.0620972113473468,HPM_to_LPW,2453.0,1031.0,3484.0,0.2821161587119034
2019/1/13,Sunday,LPW_to_HPM,744.0,1599.0,2343.0,0.065126050420168,HPM_to_LPW,1599.0,744.0,2343.0,0.2943667157584683
2019/1/14,Monday,LPW_to_HPM,744.0,2103.0,2847.0,0.055973517905507,HPM_to_LPW,2103.0,744.0,2847.0,0.2987215909090909
2019/1/15,Tuesday,LPW_to_HPM,980.0,3857.0,4837.0,0.0515247108307045,HPM_to_LPW,3857.0,980.0,4837.0,0.3202690359544964
2019/1/16,Wednesday,LPW_to_HPM,815.0,4005.0,4820.0,0.0422389220005182,HPM_to_LPW,4005.0,815.0,4820.0,0.3152302243211334
2019/1/17,Thursday,LPW_to_HPM,716.0,4028.0,4744.0,0.037945837087286,HPM_to_LPW,4028.0,716.0,4744.0,0.3210329162349565
2019/1/18,Friday,LPW_to_HPM,668.0,3312.0,3980.0,0.0426782519805775,HPM_to_LPW,3312.0,668.0,3980.0,0.3166650731427479
2019/1/19,Saturday,LPW_to_HPM,573.0,1855.0,2428.0,0.0506004945249028,HPM_to_LPW,1855.0,573.0,2428.0,0.3027088772845953
2019/1/20,Sunday,LPW_to_HPM,506.0,1527.0,2033.0,0.053454468624551,HPM_to_LPW,1527.0,506.0,2033.0,0.2967930029154519
2019/1/21,Monday,LPW_to_HPM,443.0,1280.0,1723.0,0.056068852044045,HPM_to_LPW,1280.0,443.0,1723.0,0.2607455693623956
