Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,2790.802284000026,3144.0642379999986,5934.866522000024,0.1156186220159567,HPM_to_LPW,3144.0642379999576,2790.802284000051,5934.866522000008,0.1573526979386263
2019/1/2,Wednesday,LPW_to_HPM,3483.0393919999506,3276.862242999964,6759.901634999915,0.1165753857931798,HPM_to_LPW,3276.8622430000423,3483.039391999959,6759.901635000002,0.1631822236709064
2019/1/3,Thursday,LPW_to_HPM,3753.233848000058,3551.426800000004,7304.660648000061,0.1150416493462462,HPM_to_LPW,3551.4267999999606,3753.233847999986,7304.660647999947,0.1625366933535982
2019/1/4,Friday,LPW_to_HPM,4381.876468000018,4261.07580399998,8642.952271999999,0.115109582749697,HPM_to_LPW,4261.075804000015,4381.876467999969,8642.952271999984,0.1627980341514922
2019/1/5,Saturday,LPW_to_HPM,3918.2588830000086,3826.0953859999904,7744.354268999999,0.1133099742550955,HPM_to_LPW,3826.095386000041,3918.2588830000695,7744.35426900011,0.1583059048507104
2019/1/6,Sunday,LPW_to_HPM,3603.633512999941,3525.913882000038,7129.54739499998,0.111806444357309,HPM_to_LPW,3525.9138820000044,3603.63351299999,7129.547394999994,0.1559862813175617
2019/1/7,Monday,LPW_to_HPM,3620.6727159999978,3792.826321000028,7413.499037000025,0.1154514416290833,HPM_to_LPW,3792.826321000002,3620.672715999998,7413.499037,0.1627403377971443
2019/1/8,Tuesday,LPW_to_HPM,4335.413910000013,3908.272697999967,8243.68660799998,0.1122931485823379,HPM_to_LPW,3908.272697999993,4335.413909999974,8243.686607999967,0.1590733297321203
2019/1/9,Wednesday,LPW_to_HPM,4591.368958000045,4215.7180889999945,8807.08704700004,0.1112843323459525,HPM_to_LPW,4215.718088999989,4591.368957999983,8807.087046999972,0.1577325570548894
2019/1/10,Thursday,LPW_to_HPM,4568.60660199995,4291.39521199997,8860.00181399992,0.1120113415988118,HPM_to_LPW,4291.395211999996,4568.606602000056,8860.001814000052,0.1573034417269442
2019/1/11,Friday,LPW_to_HPM,4898.867936999974,4462.112638000032,9360.980575000003,0.1118616237889465,HPM_to_LPW,4462.112638000011,4898.867937000076,9360.980575000089,0.1577554411967055
2019/1/12,Saturday,LPW_to_HPM,4437.996199999943,4032.446490999999,8470.442690999942,0.1124653750943394,HPM_to_LPW,4032.446490999969,4437.99619999997,8470.442690999938,0.1581475587080369
2019/1/13,Sunday,LPW_to_HPM,3626.698250999957,3624.2200029999935,7250.918253999951,0.1109285577196505,HPM_to_LPW,3624.220002999996,3626.698251000024,7250.91825400002,0.1592223882247139
2019/1/14,Monday,LPW_to_HPM,4358.209327999924,4103.544940999964,8461.754268999888,0.1117632870844491,HPM_to_LPW,4103.544940999937,4358.209327999973,8461.75426899991,0.1569593384266062
2019/1/15,Tuesday,LPW_to_HPM,4564.753148999991,3991.781324000032,8556.534473000023,0.1131177380974227,HPM_to_LPW,3991.781324000018,4564.753149000036,8556.534473000054,0.1567863845319448
2019/1/16,Wednesday,LPW_to_HPM,4674.70927899991,4305.446488999943,8980.155767999851,0.1137039197402149,HPM_to_LPW,4305.446489000002,4674.709278999972,8980.155767999973,0.1598457953929996
2019/1/17,Thursday,LPW_to_HPM,4768.003882000067,4257.029381000013,9025.03326300008,0.1139035805134144,HPM_to_LPW,4257.02938100005,4768.003881999945,9025.033262999996,0.1591710360394568
2019/1/18,Friday,LPW_to_HPM,5046.358697999908,4536.489147000043,9582.847844999951,0.1123960687600798,HPM_to_LPW,4536.489147000059,5046.358698000014,9582.847845000071,0.1558448976805918
2019/1/19,Saturday,LPW_to_HPM,4308.115219999968,3871.122954000022,8179.23817399999,0.1148983899869929,HPM_to_LPW,3871.12295400002,4308.115219999978,8179.238173999997,0.1601755594987129
2019/1/20,Sunday,LPW_to_HPM,3769.2705479999945,3676.299822000028,7445.570370000022,0.114424896962335,HPM_to_LPW,3676.299822000026,3769.270547999981,7445.570370000007,0.159734949117838
2019/1/21,Monday,LPW_to_HPM,4217.97555599999,4050.692094000045,8268.667650000036,0.1175807869819387,HPM_to_LPW,4050.692094000038,4217.975555999963,8268.667650000001,0.1653343720609602
2019/1/22,Tuesday,LPW_to_HPM,4556.649908000008,4448.279647000012,9004.92955500002,0.114991417403855,HPM_to_LPW,4448.279647000021,4556.649908000003,9004.929555000024,0.1655789920713792
2019/1/23,Wednesday,LPW_to_HPM,4630.977221999997,4318.047918999957,8949.025140999955,0.114175966727521,HPM_to_LPW,4318.047918999994,4630.977222000063,8949.025141000056,0.163092910692935
2019/1/24,Thursday,LPW_to_HPM,4715.495740000003,4338.243660000037,9053.73940000004,0.1132851835117487,HPM_to_LPW,4338.2436600000165,4715.495739999979,9053.739399999997,0.1612310413830857
2019/1/25,Friday,LPW_to_HPM,5090.833672999992,4607.840105000004,9698.673777999997,0.1123283605135154,HPM_to_LPW,4607.840104999963,5090.8336730000165,9698.673777999978,0.1599333626808155
2019/1/26,Saturday,LPW_to_HPM,4677.995320999975,4115.1024240000015,8793.097744999977,0.1124761437547913,HPM_to_LPW,4115.102423999947,4677.995321000013,8793.09774499996,0.1600335383556065
2019/1/27,Sunday,LPW_to_HPM,3910.7847449999945,3706.799803999985,7617.584548999979,0.1119221772435272,HPM_to_LPW,3706.799804000012,3910.7847449999936,7617.584549000005,0.162166409390034
2019/1/28,Monday,LPW_to_HPM,4386.941285999976,4244.411581000018,8631.352866999994,0.1119889032796518,HPM_to_LPW,4244.411580999954,4386.94128599998,8631.352866999934,0.1621675620585102
2019/1/29,Tuesday,LPW_to_HPM,4396.991801999956,4007.444631999963,8404.43643399992,0.1123917942337914,HPM_to_LPW,4007.444631999957,4396.991802000026,8404.436433999983,0.1616883048830831
2019/1/30,Wednesday,LPW_to_HPM,4574.418856999932,4157.668175000025,8732.087031999958,0.1127065033030599,HPM_to_LPW,4157.6681750000125,4574.418856999957,8732.08703199997,0.1621302516272893
2019/1/31,Thursday,LPW_to_HPM,4809.703694999991,4686.045235999988,9495.74893099998,0.1145385714972553,HPM_to_LPW,4686.045235999988,4809.70369499996,9495.748930999947,0.1639165127152992
2019/2/1,Friday,LPW_to_HPM,5231.438027999952,5054.811043000011,10286.249070999962,0.1144935231989097,HPM_to_LPW,5054.811043000019,5231.438027999933,10286.249070999953,0.1630899866089282
