Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,flow_share_HPM_to_LPW
2019/1/1,Tuesday,LPW_to_HPM,270.0,570.0,840.0,0.04285034121568,HPM_to_LPW,570.0,270.0,840.0,0.251211987659762
2019/1/2,Wednesday,LPW_to_HPM,328.0,872.0,1200.0,0.0384570289600187,HPM_to_LPW,872.0,328.0,1200.0,0.2957937584803256
2019/1/3,Thursday,LPW_to_HPM,423.0,997.0,1420.0,0.0461085676913015,HPM_to_LPW,997.0,423.0,1420.0,0.2851015155847869
2019/1/4,Friday,LPW_to_HPM,385.0,1127.0,1512.0,0.0399792315680166,HPM_to_LPW,1127.0,385.0,1512.0,0.2769722290489063
2019/1/5,Saturday,LPW_to_HPM,265.0,737.0,1002.0,0.0333417211877201,HPM_to_LPW,737.0,265.0,1002.0,0.2615330021291696
2019/1/6,Sunday,LPW_to_HPM,294.0,687.0,981.0,0.0401255629862153,HPM_to_LPW,687.0,294.0,981.0,0.2563432835820896
2019/1/7,Monday,LPW_to_HPM,379.0,954.0,1333.0,0.0455091258405379,HPM_to_LPW,954.0,379.0,1333.0,0.2921898928024502
2019/1/8,Tuesday,LPW_to_HPM,394.0,1081.0,1475.0,0.0431544359255202,HPM_to_LPW,1081.0,394.0,1475.0,0.3033108866442199
2019/1/9,Wednesday,LPW_to_HPM,435.0,1251.0,1686.0,0.0428360413589364,HPM_to_LPW,1251.0,435.0,1686.0,0.3109619686800894
2019/1/10,Thursday,LPW_to_HPM,473.0,1296.0,1769.0,0.0450133231823372,HPM_to_LPW,1296.0,473.0,1769.0,0.3023798413439104
2019/1/11,Friday,LPW_to_HPM,445.0,1204.0,1649.0,0.0416315838712695,HPM_to_LPW,1204.0,445.0,1649.0,0.2769089236430543
2019/1/12,Saturday,LPW_to_HPM,343.0,769.0,1112.0,0.0382002450161487,HPM_to_LPW,769.0,343.0,1112.0,0.2379331683168316
2019/1/13,Sunday,LPW_to_HPM,312.0,688.0,1000.0,0.0412044374009508,HPM_to_LPW,688.0,312.0,1000.0,0.2486447415973979
2019/1/14,Monday,LPW_to_HPM,427.0,1130.0,1557.0,0.042589267903451,HPM_to_LPW,1130.0,427.0,1557.0,0.2996552638557412
2019/1/15,Tuesday,LPW_to_HPM,423.0,1104.0,1527.0,0.0422029332535169,HPM_to_LPW,1104.0,423.0,1527.0,0.3023829087921117
2019/1/16,Wednesday,LPW_to_HPM,440.0,1185.0,1625.0,0.04304020346278,HPM_to_LPW,1185.0,440.0,1625.0,0.3039240830982303
2019/1/17,Thursday,LPW_to_HPM,396.0,1167.0,1563.0,0.038679429576089,HPM_to_LPW,1167.0,396.0,1563.0,0.30390625
2019/1/18,Friday,LPW_to_HPM,429.0,1187.0,1616.0,0.0394084144773103,HPM_to_LPW,1187.0,429.0,1616.0,0.2872005806919913
2019/1/19,Saturday,LPW_to_HPM,296.0,815.0,1111.0,0.0334123490235918,HPM_to_LPW,815.0,296.0,1111.0,0.256531318854265
2019/1/20,Sunday,LPW_to_HPM,206.0,521.0,727.0,0.0356895356895356,HPM_to_LPW,521.0,206.0,727.0,0.2730607966457023
2019/1/21,Monday,LPW_to_HPM,239.0,665.0,904.0,0.0375019613996547,HPM_to_LPW,665.0,239.0,904.0,0.3002257336343115
2019/1/22,Tuesday,LPW_to_HPM,377.0,1038.0,1415.0,0.0394805738820818,HPM_to_LPW,1038.0,377.0,1415.0,0.3020954598370198
2019/1/23,Wednesday,LPW_to_HPM,373.0,1057.0,1430.0,0.0364613880742913,HPM_to_LPW,1057.0,373.0,1430.0,0.2941831338714166
2019/1/24,Thursday,LPW_to_HPM,369.0,1104.0,1473.0,0.0352671317977635,HPM_to_LPW,1104.0,369.0,1473.0,0.2974137931034483
2019/1/25,Friday,LPW_to_HPM,398.0,1260.0,1658.0,0.0359562742795193,HPM_to_LPW,1260.0,398.0,1658.0,0.2964705882352941
2019/1/26,Saturday,LPW_to_HPM,298.0,843.0,1141.0,0.0333035315154224,HPM_to_LPW,843.0,298.0,1141.0,0.2456293706293706
2019/1/27,Sunday,LPW_to_HPM,242.0,689.0,931.0,0.0320148167747056,HPM_to_LPW,689.0,242.0,931.0,0.2441530829199149
2019/1/28,Monday,LPW_to_HPM,380.0,1103.0,1483.0,0.0385708485586682,HPM_to_LPW,1103.0,380.0,1483.0,0.2873892652423137
2019/1/29,Tuesday,LPW_to_HPM,420.0,1069.0,1489.0,0.042796005706134,HPM_to_LPW,1069.0,420.0,1489.0,0.2979375696767001
2019/1/30,Wednesday,LPW_to_HPM,421.0,1087.0,1508.0,0.0429416564667482,HPM_to_LPW,1087.0,421.0,1508.0,0.2987084363836219
2019/1/31,Thursday,LPW_to_HPM,432.0,1155.0,1587.0,0.0420110862588738,HPM_to_LPW,1155.0,432.0,1587.0,0.3014091858037578
2019/2/1,Friday,LPW_to_HPM,379.0,1219.0,1598.0,0.0328536754507628,HPM_to_LPW,1219.0,379.0,1598.0,0.2946579647087261
2019/2/2,Saturday,LPW_to_HPM,284.0,773.0,1057.0,0.0306265501995039,HPM_to_LPW,773.0,284.0,1057.0,0.2396899224806201
2019/2/3,Sunday,LPW_to_HPM,295.0,676.0,971.0,0.0350522813688212,HPM_to_LPW,676.0,295.0,971.0,0.2468054034319094
2019/2/4,Monday,LPW_to_HPM,421.0,1105.0,1526.0,0.0392687249323757,HPM_to_LPW,1105.0,421.0,1526.0,0.2861952861952861
2019/2/5,Tuesday,LPW_to_HPM,423.0,1174.0,1597.0,0.0369755244755244,HPM_to_LPW,1174.0,423.0,1597.0,0.2881688757977417
2019/2/6,Wednesday,LPW_to_HPM,392.0,1144.0,1536.0,0.0363434081216391,HPM_to_LPW,1144.0,392.0,1536.0,0.3001836788244555
2019/2/7,Thursday,LPW_to_HPM,387.0,1132.0,1519.0,0.0358068097705403,HPM_to_LPW,1132.0,387.0,1519.0,0.2939496234744222
2019/2/8,Friday,LPW_to_HPM,417.0,1207.0,1624.0,0.0362734864300626,HPM_to_LPW,1207.0,417.0,1624.0,0.2943184589124604
2019/2/9,Saturday,LPW_to_HPM,319.0,806.0,1125.0,0.0343084534308453,HPM_to_LPW,806.0,319.0,1125.0,0.25660617637695
2019/2/10,Sunday,LPW_to_HPM,280.0,709.0,989.0,0.0355510411376333,HPM_to_LPW,709.0,280.0,989.0,0.2698896079177769
2019/2/11,Monday,LPW_to_HPM,394.0,1168.0,1562.0,0.0370161593385945,HPM_to_LPW,1168.0,394.0,1562.0,0.3052796654469419
2019/2/12,Tuesday,LPW_to_HPM,405.0,1126.0,1531.0,0.0385677554518617,HPM_to_LPW,1126.0,405.0,1531.0,0.3010695187165775
2019/2/13,Wednesday,LPW_to_HPM,447.0,1078.0,1525.0,0.0411943599668233,HPM_to_LPW,1078.0,447.0,1525.0,0.2952615721720076
2019/2/14,Thursday,LPW_to_HPM,412.0,1129.0,1541.0,0.0357452715599514,HPM_to_LPW,1129.0,412.0,1541.0,0.2910543954627481
2019/2/15,Friday,LPW_to_HPM,389.0,1161.0,1550.0,0.034900412704109,HPM_to_LPW,1161.0,389.0,1550.0,0.2787515006002401
2019/2/16,Saturday,LPW_to_HPM,347.0,865.0,1212.0,0.0382706518142715,HPM_to_LPW,865.0,347.0,1212.0,0.2496392496392496
2019/2/17,Sunday,LPW_to_HPM,276.0,647.0,923.0,0.0358441558441558,HPM_to_LPW,647.0,276.0,923.0,0.2332372025955299
2019/2/18,Monday,LPW_to_HPM,251.0,751.0,1002.0,0.0332847102506298,HPM_to_LPW,751.0,251.0,1002.0,0.2891798228725452
2019/2/19,Tuesday,LPW_to_HPM,391.0,1038.0,1429.0,0.0389054726368159,HPM_to_LPW,1038.0,391.0,1429.0,0.2934690415606446
2019/2/20,Wednesday,LPW_to_HPM,393.0,1093.0,1486.0,0.0380961613028305,HPM_to_LPW,1093.0,393.0,1486.0,0.3004398020890599
2019/2/21,Thursday,LPW_to_HPM,380.0,1015.0,1395.0,0.0375234521575985,HPM_to_LPW,1015.0,380.0,1395.0,0.2954876273653566
2019/2/22,Friday,LPW_to_HPM,385.0,1109.0,1494.0,0.0348826673915013,HPM_to_LPW,1109.0,385.0,1494.0,0.2923807012918534
2019/2/23,Saturday,LPW_to_HPM,325.0,862.0,1187.0,0.0341817416912074,HPM_to_LPW,862.0,325.0,1187.0,0.2564712883070514
2019/2/24,Sunday,LPW_to_HPM,296.0,637.0,933.0,0.0402010050251256,HPM_to_LPW,637.0,296.0,933.0,0.2535828025477707
