city,flow_type,Sum_Observed_Flow,Sum_Predicted_Flow,Realization_Ratio_R
Los Angeles,HPM_to_LPW,2524982.0,1330418.9433000002,1.8978848825896748
Los Angeles,LPW_to_HPM,1598212.0,1567407.9559999998,1.0196528567320864
San Diego,HPM_to_LPW,857183.0,856758.8024,1.0004951190449536
San Diego,LPW_to_HPM,953177.0,1011918.2710999998,0.9419505776527334
"Washington, D.C",HPM_to_LPW,587715.0,470427.9168,1.249319989336143
"Washington, D.C",LPW_to_HPM,163216.0,276179.0733,0.5909788821063439
Miami,HPM_to_LPW,393939.0,296839.7976,1.3271097850930484
Miami,LPW_to_HPM,320102.0,498660.0372,0.6419243093899967
Atlanta,HPM_to_LPW,670292.0,490646.7385,1.3661397241714264
Atlanta,LPW_to_HPM,423552.0,547994.6100999999,0.772912711536905
Chicago,HPM_to_LPW,3346127.0,2205943.1961000003,1.5168690680321184
Chicago,LPW_to_HPM,1673232.0,2068760.2731,0.8088090349360257
Boston,HPM_to_LPW,407229.0,371992.547,1.0947235456306066
Boston,LPW_to_HPM,142029.0,277640.9069,0.5115564618550812
Detroit,HPM_to_LPW,1224796.0,1222137.9223000002,1.0021749408569185
Detroit,LPW_to_HPM,1199506.0,1702850.1887000003,0.7044107625907676
New York,HPM_to_LPW,6177457.0,4219469.672900001,1.4640363550129023
New York,LPW_to_HPM,2612374.0,3663379.453000001,0.7131049440867188
Pittsburgh,HPM_to_LPW,545244.0,634574.3525999999,0.8592279183140754
Pittsburgh,LPW_to_HPM,525830.0,638194.9729,0.8239331588755608
Philadelphia,HPM_to_LPW,1716458.0,1429492.6370999997,1.200746303585141
Philadelphia,LPW_to_HPM,892457.0,1232064.8616,0.7243587799761012
Dallas,HPM_to_LPW,1500491.0,1367934.3988,1.0969027471758026
Dallas,LPW_to_HPM,836625.0,1555751.8577,0.5377624946158532
San Francisco,HPM_to_LPW,53925.0,55574.8062,0.9703137750213152
San Francisco,LPW_to_HPM,10837.0,29040.8634,0.3731638364443393
Houston,HPM_to_LPW,3269804.0,2997375.0043999995,1.090889193110668
Houston,LPW_to_HPM,3172550.0,4244093.5604,0.7475212209273236
Phoenix,HPM_to_LPW,3323260.0,2762884.8854,1.2028224619712562
Phoenix,LPW_to_HPM,3246022.0,3740731.142199999,0.8677506820474002
St. Louis,HPM_to_LPW,229847.0,216257.2214,1.0628408083301122
St. Louis,LPW_to_HPM,182565.0,198308.5196,0.9206109771191092
