city,flow_type,Sum_Observed_Flow,Sum_Predicted_Flow,Realization_Ratio_R
Los Angeles,HPM_to_LPW,2524982.0,2201007.518904,1.1471937184736765
Los Angeles,LPW_to_HPM,1598212.0,3394534.904818,0.4708191386488892
San Diego,HPM_to_LPW,857183.0,840588.9016369999,1.0197410390866262
San Diego,LPW_to_HPM,953177.0,1251331.805346,0.7617300191106717
"Washington, D.C",HPM_to_LPW,587715.0,474106.246275,1.2396272030111632
"Washington, D.C",LPW_to_HPM,163216.0,259571.426239,0.6287903193540229
Miami,HPM_to_LPW,393939.0,303943.05452,1.2960947590071616
Miami,LPW_to_HPM,320102.0,604214.5581130001,0.5297820049217261
Atlanta,HPM_to_LPW,670292.0,689240.2026,0.9725085644619652
Atlanta,LPW_to_HPM,423552.0,760841.130837,0.5566891468315484
Chicago,HPM_to_LPW,3346127.0,2748137.8643369987,1.2175979391074945
Chicago,LPW_to_HPM,1673232.0,2782390.562876,0.6013648918757382
Boston,HPM_to_LPW,407229.0,381996.280335,1.0660548831597827
Boston,LPW_to_HPM,142029.0,297102.474778,0.4780471791967619
Detroit,HPM_to_LPW,1224796.0,1388299.780334,0.8822273239179913
Detroit,LPW_to_HPM,1199506.0,2145674.3735350003,0.5590344997334394
New York,HPM_to_LPW,6177457.0,5378194.213505002,1.1486117374653366
New York,LPW_to_HPM,2612374.0,4845998.505551997,0.5390785814331222
Pittsburgh,HPM_to_LPW,545244.0,660817.7883439999,0.8251049073094322
Pittsburgh,LPW_to_HPM,525830.0,803082.8304920001,0.6547643406569356
Philadelphia,HPM_to_LPW,1716458.0,1473611.968278,1.1647964572422544
Philadelphia,LPW_to_HPM,892457.0,1345917.631103,0.663084411241881
Dallas,HPM_to_LPW,1500491.0,1573930.9866070002,0.9533397669707752
Dallas,LPW_to_HPM,836625.0,1681085.170982,0.4976696091556672
San Francisco,HPM_to_LPW,53925.0,55214.671054,0.976642601877702
San Francisco,LPW_to_HPM,10837.0,27189.138360000004,0.3985782799186873
Houston,HPM_to_LPW,3269804.0,3280269.755573,0.9968094832581316
Houston,LPW_to_HPM,3172550.0,4903364.940707001,0.6470148639482175
Phoenix,HPM_to_LPW,3323260.0,3266902.280782,1.0172511187584434
Phoenix,LPW_to_HPM,3246022.0,5698457.462804998,0.569631697909031
St. Louis,HPM_to_LPW,229847.0,226322.98122900003,1.015570750932422
St. Louis,LPW_to_HPM,182565.0,210308.052541,0.8680837361869849
