city,flow_type,Sum_Observed_Flow,Sum_Predicted_Flow,Realization_Ratio_R
Los Angeles,HPM_to_LPW,2524982.0,1100019.456063,2.295397582363661
Los Angeles,LPW_to_HPM,1598212.0,1831976.9875790004,0.8723974213846833
San Diego,HPM_to_LPW,857183.0,748276.828986,1.1455426211200208
San Diego,LPW_to_HPM,953177.0,1187234.6211680002,0.8028547879291673
"Washington, D.C",HPM_to_LPW,587715.0,539612.2979840001,1.0891430795697437
"Washington, D.C",LPW_to_HPM,163216.0,236399.353856,0.6904248989589928
Miami,HPM_to_LPW,393939.0,229302.453896,1.7179885923884215
Miami,LPW_to_HPM,320102.0,613997.4321939999,0.5213409425120525
Atlanta,HPM_to_LPW,670292.0,506052.391322,1.3245506028515033
Atlanta,LPW_to_HPM,423552.0,566908.370923,0.7471260290448748
Chicago,HPM_to_LPW,3346127.0,1717776.1172039998,1.9479412750518643
Chicago,LPW_to_HPM,1673232.0,1722738.259476,0.9712630405671386
Boston,HPM_to_LPW,407229.0,337163.14209700003,1.2078099565309022
Boston,LPW_to_HPM,142029.0,310616.16123,0.4572492282358504
Detroit,HPM_to_LPW,1224796.0,1021183.9173900002,1.1993882582193451
Detroit,LPW_to_HPM,1199506.0,1703586.1646970003,0.7041064460706888
New York,HPM_to_LPW,6177457.0,3274283.89495,1.8866589453430191
New York,LPW_to_HPM,2612374.0,3167408.527596001,0.8247669908190651
Pittsburgh,HPM_to_LPW,545244.0,591742.795733,0.9214205968060812
Pittsburgh,LPW_to_HPM,525830.0,721380.2003649999,0.7289221408266313
Philadelphia,HPM_to_LPW,1716458.0,1205489.3304660004,1.4238682637999598
Philadelphia,LPW_to_HPM,892457.0,1264117.718029,0.70599200317476
Dallas,HPM_to_LPW,1500491.0,1402551.035811,1.0698298754828326
Dallas,LPW_to_HPM,836625.0,1514497.143519,0.5524110782117855
San Francisco,HPM_to_LPW,53925.0,56735.461883,0.9504637524799616
San Francisco,LPW_to_HPM,10837.0,26306.572043,0.4119502906834892
Houston,HPM_to_LPW,3269804.0,2778763.43182,1.1767119008970062
Houston,LPW_to_HPM,3172550.0,4670020.252882,0.6793439488923266
Phoenix,HPM_to_LPW,3323260.0,2377044.909260001,1.3980636154806876
Phoenix,LPW_to_HPM,3246022.0,4225479.324714,0.7682020785227024
St. Louis,HPM_to_LPW,229847.0,231806.939135,0.9915449505424055
St. Louis,LPW_to_HPM,182565.0,206556.250306,0.8838512498631318
