city,bin_id,city_bin_median_R,city_bin_n
Phoenix,0,0.5528750185476402,11771
Phoenix,1,0.5640188781630676,17855
Phoenix,2,0.5555123490395191,25229
Phoenix,3,0.5440914726787687,31340
Phoenix,4,0.5751144911585393,31468
Phoenix,5,0.586153345117982,29375
Phoenix,6,0.5846070767475102,24208
Phoenix,7,0.602549749730303,17176
Phoenix,8,0.7289251342862318,10369
Phoenix,9,0.8045997357694469,4795
Los Angeles,0,2.0948901439608503,4627
Los Angeles,1,1.8913412110053776,7668
Los Angeles,2,1.5913709998145409,13806
Los Angeles,3,1.2282401897385449,28991
Los Angeles,4,0.9354182559033072,33427
Los Angeles,5,0.8610279699769879,28745
Los Angeles,6,0.7799915942911225,24140
Los Angeles,7,0.7344149797154574,16835
Los Angeles,8,0.6461139975785368,9056
Los Angeles,9,0.6637899158806273,3856
San Diego,0,1.3246008096931212,2388
San Diego,1,1.3415819590041629,3314
San Diego,2,0.9325745492323207,4377
San Diego,3,0.6815487465106136,6020
San Diego,4,0.5344923221935576,5992
San Diego,5,0.446937495848669,5059
San Diego,6,0.4376090558234535,3871
San Diego,7,0.4056009708464837,2531
San Diego,8,0.4618072481924646,1264
San Diego,9,0.3747607620984955,467
San Francisco,1,0.1964752460575823,94
San Francisco,2,0.2402210514115088,141
San Francisco,3,0.3160543998061648,178
San Francisco,4,0.260841859275556,147
San Francisco,5,0.2748347556031937,113
San Francisco,6,0.3024484645013529,70
"Washington, D.C",0,0.3985178778535874,161
"Washington, D.C",1,0.3845642737225952,253
"Washington, D.C",2,0.5251252616582871,422
"Washington, D.C",3,0.5348827460131349,1045
"Washington, D.C",4,0.5243674159009457,1240
"Washington, D.C",5,0.5566302055043507,1064
"Washington, D.C",6,0.5207545842027724,1106
"Washington, D.C",7,0.4762711588019774,714
"Washington, D.C",8,0.5818127487449501,455
"Washington, D.C",9,0.8831550537664804,129
Miami,0,2.793371054089803,272
Miami,1,1.5352251303252296,510
Miami,2,0.7728890825773469,1331
Miami,3,0.3322459542497673,3904
Miami,4,0.270621749409943,4051
Miami,5,0.279099174765974,2630
Miami,6,0.2559946041240797,1458
Miami,7,0.3705924055486576,595
Miami,8,0.2455844529323889,539
Miami,9,0.2331634426768844,215
Atlanta,0,1.8475768903679963,330
Atlanta,1,1.7549978101222945,508
Atlanta,2,1.3275320184128687,863
Atlanta,3,0.7494406362451226,1651
Atlanta,4,0.5462920355682921,1946
Atlanta,5,0.4933293690423829,1887
Atlanta,6,0.3999179688262345,1823
Atlanta,7,0.2622928804269706,1709
Atlanta,8,0.2205647921759492,1341
Atlanta,9,0.2036756634110978,673
Chicago,0,0.8795122137311414,2743
Chicago,1,1.196016308878388,4907
Chicago,2,1.5049701639664987,10289
Chicago,3,1.4689238596964276,24512
Chicago,4,1.6904048817712956,31928
Chicago,5,1.5662531479785289,33556
Chicago,6,1.8579538540001288,28735
Chicago,7,2.127671132734348,25664
