bin_id,bin_center,bin_left,bin_right,median_across_cities,iqr_low_across_cities,iqr_high_across_cities,n_cities,total_active_paths_in_valid_city_bins,min_city_bin_n,max_city_bin_n
0,29.981500000000004,26.73,33.233000000000004,0.9588850570560815,0.8152522300330571,1.4512454825288539,15,37037,161,11771
1,36.484500000000004,33.233000000000004,39.736000000000004,0.9577745157099073,0.6904919254325457,1.3342991956492152,16,61349,94,17855
2,42.987500000000004,39.736000000000004,46.239000000000004,0.7919733589775164,0.6284734017109836,1.0918930107493487,16,102668,141,25229
3,49.490500000000004,46.239000000000004,52.742000000000004,0.6844285354124725,0.5417892910123603,0.9260518482377487,16,188764,178,38989
4,55.993500000000004,52.742000000000004,59.245000000000005,0.5737367364974353,0.5319610956204046,0.9185791794736101,16,218704,147,48754
5,62.496500000000005,59.245000000000005,65.748,0.5343959560135786,0.46313667706457506,0.9422411293380488,16,209277,113,48402
6,68.99950000000001,65.748,72.251,0.4983364720318067,0.4281862840741487,0.8800480560511706,16,179057,70,41534
7,75.5025,72.251,78.754,0.4804146887444457,0.43251618697384575,0.9628966068558362,15,146268,595,32026
8,82.00550000000001,78.754,85.257,0.5818127487449501,0.44848231773333497,0.9337862675194388,15,108929,455,24082
9,88.5085,85.257,91.76,0.5450004114753106,0.3706526464797635,1.0556825363834452,15,66852,129,16128
