Code,City,Category,Count,Percentage(%),Category_Label,Percentage_Val
11001,"Washington, D.C",12,173,38.53%,LPW,38.53
11001,"Washington, D.C",21,63,14.03%,HPM,14.03
12086,Miami,21,236,15.06%,HPM,15.06
12086,Miami,12,119,7.59%,LPW,7.59
13121,Atlanta,12,228,42.30%,LPW,42.3
13121,Atlanta,21,98,18.18%,HPM,18.18
17031,Chicago,12,1720,43.22%,LPW,43.22
17031,Chicago,21,507,12.74%,HPM,12.74
25025,Boston,12,284,44.94%,LPW,44.94
25025,Boston,21,68,10.76%,HPM,10.76
26163,Detroit,12,710,39.38%,LPW,39.38
26163,Detroit,21,523,29.01%,HPM,29.01
29510,St. Louis,12,135,37.71%,LPW,37.71
29510,St. Louis,21,93,25.98%,HPM,25.98
36005,New York,12,1921,31.03%,LPW,31.03
36005,New York,21,838,13.54%,HPM,13.54
4013,Phoenix,12,1587,63.71%,LPW,63.71
4013,Phoenix,21,249,10.00%,HPM,10.0
42003,Pittsburgh,12,849,78.32%,LPW,78.32
42003,Pittsburgh,21,66,6.09%,HPM,6.09
42101,Philadelphia,12,382,28.83%,LPW,28.83
42101,Philadelphia,21,381,28.75%,HPM,28.75
48113,Dallas,12,406,24.44%,LPW,24.44
48113,Dallas,21,232,13.97%,HPM,13.97
48201,Houston,12,567,26.51%,LPW,26.51
48201,Houston,21,418,19.54%,HPM,19.54
6037,Los Angeles,12,1547,24.27%,LPW,24.27
6037,Los Angeles,21,564,8.85%,HPM,8.85
6073,San Diego,12,917,51.32%,LPW,51.32
6073,San Diego,21,81,4.53%,HPM,4.53
6075,San Francisco,12,234,40.55%,LPW,40.55
6075,San Francisco,21,7,1.21%,HPM,1.21
