panel,sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,threshold_value,mean_FA,sem_FA,sd_FA,median_FA,delta_mean_FA_vs_baseline,city_count,Los Angeles,San Diego,"Washington, D.C",Miami,Atlanta,Chicago,Boston,Detroit,New York,Pittsburgh,Philadelphia,Dallas,San Francisco,Houston,Phoenix,St. Louis
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,0.6956661153464643,0.011288144182118,0.045152576728472,0.6919782973743498,-0.0064392239155528,16,0.7398964418303909,0.6957809486025418,0.6758725972052089,0.6834432641036267,0.6338524175638521,0.740554992781564,0.7253657972733955,0.716719927764715,0.8005321516354033,0.6938189678417634,0.7120932950876917,0.6524348651864332,0.6901376269069361,0.6840309268745801,0.6753346708092356,0.6107889540760896
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,0.70238921613523,0.011961370030383,0.047845480121532,0.6976006434486357,0.0002838768732128,16,0.7451084376358669,0.697771961003055,0.6925871960920691,0.6974293258942165,0.6382151993005861,0.7477258390317758,0.732223162587969,0.7096155031081318,0.7938538700291065,0.6919548827309077,0.7133706927125887,0.637230795234637,0.762886437539869,0.692402212169632,0.6710563933172241,0.6147955497760439
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,0.7021053392620171,0.01274885753721095,0.0509954301488438,0.70664505984673,0.0,16,0.7580695195342632,0.721945819389482,0.6875878076680814,0.6650652930710282,0.6244674743382055,0.763427354623564,0.7256382032628187,0.7112603957757738,0.7871018145454168,0.6846286997910509,0.7158362244691334,0.6356433878132028,0.7614454851772853,0.702029723917686,0.6696920515710514,0.6198461732442315
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,0.7018657928445504,0.0146571397279657,0.0586285589118628,0.706724836375825,-0.0002395464174667,16,0.7657339433215671,0.7201330629925343,0.6807478201357191,0.6751398125330542,0.624482409509596,0.7681562624820634,0.7395054546841623,0.7068093991728773,0.78695338137426,0.6683259124242623,0.7066402735787725,0.604828895853177,0.7766358017382243,0.7150002920724913,0.6912853251674174,0.5994746384726288
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,0.7054760845317962,0.01854917150222725,0.074196686008909,0.7052247243875882,0.003370745269779,16,0.7762943148885774,0.7592773890209772,0.6849951774733452,0.6718143576353878,0.626285627947636,0.7672956077737186,0.7339507155363266,0.7199212240936922,0.7732046852208131,0.6667112012741585,0.6905282246814842,0.5507690713839399,0.8389511905144437,0.7453554380194676,0.6862348543206569,0.5960282727241152
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,0.6781533183003795,0.011035852728040325,0.0441434109121613,0.6726503802767473,-0.0239520209616376,16,0.7302262301219838,0.6728160248385507,0.6724847357149438,0.6563344011497969,0.6470479173897438,0.7481388503316124,0.6847255244124721,0.7002018484422152,0.7677446496974115,0.6592963097254617,0.6956308365944484,0.6208277020837666,0.6573597009203802,0.6856197441225343,0.6550199823581223,0.5969786349026281
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,0.6854224251342815,0.01170503453064305,0.0468201381225722,0.6840571905176613,-0.0166829141277355,16,0.7457658961548631,0.7014155872667398,0.6785925358020757,0.6602710569326599,0.6486853501947658,0.7548606139309179,0.696985500567,0.7111507266467121,0.7778413031642248,0.6664749092148314,0.6984344621311772,0.6366008999107501,0.633608412085718,0.6895218452332471,0.6628151014044082,0.6037346015084151
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,0.7021053392620171,0.01274885753721095,0.0509954301488438,0.70664505984673,0.0,16,0.7580695195342632,0.721945819389482,0.6875878076680814,0.6650652930710282,0.6244674743382055,0.763427354623564,0.7256382032628187,0.7112603957757738,0.7871018145454168,0.6846286997910509,0.7158362244691334,0.6356433878132028,0.7614454851772853,0.702029723917686,0.6696920515710514,0.6198461732442315
Panel B: Composition Sensitivity,composition_threshold,C55,30,55,55,0.7135839238045043,0.013394189670521675,0.0535767586820867,0.7199641521351876,0.0114785845424871,16,0.7658814356785459,0.7328131264152085,0.7296390674323965,0.677154769770568,0.6243405794583987,0.7641289760176313,0.7492038592319742,0.7180975620114708,0.808563037605865,0.6903573086219819,0.7218307422589045,0.6473303320514612,0.7732881445164687,0.7072422310617384,0.6835066093202166,0.6239649994192381
Panel B: Composition Sensitivity,composition_threshold,C60,30,60,60,0.7270938141754986,0.0118813716615533,0.0475254866462132,0.7300544878311761,0.0249884749134814,16,0.7857283461197438,0.7437147818308936,0.7383496788185425,0.7093733980046532,0.6436251650317183,0.7658780880315723,0.7629475277059418,0.7359270390784073,0.8171900238021318,0.7094703935947156,0.7241819365839448,0.6760084256800073,0.7607347213540414,0.7188400531644478,0.6962481215287053,0.645283326478511
