panel,sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,threshold_value,model,model_name,direction,direction_label,mean_blockage_pct,sem_blockage_pct,sd_blockage_pct,median_blockage_pct,mean_blockage_ratio,sem_blockage_ratio,delta_mean_blockage_ratio,city_count,Los Angeles,San Diego,"Washington, D.C",Miami,Atlanta,Chicago,Boston,Detroit,New York,Pittsburgh,Philadelphia,Dallas,San Francisco,Houston,Phoenix,St. Louis
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,39.41508971882598,4.669045110658698,18.67618044263479,35.97233048119687,0.3941508971882598,0.046690451106586976,-0.0045850049001199,16,67.02666402222157,39.29724213224474,13.081052066559309,26.76946274390134,33.00973536267654,65.44653373716977,27.44759481400702,70.0931980960007,63.52822559918548,46.34435893237268,38.6110732615706,30.196025778732537,9.06754772393538,33.33358770082313,39.8041932176018,27.584940312213043
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,52.52109730244585,3.917790589922163,15.671162359688651,48.246595584871436,0.5252109730244585,0.03917790589922163,-0.0006797691997417,16,80.0559675992202,49.36493495752448,37.51476113794954,42.84127552848441,40.09324009324009,76.11132337605098,50.12676566461427,67.7852662484986,81.36872779043497,47.12825621221839,53.23272925466684,54.34747583243824,39.023494860499255,44.876103384771696,46.39071209472608,30.07652280379553
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,35.54311130163882,3.7082088669080076,14.83283546763203,35.81040431212357,0.3554311130163882,0.037082088669080075,-0.0051173833893146,16,40.80816795553811,39.43497217397469,13.081052066559309,26.76946274390134,33.00973536267654,53.58201281205383,27.44759481400702,70.02921042656142,45.560401931312526,45.88285757772827,38.6110732615706,30.196025778732537,9.06754772393538,27.74527092016672,39.87945496528982,27.584940312213043
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,50.73044759533918,3.18291629757295,12.7316651902918,48.1994812664729,0.5073044759533918,0.0318291629757295,-0.0020239221468034,16,68.44984802431611,49.372874149659864,37.51476113794954,42.84332342087349,40.09324009324009,69.90163208283114,50.12676566461427,67.76752270668592,71.79691949471521,47.02608838328593,53.23272925466684,54.34747583243824,39.023494860499255,43.92544214940785,46.18852146644744,30.07652280379553
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,33.89706872991476,3.715261258034705,14.86104503213882,30.42751512580833,0.3389706872991476,0.03715261258034705,-0.0059374587867364,16,39.12271810393392,29.60770431533783,13.081052066559309,23.5761848805327,31.24732593627884,48.827197937325316,27.44759481400702,68.74828334106816,54.448581674768604,36.83962466258194,38.6110732615706,29.355819252050818,9.06754772393538,25.101345873196042,39.68610552327659,27.584940312213043
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,48.7946983485773,3.2840517246392475,13.13620689855699,44.197038055462116,0.487946983485773,0.032840517246392475,-0.0026035882800822,16,60.64159777885837,40.25437920755602,37.51476113794954,40.30305352285353,39.84289827523551,64.33301015170527,50.12676566461427,67.35284950163015,77.86861599672257,37.80209565658273,53.23272925466684,53.94832365364308,39.023494860499255,42.25987520383822,46.134200907086,30.07652280379553
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,39.59933367393586,4.64883035389173,18.59532141556692,35.842139858306886,0.3959933367393586,0.0464883035389173,-0.0027425653490211,16,67.02126039690039,38.679982482203116,12.72556390977443,27.60267430754536,33.09695136788681,65.90861051438092,27.91132478632478,69.71843326702661,64.19277179122966,46.656143684678334,38.58732834872697,30.984374999999996,10.327767470624611,33.02561891462292,40.17601660519148,26.97451593585734
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,52.496585660666916,3.876396696002282,15.505586784009129,46.835179293475036,0.5249658566066692,0.03876396696002282,-0.0009248856175311,16,79.97221486685989,46.9705899939352,38.02005012531328,42.42069016045131,39.39235930058747,76.43952340368526,49.06761673741661,66.89945060149664,81.28958733375626,46.69976859301488,52.60042515760153,54.80059523809524,45.887445887445885,44.09342600562714,45.6092065119806,29.78242065340342
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,35.72312160207634,3.6744611560301803,14.697844624120721,35.842139858306886,0.3572312160207634,0.0367446115603018,-0.0033172803849394,16,41.218795347956835,38.83849255159218,12.72556390977443,27.60267430754536,33.09695136788681,54.13550192950575,27.91132478632478,69.63012064795412,45.68774551302357,46.19773045235504,38.58732834872697,30.984374999999996,10.327767470624611,27.47310437773755,40.17795368635607,26.97451593585734
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,50.764188835339,3.1418551522648928,12.567420609059571,46.78873406341113,0.50764188835339,0.03141855152264893,-0.0016865097468052,16,68.9657981252016,46.9811320754717,38.02005012531328,42.424908424908416,39.39235930058747,70.43253053562833,49.06761673741661,66.88024264252878,71.49110488494921,46.59633605135056,52.60042515760153,54.80059523809524,45.887445887445885,43.35155859309885,45.55249693242305,29.78242065340342
