Model,Feature,Mean_Delta_MSE,SD_Delta_MSE,Mean_Delta_R2,SD_Delta_R2,Rank,Number_of_Observations
Path,Delta_Job_Density,0.31488527650693665,0.19258566083584938,0.06476630781477864,0.03477047570354647,1,80
Path,Delta_Race_White,0.1679369492182347,0.0873052736595936,0.036927797513615634,0.016810629514195728,2,80
Path,Delta_Pop_Density,0.1524050930358499,0.08513086843221276,0.033955742448012145,0.018136410780649845,3,80
Path,Log_Distance,0.13964961158998704,0.15600131422494892,0.027908452374154284,0.028774259172014673,4,80
Path,Delta_Edu_College,0.13050515155997303,0.07408791047824542,0.02889360402006591,0.015354108209931189,5,80
Path,Delta_POI_Count,0.07634449134464996,0.0614618849975407,0.016853272227787538,0.014713566798510597,6,80
Path,Delta_Age_65plus,0.021772673848672958,0.019175409110927206,0.005424049861912418,0.006081041070948605,7,80
Path,Delta_Housing_Owner,0.02042256663877932,0.013179022299387314,0.005075339697434912,0.004282191134825876,8,80
Path,Delta_Median_HHD_Income,0.01042050255917713,0.016207138616055453,0.0021283422952551633,0.003139827380979484,9,80
Path,Delta_Poverty,0.0017158988707484946,0.00657070607586508,0.0002925796639873898,0.0014516632870922714,10,80
